日期,台南市,區別,里別,調查種類,調查戶數,陽性戶數,調查容器戶內,調查容器戶外,調查容器合計,陽性容器戶內,陽性容器戶外,陽性容器合計,布氏指數,布氏級數,容器指數,容器級數,緯度,經度
2017/7/24,台南市,東　區,崇明里,公園,52,1,0,5,5,0,1,1,2,1,20,5,22.969188,120.22063
2017/7/24,台南市,東　區,復興里,住宅,51,0,11,10,21,0,0,0,0,0,0,0,22.982061,120.238356
2017/7/24,台南市,東　區,崇文里,住宅,53,0,4,4,8,0,0,0,0,0,0,0,22.968559,120.227651
2017/7/25,台南市,東　區,大同里,住宅,50,2,13,9,22,0,2,2,4,1,9,3,22.9839645,120.2130451
2017/7/25,台南市,東　區,成大里,住宅,50,0,8,17,25,0,0,0,0,0,0,0,22.9976069,120.2152092
2017/7/25,台南市,東　區,龍山里,住宅,50,2,8,9,17,0,2,2,4,1,12,4,22.9834946,120.2217014
2017/7/25,台南市,東　區,東明里,住宅,50,2,6,8,14,1,1,2,4,1,14,4,22.9916823,120.227472
2017/7/26,台南市,東　區,東門里,住宅,50,0,13,4,17,0,0,0,0,0,0,0,22.9890322,120.2144878
2017/7/26,台南市,東　區,崇德里,住宅,52,1,9,11,20,1,0,1,2,1,5,2,22.9745344,120.2260293
2017/7/26,台南市,東　區,崇善里,住宅,50,3,10,6,16,0,3,3,6,2,19,5,22.9736282,120.2303571
2017/7/26,台南市,東　區,圍下里,住宅,50,0,2,13,15,0,0,0,0,0,0,0,22.9919771,120.2148485
2017/7/27,台南市,東　區,東安里,住宅,50,0,1,7,8,0,0,0,0,0,0,0,22.9872616,120.2213407
2017/7/27,台南市,東　區,大智里,住宅,51,1,10,8,18,0,1,1,2,1,6,3,22.962286,120.2332423
2017/7/27,台南市,東　區,衛國里,住宅,50,0,3,15,18,0,0,0,0,0,0,0,22.9882597,120.2245867
2017/7/27,台南市,東　區,東智里,住宅,50,1,6,9,15,0,1,1,2,1,7,3,22.9629737,120.2267506
2017/7/28,台南市,東　區,大德里,住宅,50,1,8,9,17,1,1,2,4,1,12,4,22.9778817,120.2148485
2017/7/28,台南市,東　區,崇明里,住宅,50,0,4,7,11,0,0,0,0,0,0,0,22.969188,120.22063
2017/7/28,台南市,東　區,德高里,地區,50,1,0,9,9,0,1,1,2,1,11,4,22.965884,120.235589
2017/7/28,台南市,東　區,路東里,住宅,50,0,4,11,15,0,0,0,0,0,0,0,22.9801973,120.2134058
2017/7/28,台南市,東　區,富裕里,住宅,50,0,10,7,17,0,0,0,0,0,0,0,22.9849708,120.227472
2017/7/28,台南市,東　區,新東里,住宅,50,0,6,14,20,0,0,0,0,0,0,0,22.9865063,120.2249474
2017/7/28,台南市,東　區,忠孝里,住宅,51,1,7,4,11,0,1,1,2,1,9,3,22.9773869,120.218816
2017/7/24,台南市,南　區,新昌里,住宅,50,1,11,17,28,0,1,1,2,1,4,2,22.9835601,120.1957308
2017/7/24,台南市,南　區,建南里,住宅,51,0,5,8,13,0,0,0,0,0,0,0,22.9572284,120.1964522
2017/7/24,台南市,南　區,南都里,住宅,50,0,1,15,16,0,0,0,0,0,0,0,22.9550918,120.1841866
2017/7/24,台南市,南　區,大恩里,住宅,50,2,14,11,25,0,2,2,4,1,8,3,22.9548154,120.2079953
2017/7/25,台南市,南　區,廣州里,住宅,50,0,4,8,12,0,0,0,0,0,0,0,22.9841637,120.1928448
2017/7/25,台南市,南　區,光明里,住宅,51,3,0,10,10,0,3,3,6,2,30,7,22.971944,120.1870727
2017/7/26,台南市,南　區,喜南里,住宅,51,0,7,12,19,0,0,0,0,0,0,0,22.9383204,120.1776926
2017/7/26,台南市,南　區,日新里,住宅,50,3,5,16,21,0,3,3,6,2,14,4,22.974026,120.1899588
2017/7/27,台南市,南　區,白雪里,住宅,50,5,10,11,21,2,3,5,10,3,24,6,22.9676143,120.1885158
2017/7/27,台南市,南　區,文華里,住宅,50,1,5,5,10,0,1,1,2,1,10,4,22.98611,120.1899588
2017/7/28,台南市,南　區,郡南里,住宅,51,1,1,10,11,0,1,1,2,1,9,3,22.964243,120.1950093
2017/7/28,台南市,南　區,金華里,住宅,50,2,12,12,24,2,1,3,6,2,13,4,22.9796984,120.1885158
2017/7/24,台南市,北　區,重興里,其他,50,0,2,14,16,0,0,0,0,0,0,0,23.0040653,120.2260293
2017/7/24,台南市,北　區,小康里,其他,50,0,8,9,17,0,0,0,0,0,0,0,23.0152758,120.2173733
2017/7/24,台南市,北　區,中樓里,其他,50,0,5,7,12,0,0,0,0,0,0,0,23.0034966,120.2159306
2017/7/24,台南市,北　區,國姓里,其他,50,1,4,10,14,0,1,1,2,1,7,3,23.0076926,120.2087167
2017/7/25,台南市,北　區,文成里,其他,50,0,3,9,12,0,0,0,0,0,0,0,23.0074248,120.1971737
2017/7/25,台南市,北　區,國興里,其他,50,0,4,9,13,0,0,0,0,0,0,0,23.0094345,120.2260293
2017/7/25,台南市,北　區,文元里,其他,50,0,7,15,22,0,0,0,0,0,0,0,23.0146579,120.1978952
2017/7/25,台南市,北　區,大仁里,其他,50,0,10,10,20,0,0,0,0,0,0,0,23.0074149,120.2148485
2017/7/26,台南市,北　區,東興里,其他,50,0,5,11,16,0,0,0,0,0,0,0,23.0013807,120.2260293
2017/7/26,台南市,北　區,力行里,其他,50,0,17,7,24,0,0,0,0,0,0,0,23.0084185,120.2292752
2017/7/26,台南市,北　區,華興里,其他,50,0,3,6,9,0,0,0,0,0,0,0,23.0073122,120.2249474
2017/7/26,台南市,北　區,玉皇里,其他,50,1,2,10,12,0,1,1,2,1,8,3,22.9996798,120.2069132
2017/7/27,台南市,北　區,大道里,其他,50,0,3,12,15,0,0,0,0,0,0,0,23.0099486,120.2155699
2017/7/27,台南市,北　區,成德里,其他,50,1,3,7,10,0,1,1,2,1,10,4,23.0134491,120.2036668
2017/7/27,台南市,北　區,延平里,其他,50,0,2,13,15,0,0,0,0,0,0,0,23.0107043,120.211963
2017/7/27,台南市,北　區,正風里,其他,50,0,2,3,5,0,0,0,0,0,0,0,23.0154694,120.2148485
2017/7/28,台南市,北　區,成德里,住宅,75,1,12,20,32,0,1,1,1,1,3,2,23.0134491,120.2036668
2017/7/28,台南市,北　區,文成里,住宅,50,0,3,10,13,0,0,0,0,0,0,0,23.0074248,120.1971737
2017/7/28,台南市,北　區,正風里,住宅,50,0,3,7,10,0,0,0,0,0,0,0,23.0154694,120.2148485
2017/7/28,台南市,北　區,成德里,地區,50,0,3,16,19,0,0,0,0,0,0,0,23.0134491,120.2036668
2017/7/24,台南市,中西區,水仙里,住宅,50,2,16,8,24,0,3,3,6,2,13,4,22.9963821,120.1986166
2017/7/24,台南市,中西區,西湖里,住宅,50,3,1,18,19,0,3,3,6,2,16,5,23.0015666,120.1834651
2017/7/25,台南市,中西區,藥王里,住宅,50,1,5,9,14,0,1,1,2,1,7,3,22.9992346,120.1914018
2017/7/25,台南市,中西區,民權里,住宅,50,3,7,8,15,1,2,3,6,2,20,5,22.9969861,120.1957308
2017/7/25,台南市,中西區,文賢里,住宅,50,0,13,1,14,0,0,0,0,0,0,0,23.002406,120.190854
2017/7/25,台南市,中西區,三民里,住宅,50,3,16,6,22,1,2,3,6,2,14,4,22.994872,120.2058311
2017/7/26,台南市,中西區,福安里,住宅,50,0,2,6,8,0,0,0,0,0,0,0,22.991121,120.1996988
2017/7/26,台南市,中西區,保安里,住宅,51,0,0,3,3,0,0,0,0,0,0,0,22.9917249,120.196813
2017/7/26,台南市,中西區,大涼里,住宅,50,1,4,16,20,0,1,1,2,1,5,2,22.9923029,120.1892373
2017/7/26,台南市,中西區,安海里,住宅,50,1,4,18,22,0,2,2,4,1,9,3,22.9959872,120.1924841
2017/7/27,台南市,中西區,進學里,住宅,50,2,10,4,14,1,1,2,4,1,14,4,22.9877228,120.2015025
