日期,臺南市,區別,里別,調查種類,調查戶數,陽性戶數,調查容器戶內,調查容器戶外,調查容器合計,陽性容器戶內,陽性容器戶外,陽性容器合計,布氏指數,布氏級數,容器指數,容器級數,緯度,經度
2018/2/20,台南市,東　區,東光里,住宅,50,1,9,14,23,0,2,2,4,1,9,3,22.99242,120.2303571
2018/2/21,台南市,山上區,豐德里,住宅,51,0,0,2,2,0,0,0,0,0,0,0,23.0777251,120.3637277
2018/2/21,台南市,安定區,港南里,住宅,50,0,0,7,7,0,0,0,0,0,0,0,23.0873292,120.2354061
2018/2/21,台南市,東　區,復興里,住宅,50,1,3,6,9,0,1,1,2,1,11,4,22.982061,120.238356
2018/2/21,台南市,安南區,東和里,住宅,50,1,0,19,19,0,1,1,2,1,5,2,23.0615247,120.2368486
2018/2/21,台南市,永康區,北灣里,住宅,51,3,4,11,15,0,3,3,6,2,20,5,23.012954,120.270022
2018/2/21,台南市,安平區,西門里,住宅,50,0,12,9,21,0,0,0,0,0,0,0,23.0022304,120.1546002
2018/2/21,台南市,東　區,裕聖里,住宅,50,0,2,17,19,0,0,0,0,0,0,0,22.9802195,120.2469457
2018/2/21,台南市,北　區,賢北里,住宅,50,1,11,10,21,0,1,1,2,1,5,2,23.006719,120.1813004
2018/2/21,台南市,北　區,裕民里,住宅,50,0,9,5,14,0,0,0,0,0,0,0,23.0026166,120.1960915
2018/2/21,台南市,南　區,田寮里,住宅,50,0,8,9,17,0,0,0,0,0,0,0,22.976847,120.1957308
2018/2/21,台南市,仁德區,土庫里,住宅,50,0,1,11,12,0,0,0,0,0,0,0,22.9856821,120.2656955
2018/2/21,台南市,仁德區,仁德里,住宅,50,1,6,13,19,0,2,2,4,1,11,4,22.9657583,120.2455033
2018/2/21,台南市,安南區,溪頂里,住宅,50,0,3,9,12,0,0,0,0,0,0,0,23.0254471,120.2072739
2018/2/21,台南市,南　區,彰南里,住宅,50,2,8,12,20,0,2,2,4,1,10,4,22.9715887,120.1791357
2018/2/21,台南市,安南區,安和里,住宅,50,2,6,4,10,1,1,2,4,1,20,5,23.0310818,120.218816
2018/2/21,台南市,東　區,東聖里,住宅,50,2,6,11,17,0,2,2,4,1,12,4,22.9861443,120.2346848
2018/2/21,台南市,永康區,崑山里,住宅,50,1,12,12,24,1,0,1,2,1,4,2,22.9988384,120.2541575
2018/2/21,台南市,安南區,安順里,住宅,50,0,4,4,8,0,0,0,0,0,0,0,23.0500919,120.2209801
2018/2/21,台南市,安平區,文平里,住宅,50,1,5,11,16,0,1,1,2,1,6,3,22.9860574,120.1805789
2018/2/21,台南市,東　區,崇善里,住宅,50,0,4,22,26,0,0,0,0,0,0,0,22.9736282,120.2303571
2018/2/21,台南市,南　區,新昌里,住宅,50,0,16,13,29,0,0,0,0,0,0,0,22.9835601,120.1957308
2018/2/21,台南市,中西區,水仙里,住宅,50,0,7,8,15,0,0,0,0,0,0,0,22.9963821,120.1986166
2018/2/21,台南市,南　區,新生里,住宅,50,0,5,12,17,0,0,0,0,0,0,0,22.9775543,120.2116023
2018/2/21,台南市,中西區,三民里,住宅,50,1,3,11,14,0,1,1,2,1,7,3,22.994872,120.2058311
2018/2/21,台南市,北　區,成德里,地區,50,0,9,11,20,0,0,0,0,0,0,0,23.0134491,120.2036668
2018/2/21,台南市,北　區,正覺里,住宅,50,1,7,8,15,0,1,1,2,1,7,3,23.0151428,120.2116023
2018/2/21,台南市,永康區,復華里,住宅,50,1,3,7,10,0,1,1,2,1,10,4,23.0103511,120.2440609
