日期,台南市,區別,里別,調查種類,調查戶數,陽性戶數,調查容器戶內,調查容器戶外,調查容器合計,陽性容器戶內,陽性容器戶外,陽性容器合計,布氏指數,布氏級數,容器指數,容器級數,經度,緯度
106/3/6,台南市,東區,東明里,住宅,50,1,6,6,12,1,0,1,2,1,8,3,120.227472,22.9916823
106/3/6,台南市,東區,忠孝里,住宅,50,3,5,8,13,1,2,3,6,2,23,6,120.218816,22.9773869
106/3/6,台南市,東區,和平里,住宅,51,1,1,11,12,0,1,1,2,1,8,3,120.2354061,22.9745842
106/3/6,台南市,東區,大學里,住宅,50,0,5,4,9,0,0,0,0,0,0,0,120.2209801,22.9963981
106/3/7,台南市,東區,東智里,住宅,54,0,4,1,5,0,0,0,0,0,0,0,120.2267506,22.9629737
106/3/7,台南市,東區,關聖里,住宅,53,0,0,6,6,0,0,0,0,0,0,0,120.2418972,22.985975
106/3/7,台南市,東區,東聖里,住宅,50,0,2,4,6,0,0,0,0,0,0,0,120.2346848,22.9861443
106/3/7,台南市,東區,德光里,機關,50,0,7,3,10,0,0,0,0,0,0,0,120.2202587,22.981112
106/3/8,台南市,東區,小東里,住宅,56,0,6,19,25,0,0,0,0,0,0,0,120.227472,22.9970514
106/3/8,台南市,東區,虎尾里,住宅,52,0,2,7,9,0,0,0,0,0,0,0,120.235984,22.97888
106/3/8,台南市,東區,泉南里,住宅,50,0,11,2,13,0,0,0,0,0,0,0,120.2159306,22.9847029
106/3/8,台南市,東區,後甲里,住宅,50,0,1,6,7,0,0,0,0,0,0,0,120.2382911,22.9927707
106/3/9,台南市,東區,後甲里,學校,67,2,3,10,13,1,1,2,3,1,15,5,120.2382911,22.9927707
106/3/9,台南市,東區,後甲里,學校,100,1,5,19,24,0,1,1,1,1,4,2,120.2382911,22.9927707
106/3/9,台南市,東區,富強里,住宅,50,0,1,15,16,0,0,0,0,0,0,0,120.2317997,22.9867487
106/3/9,台南市,東區,崇明里,住宅,52,0,8,8,16,0,0,0,0,0,0,0,120.22063,22.969188
106/3/10,台南市,東區,裕農里,住宅,50,0,3,2,5,0,0,0,0,0,0,0,120.2289146,22.9886954
106/3/10,台南市,東區,路東里,住宅,50,0,1,7,8,0,0,0,0,0,0,0,120.2134058,22.9801973
106/3/10,台南市,東區,崇誨里,住宅,50,0,1,3,4,0,0,0,0,0,0,0,120.2256687,22.989711
106/3/10,台南市,東區,裕聖里,住宅,51,0,2,3,5,0,0,0,0,0,0,0,120.2469457,22.9802195
106/3/7,台南市,南區,文華里,住宅,51,0,10,6,16,0,0,0,0,0,0,0,120.1899588,22.98611
106/3/9,台南市,南區,廣州里,住宅,51,0,7,6,13,0,0,0,0,0,0,0,120.1928448,22.9841637
106/3/9,台南市,南區,喜北里,住宅,51,0,3,15,18,0,0,0,0,0,0,0,120.1776926,22.9490628
106/3/10,台南市,南區,明亮里,住宅,54,0,2,7,9,0,0,0,0,0,0,0,120.1928448,22.9693947
106/3/10,台南市,南區,喜東里,住宅,50,0,4,3,7,0,0,0,0,0,0,0,120.1906803,22.9423225
106/3/1,台南市,南區,開南里,住宅,50,1,0,9,9,0,1,1,2,1,11,4,120.1856297,22.9668748
106/3/1,台南市,南區,再興里,住宅,50,0,1,6,7,0,0,0,0,0,0,0,120.1928448,22.9801358
106/3/6,台南市,南區,白雪里,住宅,51,0,0,7,7,0,0,0,0,0,0,0,120.1885158,22.9676143
106/3/6,台南市,南區,大恩里,住宅,50,0,1,8,9,0,0,0,0,0,0,0,120.2079953,22.9548154
106/3/8,台南市,南區,明興里,住宅,51,0,2,5,7,0,0,0,0,0,0,0,120.1914018,22.9629831
106/3/11,台南市,南區,文南里,住宅,50,0,3,10,13,0,0,0,0,0,0,0,120.1870727,22.9840282
106/3/6,台南市,北區,長德里,住宅,50,0,7,11,18,0,0,0,0,0,0,0,120.2058311,23.002927
106/3/6,台南市,北區,勝安里,住宅,50,0,0,8,8,0,0,0,0,0,0,0,120.217734,23.0074816
106/3/6,台南市,北區,大道里,住宅,50,0,6,12,18,0,0,0,0,0,0,0,120.2155699,23.0099486
106/3/6,台南市,北區,東興里,住宅,50,0,0,4,4,0,0,0,0,0,0,0,120.2260293,23.0013807
106/3/7,台南市,北區,華興里,住宅,50,0,2,4,6,0,0,0,0,0,0,0,120.2249474,23.0073122
106/3/7,台南市,北區,長榮里,住宅,50,0,0,5,5,0,0,0,0,0,0,0,120.2191767,23.0091928
106/3/7,台南市,北區,公園里,住宅,50,0,7,3,10,0,0,0,0,0,0,0,120.2101595,23.0006781
106/3/7,台南市,北區,和順里,住宅,53,2,3,2,5,1,1,2,4,1,40,8,120.2015025,23.0051759
106/3/8,台南市,北區,五福里,住宅,50,0,6,6,12,0,0,0,0,0,0,0,120.2033061,23.0004351
106/3/8,台南市,北區,玉皇里,住宅,51,0,2,7,9,0,0,0,0,0,0,0,120.2069132,22.9996798
106/3/8,台南市,北區,三德里,住宅,51,0,0,6,6,0,0,0,0,0,0,0,120.2047489,23.000133
106/3/9,台南市,北區,開元里,住宅,50,0,0,6,6,0,0,0,0,0,0,0,120.2217014,23.0130263
106/3/9,台南市,北區,正風里,住宅,51,0,2,3,5,0,0,0,0,0,0,0,120.2148485,23.0154694
106/3/9,台南市,北區,實踐里,住宅,52,0,2,1,3,0,0,0,0,0,0,0,120.2170126,23.0136734
106/3/10,台南市,北區,中樓里,學校,100,2,2,12,14,0,2,2,2,1,14,4,120.2159306,23.0034966
106/3/10,台南市,北區,仁愛里,住宅,50,1,5,11,16,0,1,1,2,1,6,3,120.2202587,23.0025898
106/3/6,台南市,中西區,仙草里,住宅,50,0,1,9,10,0,0,0,0,0,0,0,120.1986166,22.984299
106/3/6,台南市,中西區,公正里,住宅,53,0,2,10,12,0,0,0,0,0,0,0,120.2101595,22.9939658
106/3/7,台南市,中西區,建國里,住宅,50,1,4,4,8,0,1,1,2,1,13,4,120.2000596,22.993395
106/3/7,台南市,中西區,三民里,住宅,50,0,7,5,12,0,0,0,0,0,0,0,120.2058311,22.994872
106/3/8,台南市,中西區,公正里,住宅,50,0,2,5,7,0,0,0,0,0,0,0,120.2101595,22.9939658
106/3/8,台南市,中西區,萬昌里,住宅,50,0,3,3,6,0,0,0,0,0,0,0,120.2101595,22.9899384
106/3/9,台南市,中西區,萬昌里,住宅,50,0,2,3,5,0,0,0,0,0,0,0,120.2101595,22.9899384
106/3/9,台南市,中西區,保安里,住宅,50,0,3,4,7,0,0,0,0,0,0,0,120.196813,22.9917249
106/3/10,台南市,中西區,三合里,住宅,50,1,3,13,16,0,1,1,2,1,6,3,120.1960915,22.9999315
106/3/10,台南市,中西區,開山里,住宅,50,0,9,5,14,0,0,0,0,0,0,0,120.2097988,22.9876646
106/3/6,台南市,安南區,溪墘里,住宅,50,0,2,17,19,0,0,0,0,0,0,0,120.1928448,23.0244424
106/3/6,台南市,安南區,淵東里,機關,50,0,4,7,11,0,0,0,0,0,0,0,120.1776926,23.0564843
106/3/7,台南市,安南區,安富里,住宅,51,0,0,9,9,0,0,0,0,0,0,0,120.1957308,23.0251806
106/3/7,台南市,安南區,海佃里,機關,51,0,2,10,12,0,0,0,0,0,0,0,120.1892373,23.0245267
106/3/9,台南市,安南區,溪頂里,住宅,52,0,1,10,11,0,0,0,0,0,0,0,120.2072739,23.0254471
106/3/9,台南市,安南區,鳳凰里,機關,50,0,6,10,16,0,0,0,0,0,0,0,120.2000596,23.0417267
106/3/10,台南市,安南區,溪北里,住宅,50,0,3,9,12,0,0,0,0,0,0,0,120.2130451,23.0255799
106/3/10,台南市,安南區,州南里,機關,51,0,3,13,16,0,0,0,0,0,0,0,120.2195374,23.059791
106/3/6,台南市,安平區,西門里,住宅,50,0,8,5,13,0,0,0,0,0,0,0,120.1546002,23.0022304
106/3/6,台南市,安平區,西門里,住宅,56,1,9,1,10,2,0,2,4,1,20,5,120.1546002,23.0022304
106/3/7,台南市,安平區,育平里,住宅,101,0,6,18,24,0,0,0,0,0,0,0,120.1661469,22.989074
106/3/8,台南市,安平區,海頭里,住宅,50,0,18,11,29,0,0,0,0,0,0,0,120.1625386,23.0025857
106/3/8,台南市,安平區,海頭里,住宅,50,0,6,16,22,0,0,0,0,0,0,0,120.1625386,23.0025857
106/3/9,台南市,安平區,金城里,住宅,50,0,4,11,15,0,0,0,0,0,0,0,120.1488264,22.9953785
106/3/9,台南市,安平區,金城里,住宅,50,0,5,4,9,0,0,0,0,0,0,0,120.1488264,22.9953785
106/3/10,台南市,安平區,文平里,住宅,50,0,4,5,9,0,0,0,0,0,0,0,120.1805789,22.9860574
106/3/10,台南市,安平區,文平里,住宅,50,0,1,9,10,0,0,0,0,0,0,0,120.1805789,22.9860574
106/3/6,台南市,永康區,中華里,住宅,50,0,8,6,14,0,0,0,0,0,0,0,120.236499,22.999965
106/3/6,台南市,永康區,勝利里,住宅,51,0,2,6,8,0,0,0,0,0,0,0,120.232521,23.004718
106/3/6,台南市,永康區,正強里,住宅,50,0,5,15,20,0,0,0,0,0,0,0,120.251994,23.0294884
106/3/6,台南市,永康區,安康里,住宅,50,0,9,15,24,0,0,0,0,0,0,0,120.227472,23.0158435
106/3/7,台南市,永康區,成功里,住宅,50,0,0,12,12,0,0,0,0,0,0,0,120.2379305,23.0032483
106/3/7,台南市,永康區,復興里,住宅,50,0,3,6,9,0,0,0,0,0,0,0,120.241401,22.999049
106/3/7,台南市,永康區,西勢里,住宅,50,0,4,15,19,0,0,0,0,0,0,0,120.2772325,23.0154649
106/3/7,台南市,永康區,埔園里,住宅,50,0,7,5,12,0,0,0,0,0,0,0,120.2584844,23.0341644
106/3/8,台南市,永康區,西勢里,住宅,50,0,0,8,8,0,0,0,0,0,0,0,120.2772325,23.0154649
106/3/8,台南市,永康區,北灣里,住宅,50,0,2,5,7,0,0,0,0,0,0,0,120.270022,23.012954
106/3/8,台南市,永康區,光復里,住宅,50,0,5,14,19,0,0,0,0,0,0,0,120.2444215,22.9998739
106/3/8,台南市,永康區,永康里,其他,4,0,2,3,5,0,0,0,0,0,0,0,120.2584844,23.0234285
106/3/9,台南市,永康區,鹽行里,住宅,50,2,1,7,8,0,2,2,4,1,25,6,120.2368389,23.041356
106/3/9,台南市,永康區,鹽洲里,住宅,50,3,0,10,10,0,3,3,6,2,30,7,120.2368389,23.041356
106/3/9,台南市,永康區,復華里,住宅,50,0,8,6,14,0,0,0,0,0,0,0,120.2440609,23.0103511
