日期,臺南市,區別,里別,調查種類,調查戶數,陽性戶數,調查容器戶內,調查容器戶外,調查容器合計,陽性容器戶內,陽性容器戶外,陽性容器合計,布氏指數,布氏級數,容器指數,容器級數,經度,緯度
2020/2/19,臺南市,東　區,大福里,住宅,50,0,3,6,9,0,0,0,0,0,0,0,120.2159306,22.9739636
2020/2/20,臺南市,東　區,大德里,住宅,50,0,1,2,3,0,0,0,0,0,0,0,120.2148485,22.9778817
2020/2/20,臺南市,東　區,小東里,住宅,50,0,1,8,9,0,0,0,0,0,0,0,120.227472,22.9970514
2020/2/20,臺南市,東　區,文聖里,住宅,50,0,0,4,4,0,0,0,0,0,0,0,120.2447821,22.9840282
2020/2/18,臺南市,東　區,成大里,住宅,50,1,9,6,15,1,0,1,2,1,7,3,120.2152092,22.9976069
2020/2/20,臺南市,東　區,自強里,住宅,50,0,1,2,3,0,0,0,0,0,0,0,120.2332423,22.9824198
2020/2/17,臺南市,東　區,忠孝里,住宅,50,0,2,9,11,0,0,0,0,0,0,0,120.218816,22.9773869
2020/2/21,臺南市,東　區,東安里,住宅,50,0,2,2,4,0,0,0,0,0,0,0,120.2213407,22.9872616
2020/2/21,臺南市,東　區,東明里,住宅,58,0,3,3,6,0,0,0,0,0,0,0,120.227472,22.9916823
2020/2/21,臺南市,東　區,虎尾里,住宅,50,1,0,3,3,0,1,1,2,1,33,8,120.2361273,22.9791309
2020/2/20,臺南市,東　區,後甲里,住宅,50,0,1,1,2,0,0,0,0,0,0,0,120.2382911,22.9927707
2020/2/20,臺南市,東　區,泉南里,住宅,50,0,7,2,9,0,0,0,0,0,0,0,120.2159306,22.9847029
2020/2/20,臺南市,東　區,崇文里,住宅,50,0,1,5,6,0,0,0,0,0,0,0,120.2296358,22.9677389
2020/2/21,臺南市,東　區,崇成里,住宅,75,1,1,3,4,0,2,2,3,1,50,9,120.2289146,22.9712457
2020/2/17,臺南市,東　區,崇誨里,住宅,50,0,9,1,10,0,0,0,0,0,0,0,120.2256687,22.989711
2020/2/21,臺南市,東　區,崇德里,住宅,50,0,2,0,2,0,0,0,0,0,0,0,120.2260293,22.9745344
2020/2/17,臺南市,東　區,崇學里,住宅,50,0,14,4,18,0,0,0,0,0,0,0,120.2231441,22.9778231
2020/2/17,臺南市,東　區,莊敬里,住宅,51,0,1,2,3,0,0,0,0,0,0,0,120.232521,22.9966645
2020/2/17,臺南市,東　區,圍下里,住宅,51,0,3,2,5,0,0,0,0,0,0,0,120.2148485,22.9919771
2020/2/20,臺南市,東　區,富強里,住宅,50,0,4,5,9,0,0,0,0,0,0,0,120.2317997,22.9867487
2020/2/18,臺南市,東　區,富裕里,住宅,50,0,2,10,12,0,0,0,0,0,0,0,120.227472,22.9849708
2020/2/17,臺南市,東　區,復興里,住宅,50,0,0,4,4,0,0,0,0,0,0,0,120.2375698,22.9815131
2020/2/19,臺南市,東　區,裕聖里,住宅,50,0,3,4,7,0,0,0,0,0,0,0,120.2469457,22.9802195
2020/2/17,臺南市,東　區,裕農里,住宅,50,0,1,4,5,0,0,0,0,0,0,0,120.2289146,22.9886954
2020/2/17,臺南市,東　區,路東里,住宅,50,0,2,3,5,0,0,0,0,0,0,0,120.2134058,22.9801973
2020/2/21,臺南市,東　區,關聖里,住宅,75,0,0,7,7,0,0,0,0,0,0,0,120.2418972,22.985975
2020/2/21,臺南市,南　區,大忠里,住宅,50,1,1,5,6,0,1,1,2,1,17,5,120.2101595,22.9698014
2020/2/21,臺南市,南　區,大林里,住宅,50,0,10,3,13,0,0,0,0,0,0,0,120.2058311,22.9733919
2020/2/21,臺南市,南　區,大恩里,住宅,50,0,3,7,10,0,0,0,0,0,0,0,120.2079953,22.9548154
2020/2/20,臺南市,南　區,文南里,住宅,50,0,2,10,12,0,0,0,0,0,0,0,120.1870727,22.9840282
2020/2/18,臺南市,南　區,文華里,住宅,50,1,2,4,6,0,1,1,2,1,17,5,120.1899588,22.98611
2020/2/17,臺南市,南　區,田寮里,住宅,50,0,9,15,24,0,0,0,0,0,0,0,120.1957308,22.976847
2020/2/17,臺南市,南　區,再興里,住宅,50,0,2,6,8,0,0,0,0,0,0,0,120.1928448,22.9801358
2020/2/21,臺南市,南　區,府南里,住宅,50,0,0,2,2,0,0,0,0,0,0,0,120.1950093,22.9722988
2020/2/20,臺南市,南　區,明亮里,住宅,50,0,8,4,12,0,0,0,0,0,0,0,120.1928448,22.9693947
2020/2/21,臺南市,南　區,明德里,學校,50,0,0,0,0,0,0,0,0,0,0,0,120.200781,22.9710918
2020/2/17,臺南市,南　區,金華里,住宅,50,0,9,8,17,0,0,0,0,0,0,0,120.1885158,22.9796984
2020/2/19,臺南市,南　區,南都里,住宅,50,0,1,7,8,0,0,0,0,0,0,0,120.1841866,22.9550918
2020/2/19,臺南市,南　區,建南里,住宅,50,0,2,12,14,0,0,0,0,0,0,0,120.1964522,22.9572284
2020/2/21,臺南市,南　區,郡南里,住宅,50,0,3,7,10,0,0,0,0,0,0,0,120.1950093,22.964243
2020/2/17,臺南市,南　區,國宅里,住宅,50,3,14,17,31,1,2,3,6,2,10,4,120.1870727,22.9759721
2020/2/17,臺南市,南　區,新昌里,住宅,50,0,0,6,6,0,0,0,0,0,0,0,120.1957308,22.9835601
2020/2/20,臺南市,南　區,新昌里,住宅,50,0,4,6,10,0,0,0,0,0,0,0,120.1957308,22.9835601
2020/2/18,臺南市,南　區,新興里,住宅,50,0,2,7,9,0,0,0,0,0,0,0,120.19537,22.9799434
2020/2/17,臺南市,南　區,廣州里,住宅,50,1,0,6,6,0,1,1,2,1,17,5,120.1928448,22.9841637
2020/2/17,臺南市,南　區,鯤鯓里,住宅,50,0,6,19,25,0,0,0,0,0,0,0,120.1733631,22.9566809
2020/2/20,臺南市,南　區,鹽埕里,住宅,50,1,4,10,14,0,1,1,2,1,7,3,120.187246,22.97015
2020/2/21,臺南市,南　區,鹽埕里,住宅,50,0,8,5,13,0,0,0,0,0,0,0,120.187246,22.97015
2020/2/21,臺南市,北　區,力行里,住宅,50,0,7,3,10,0,0,0,0,0,0,0,120.2292752,23.0084185
2020/2/17,臺南市,北　區,大和里,住宅,50,1,3,17,20,0,1,1,2,1,5,2,120.1914018,23.0153463
2020/2/21,臺南市,北　區,大港里,住宅,50,0,11,8,19,0,0,0,0,0,0,0,120.1827435,23.0104452
2020/2/20,臺南市,北　區,大興里,住宅,50,0,3,6,9,0,0,0,0,0,0,0,120.1878641,23.0122966
2020/2/17,臺南市,北　區,大豐里,住宅,50,0,4,14,18,0,0,0,0,0,0,0,120.1921233,23.0078107
2020/2/19,臺南市,北　區,小北里,住宅,50,0,14,7,21,0,0,0,0,0,0,0,120.2079953,23.008515
2020/2/19,臺南市,北　區,仁愛里,住宅,50,1,6,7,13,0,1,1,2,1,8,3,120.2202587,23.0025898
2020/2/17,臺南市,北　區,元美里,地區,50,0,0,7,7,0,0,0,0,0,0,0,120.2079953,23.008515
2020/2/21,臺南市,北　區,公園里,住宅,50,0,3,6,9,0,0,0,0,0,0,0,120.2101595,23.0006781
2020/2/17,臺南市,北　區,文元里,住宅,50,0,3,5,8,0,0,0,0,0,0,0,120.1978952,23.0146579
2020/2/20,臺南市,北　區,文成里,住宅,50,0,1,2,3,0,0,0,0,0,0,0,120.1971737,23.0074248
2020/2/17,臺南市,北　區,北華里,住宅,50,0,1,14,15,0,0,0,0,0,0,0,120.2040991,23.0008064
2020/2/17,臺南市,北　區,正覺里,住宅,50,0,8,12,20,0,0,0,0,0,0,0,120.2116023,23.0151428
2020/2/17,臺南市,北　區,正覺里,住宅,50,0,0,3,3,0,0,0,0,0,0,0,120.2116023,23.0151428
2020/2/20,臺南市,北　區,永祥里,住宅,50,0,3,1,4,0,0,0,0,0,0,0,120.2202587,23.0160134
2020/2/20,臺南市,北　區,立人里,住宅,50,0,8,4,12,0,0,0,0,0,0,0,120.20171,23.00053
2020/2/21,臺南市,北　區,合興里,住宅,50,0,6,3,9,0,0,0,0,0,0,0,120.2260293,23.0094345
2020/2/18,臺南市,北　區,成德里,住宅,50,0,4,3,7,0,0,0,0,0,0,0,120.2036668,23.0134491
2020/2/20,臺南市,北　區,和順里,住宅,50,0,3,8,11,0,0,0,0,0,0,0,120.2015025,23.0051759
2020/2/21,臺南市,北　區,東興里,住宅,50,0,17,12,29,0,0,0,0,0,0,0,120.2260293,23.0013807
2020/2/20,臺南市,北　區,長興里,住宅,50,0,8,6,14,0,0,0,0,0,0,0,120.205964,23.0039478
2020/2/21,臺南市,北　區,重興里,住宅,50,0,3,18,21,0,0,0,0,0,0,0,120.2260293,23.0040653
2020/2/17,臺南市,北　區,振興里,住宅,50,0,2,4,6,0,0,0,0,0,0,0,120.2217014,23.0063146
2020/2/20,臺南市,北　區,華德里,住宅,50,0,1,12,13,0,0,0,0,0,0,0,120.205039,23.021629
2020/2/18,臺南市,北　區,開元里,住宅,50,0,4,11,15,0,0,0,0,0,0,0,120.2217014,23.0130263
2020/2/20,臺南市,北　區,福德里,住宅,50,0,3,10,13,0,0,0,0,0,0,0,120.2019437,23.0130535
2020/2/17,臺南市,北　區,賢北里,住宅,50,0,2,10,12,0,0,0,0,0,0,0,120.1813004,23.006719
2020/2/20,臺南市,中西區,大涼里,住宅,50,0,6,4,10,0,0,0,0,0,0,0,120.1892373,22.9923029
2020/2/21,臺南市,中西區,小西門里,住宅,50,0,2,9,11,0,0,0,0,0,0,0,120.1986166,22.9883267
2020/2/17,臺南市,中西區,五條港里,住宅,50,0,9,7,16,0,0,0,0,0,0,0,120.196948,22.9978341
2020/2/18,臺南市,中西區,永華里,住宅,50,1,5,9,14,0,1,1,2,1,7,3,120.2043882,22.9911465
2020/2/20,臺南市,中西區,光賢里,住宅,50,0,0,6,6,0,0,0,0,0,0,0,120.1885158,23.0038665
2020/2/21,臺南市,中西區,西和里,住宅,50,0,3,7,10,0,0,0,0,0,0,0,120.1719199,23.0039814
2020/2/20,臺南市,中西區,西湖里,住宅,50,1,2,8,10,0,1,1,2,1,10,4,120.1834651,23.0015666
2020/2/21,臺南市,中西區,西賢里,住宅,50,0,1,4,5,0,0,0,0,0,0,0,120.1719199,23.0039814
2020/2/19,臺南市,中西區,兌悅里,住宅,50,0,6,6,12,0,0,0,0,0,0,0,120.1943685,23.0007006
2020/2/17,臺南市,中西區,赤嵌里,住宅,50,0,7,15,22,0,0,0,0,0,0,0,120.2072739,22.9972549
2020/2/20,臺南市,中西區,府前里,住宅,50,0,2,12,14,0,0,0,0,0,0,0,120.2006558,22.9901453
2020/2/17,臺南市,中西區,法華里,住宅,50,0,3,3,6,0,0,0,0,0,0,0,120.2097988,22.9822947
2020/2/20,臺南市,中西區,南門里,住宅,50,0,12,5,17,0,0,0,0,0,0,0,120.2035355,22.9869491
2020/2/20,臺南市,中西區,南美里,住宅,50,0,7,4,11,0,0,0,0,0,0,0,120.2006558,22.9901453
2020/2/19,臺南市,中西區,南廠里,住宅,50,0,2,4,6,0,0,0,0,0,0,0,120.1957156,22.9906648
2020/2/18,臺南市,中西區,城隍里,住宅,50,0,1,14,15,0,0,0,0,0,0,0,120.2056571,22.9922364
2020/2/21,臺南市,中西區,城隍里,住宅,50,1,0,6,6,0,1,1,2,1,17,5,120.2056571,22.9922364
2020/2/17,臺南市,中西區,郡王里,住宅,50,0,0,5,5,0,0,0,0,0,0,0,120.2072739,22.986515
2020/2/21,臺南市,中西區,淺草里,住宅,50,0,4,6,10,0,0,0,0,0,0,0,120.1977997,22.9939289
2020/2/17,臺南市,中西區,開山里,住宅,50,0,2,13,15,0,0,0,0,0,0,0,120.2097988,22.9876646
2020/2/17,臺南市,中西區,藥王里,住宅,51,0,5,14,19,0,0,0,0,0,0,0,120.1914018,22.9992346
2020/2/17,臺南市,中西區,藥王里,地區,50,0,0,1,1,0,0,0,0,0,0,0,120.1914018,22.9992346
2020/2/21,臺南市,中西區,藥王里,住宅,50,0,5,19,24,0,0,0,0,0,0,0,120.1914018,22.9992346
2020/2/20,臺南市,安南區,大安里,住宅,50,0,2,5,7,0,0,0,0,0,0,0,120.1950093,23.0313733
2020/2/17,臺南市,安南區,公塭里,住宅,50,0,0,5,5,0,0,0,0,0,0,0,120.1632603,23.0702508
2020/2/19,臺南市,安南區,布袋里,住宅,50,1,12,9,21,0,1,1,2,1,5,2,120.2065525,23.0638587
2020/2/20,臺南市,安南區,安西里,住宅,50,0,2,4,6,0,0,0,0,0,0,0,120.2094381,23.0310345
2020/2/21,臺南市,安南區,安和里,住宅,50,0,6,10,16,0,0,0,0,0,0,0,120.218816,23.0310818
2020/2/18,臺南市,安南區,安東里,住宅,50,0,1,3,4,0,0,0,0,0,0,0,120.2180947,23.0372738
2020/2/21,臺南市,安南區,安順里,住宅,60,1,0,20,20,0,1,1,2,1,5,2,120.2209801,23.0500919
2020/2/17,臺南市,安南區,安慶里,住宅,50,0,1,4,5,0,0,0,0,0,0,0,120.2094381,23.0390892
2020/2/17,臺南市,安南區,佃東里,住宅,50,0,6,22,28,0,0,0,0,0,0,0,120.1849082,23.0724268
2020/2/20,臺南市,安南區,幸福里,住宅,50,0,0,8,8,0,0,0,0,0,0,0,120.1899588,23.0210189
2020/2/19,臺南市,安南區,東和里,住宅,50,0,4,7,11,0,0,0,0,0,0,0,120.2368486,23.0615247
2020/2/19,臺南市,安南區,長安里,住宅,50,1,3,5,8,0,2,2,4,1,25,6,120.1964522,23.0646352
2020/2/21,臺南市,安南區,原佃里,住宅,50,0,3,8,11,0,0,0,0,0,0,0,120.1964522,23.0538947
2020/2/17,臺南市,安南區,海西里,住宅,50,0,2,11,13,0,0,0,0,0,0,0,120.1791357,23.0306699
2020/2/20,臺南市,安南區,海佃里,住宅,50,0,0,5,5,0,0,0,0,0,0,0,120.1892373,23.0245267
2020/2/18,臺南市,安南區,海東里,住宅,50,0,7,2,9,0,0,0,0,0,0,0,120.1863512,23.0412431
2020/2/21,臺南市,安南區,國安里,住宅,75,0,8,5,13,0,0,0,0,0,0,0,120.1805789,23.0236541
2020/2/17,臺南市,安南區,淵西里,住宅,50,0,6,7,13,0,0,0,0,0,0,0,120.1661469,23.0562175
2020/2/17,臺南市,安南區,淵東里,住宅,50,1,0,6,6,0,1,1,2,1,17,5,120.1776926,23.0564843
2020/2/20,臺南市,安南區,理想里,住宅,59,0,5,5,10,0,0,0,0,0,0,0,120.1914018,23.0368283
2020/2/17,臺南市,安南區,頂安里,住宅,50,0,0,7,7,0,0,0,0,0,0,0,120.2043882,23.0394768
2020/2/19,臺南市,安南區,塭南里,住宅,50,0,2,4,6,0,0,0,0,0,0,0,120.2209801,23.0715691
2020/2/18,臺南市,安南區,新順里,住宅,75,0,6,23,29,0,0,0,0,0,0,0,120.2195374,23.0436829
2020/2/17,臺南市,安南區,溪心里,住宅,51,0,3,5,8,0,0,0,0,0,0,0,120.1849082,23.0509441
2020/2/20,臺南市,安南區,溪東里,住宅,51,1,6,6,12,0,1,1,2,1,8,3,120.2015025,23.0253139
2020/2/20,臺南市,安南區,溪頂里,住宅,50,0,4,10,14,0,0,0,0,0,0,0,120.2072739,23.0254471
2020/2/20,臺南市,安南區,溪墘里,地區,50,0,4,3,7,0,0,0,0,0,0,0,120.1928448,23.0244424
2020/2/21,臺南市,安南區,總頭里,住宅,50,2,4,11,15,0,2,2,4,1,13,4,120.2065525,23.050434
2020/2/21,臺南市,安南區,?田里,住宅,75,0,2,6,8,0,0,0,0,0,0,0,120.1531568,23.028049
2020/2/20,臺南市,安平區,天妃里,住宅,50,0,8,5,13,0,0,0,0,0,0,0,120.1670006,23.0005657
2020/2/19,臺南市,安平區,文平里,住宅,50,0,5,3,8,0,0,0,0,0,0,0,120.1805789,22.9860574
2020/2/21,臺南市,安平區,文平里,住宅,50,0,1,6,7,0,0,0,0,0,0,0,120.1805789,22.9860574
2020/2/18,臺南市,安平區,王城里,住宅,50,0,2,1,3,0,0,0,0,0,0,0,120.1606244,23.0015093
2020/2/20,臺南市,安平區,平安里,住宅,50,0,0,3,3,0,0,0,0,0,0,0,120.1726415,22.9991307
2020/2/19,臺南市,安平區,平通里,住宅,50,0,1,3,4,0,0,0,0,0,0,0,120.1690334,22.9938422
2020/2/21,臺南市,安平區,平通里,住宅,50,0,8,11,19,0,0,0,0,0,0,0,120.1690334,22.9938422
2020/2/21,臺南市,安平區,育平里,住宅,50,0,1,7,8,0,0,0,0,0,0,0,120.1661469,22.989074
2020/2/17,臺南市,安平區,怡平里,住宅,50,0,9,6,15,0,0,0,0,0,0,0,120.176971,22.994197
2020/2/21,臺南市,安平區,怡平里,住宅,50,0,4,13,17,0,0,0,0,0,0,0,120.176971,22.994197
2020/2/17,臺南市,安平區,金城里,住宅,50,0,0,5,5,0,0,0,0,0,0,0,120.1488264,22.9953785
2020/2/18,臺南市,安平區,建平里,住宅,50,0,2,6,8,0,0,0,0,0,0,0,120.1834651,22.9935103
2020/2/18,臺南市,安平區,建平里,住宅,50,0,1,7,8,0,0,0,0,0,0,0,120.1834651,22.9935103
2020/2/20,臺南市,安平區,國平里,住宅,50,0,8,11,19,0,0,0,0,0,0,0,120.1675902,22.9793723
