日期,臺南市,區別,里別,調查種類,調查戶數,陽性戶數,調查容器戶內,調查容器戶外,調查容器合計,陽性容器戶內,陽性容器戶外,陽性容器合計,布氏指數,布氏級數,容器指數,容器級數,經度,緯度
2019/1/18,臺南市,東　區,大同里,住宅,50,0,3,3,6,0,0,0,0,0,0,0,120.2130451,22.9839645
2019/1/14,臺南市,東　區,大智里,住宅,50,1,2,21,23,0,1,1,2,1,4,2,120.2332423,22.962286
2019/1/14,臺南市,東　區,大智里,住宅,52,2,13,2,15,1,1,2,4,1,13,4,120.2332423,22.962286
2019/1/18,臺南市,東　區,大福里,住宅,50,0,1,0,1,0,0,0,0,0,0,0,120.2159306,22.9739636
2019/1/18,臺南市,東　區,大德里,住宅,51,0,0,4,4,0,0,0,0,0,0,0,120.2148485,22.9778817
2019/1/14,臺南市,東　區,大學里,住宅,50,1,3,4,7,1,0,1,2,1,14,4,120.2209801,22.9963981
2019/1/19,臺南市,東　區,小東里,住宅,50,0,9,3,12,0,0,0,0,0,0,0,120.227472,22.9970514
2019/1/17,臺南市,東　區,中西里,住宅,50,0,5,2,7,0,0,0,0,0,0,0,120.2202587,22.9905086
2019/1/19,臺南市,東　區,仁和里,住宅,51,1,1,17,18,0,1,1,2,1,6,3,120.2357667,22.9701464
2019/1/16,臺南市,東　區,文聖里,住宅,53,0,1,8,9,0,0,0,0,0,0,0,120.2447821,22.9840282
2019/1/17,臺南市,東　區,成大里,住宅,50,0,0,3,3,0,0,0,0,0,0,0,120.2152092,22.9976069
2019/1/16,臺南市,東　區,東明里,住宅,50,0,2,6,8,0,0,0,0,0,0,0,120.227472,22.9916823
2019/1/15,臺南市,東　區,南聖里,住宅,51,0,7,12,19,0,0,0,0,0,0,0,120.2462245,22.9890944
2019/1/19,臺南市,東　區,後甲里,住宅,50,0,0,2,2,0,0,0,0,0,0,0,120.2382911,22.9927707
2019/1/17,臺南市,東　區,崇成里,住宅,50,0,4,5,9,0,0,0,0,0,0,0,120.2289146,22.9712457
2019/1/17,臺南市,東　區,崇明里,住宅,50,0,0,7,7,0,0,0,0,0,0,0,120.2195374,22.9685104
