日期,台南市,區別,里別,調查種類,調查戶數,陽性戶數,調查容器戶內,調查容器戶外,調查容器合計,陽性容器戶內,陽性容器戶外,陽性容器合計,布氏指數,布氏級數,容器指數,容器級數,經度,緯度
106/3/13,台南市,東　區,大德里,住宅,254,3,21,46,67,0,3,3,1,1,4,2,120.2148485,22.9778817
106/3/13,台南市,東　區,大福里,住宅,154,1,24,65,89,0,1,1,1,1,1,1,120.2159306,22.9739636
106/3/13,台南市,東　區,大福里,住宅,194,0,36,38,74,0,0,0,0,0,0,0,120.2159306,22.9739636
106/3/13,台南市,東　區,忠孝里,住宅,60,0,5,4,9,0,0,0,0,0,0,0,120.218816,22.9773869
106/3/13,台南市,東　區,路東里,住宅,111,2,19,17,36,3,0,3,3,1,8,3,120.2134058,22.9801973
106/3/13,台南市,東　區,路東里,住宅,68,1,7,21,28,0,1,1,1,1,4,2,120.2134058,22.9801973
106/3/13,台南市,東　區,大德里,住宅,28,0,8,6,14,0,0,0,0,0,0,0,120.2148485,22.9778817
106/3/14,台南市,東　區,忠孝里,住宅,52,0,7,5,12,0,0,0,0,0,0,0,120.218816,22.9773869
106/3/14,台南市,東　區,龍山里,機關,51,0,16,4,20,0,0,0,0,0,0,0,120.2217014,22.9834946
106/3/14,台南市,東　區,忠孝里,住宅,54,1,10,12,22,0,1,1,2,1,5,2,120.218816,22.9773869
106/3/14,台南市,東　區,忠孝里,住宅,50,0,6,7,13,0,0,0,0,0,0,0,120.218816,22.9773869
106/3/15,台南市,東　區,大同里,住宅,50,0,3,3,6,0,0,0,0,0,0,0,120.2130451,22.9839645
106/3/15,台南市,東　區,復興里,住宅,53,1,3,4,7,1,0,1,2,1,14,4,120.238356,22.982061
106/3/15,台南市,東　區,文聖里,住宅,50,0,0,11,11,0,0,0,0,0,0,0,120.2447821,22.9840282
106/3/16,台南市,東　區,德高里,住宅,75,1,1,20,21,0,1,1,1,1,5,2,120.2354061,22.9665308
106/3/16,台南市,東　區,德高里,住宅,75,4,10,25,35,0,4,4,5,2,11,4,120.2354061,22.9665308
