日期,臺南市,區別,里別,"調查種類","調查戶數","陽性戶數",調查容器戶內,調查容器戶外,調查容器合計,陽性容器戶內,陽性容器戶外,陽性容器合計,布氏指數,布氏級數,容器指數,容器級數,經度,緯度
2020/6/22,臺南市,東　區,大同里,住宅,50,0,1 ,6 ,7 ,0 ,0 ,0 ,0 ,0,0 ,0,120.2130451,22.9839645
2020/6/22,臺南市,東　區,小東里,住宅,51,0,9,2,11,0,0,0,0,0,0,0,120.227472,22.9970514
2020/6/24,臺南市,東　區,仁和里,住宅,50,0,0 ,5 ,5 ,0 ,0 ,0 ,0 ,0,0 ,0,120.2357667,22.9701464
2020/6/23,臺南市,東　區,和平里,住宅,51,0,0 ,4 ,4 ,0 ,0 ,0 ,0 ,0,0 ,0,120.2354061,22.9745842
2020/6/23,臺南市,東　區,東光里,住宅,50,2,8 ,7 ,15 ,1 ,1 ,2 ,4 ,1,13 ,4,120.2303571,22.99242
2020/6/23,臺南市,東　區,東門里,住宅,50,0,0 ,6 ,6 ,0 ,0 ,0 ,0 ,0,0 ,0,120.2144878,22.9890322
2020/6/24,臺南市,東　區,虎尾里,住宅,54,0,0,3,3,0,0,0,0,0,0,0,120.2361273,22.9791309
2020/6/22,臺南市,東　區,南聖里,住宅,50,0,0,5,5,0,0,0,0,0,0,0,120.2462245,22.9890944
2020/6/22,臺南市,東　區,崇文里,住宅,52,0,0,4,4,0,0,0,0,0,0,0,120.2296358,22.9677389
2020/6/22,臺南市,東　區,崇成里,住宅,50,0,3,3,6,0,0,0,0,0,0,0,120.2289146,22.9712457
2020/6/24,臺南市,東　區,崇信里,住宅,50,0,7,4,11,0,0,0,0,0,0,0,120.227472,22.9809439
2020/6/22,臺南市,東　區,崇善里,住宅,50,1,1,4,5,0,1,1,2,1,20,5,120.2303571,22.9736282
2020/6/22,臺南市,東　區,崇德里,住宅,51,0,2,6,8,0,0,0,0,0,0,0,120.2260293,22.9745344
2020/6/22,臺南市,東　區,崇學里,住宅,50,2,3,15,18,0,2,2,4,1,11,4,120.2231441,22.9778231
2020/6/24,臺南市,東　區,富強里,住宅,50,1,2,10,12,0,1,1,2,1,8,3,120.2317997,22.9867487
2020/6/22,臺南市,東　區,富裕里,住宅,51,0,0,4,4,0,0,0,0,0,0,0,120.227472,22.9849708
2020/6/22,臺南市,東　區,裕聖里,住宅,50,0,1,3,4,0,0,0,0,0,0,0,120.2469457,22.9802195
2020/6/23,臺南市,東　區,裕農里,住宅,50,4,15,5,20,1,3,4,8,2,20,5,120.2289146,22.9886954
2020/6/22,臺南市,南　區,大林里,住宅,50,2,1,11,12,0,2,2,4,1,17,5,120.2058311,22.9733919
2020/6/22,臺南市,南　區,明德里,住宅,50,0,2,8,10,0,0,0,0,0,0,0,120.200781,22.9710918
2020/6/23,臺南市,南　區,明德里,住宅,75,0,0,12,12,0,0,0,0,0,0,0,120.200781,22.9710918
2020/6/24,臺南市,南　區,金華里,住宅,75,1,0,9,9,0,1,1,1,1,11,4,120.1885158,22.9796984
2020/6/24,臺南市,南　區,南都里,住宅,75,0,0,9,9,0,0,0,0,0,0,0,120.1841866,22.9550918
2020/6/22,臺南市,南　區,南華里,住宅,50,0,0,5,5,0,0,0,0,0,0,0,120.1885158,22.9622436
2020/6/22,臺南市,南　區,省躬里,住宅,50,1,7,12,19,0,1,1,2,1,5,2,120.1863512,22.9338276
2020/6/23,臺南市,南　區,國宅里,住宅,75,2,0,11,11,0,2,2,3,1,18,5,120.1870727,22.9759721
2020/6/22,臺南市,南　區,喜東里,住宅,88,0,3,16,19,0,0,0,0,0,0,0,120.1906803,22.9423225
2020/6/22,臺南市,南　區,鯤鯓里,住宅,50,2,1,16,17,0,2,2,4,1,12,4,120.1733631,22.9566809
2020/6/22,臺南市,北　區,力行里,住宅,50,0,3,2,5,0,0,0,0,0,0,0,120.2292752,23.0084185
2020/6/22,臺南市,北　區,大興里,住宅,50,1,4,7,11,1,0,1,2,1,9,3,120.1878641,23.0122966
2020/6/23,臺南市,北　區,小北里,住宅,50,1,2,6,8,1,0,1,2,1,13,4,120.2079953,23.008515
2020/6/22,臺南市,北　區,中樓里,住宅,50,1,0,3,3,0,1,1,2,1,33,8,120.2159306,23.0034966
2020/6/23,臺南市,北　區,元美里,住宅,50,1,0,7,7,0,1,1,2,1,14,4,120.1978952,23.0146579
2020/6/22,臺南市,北　區,文元里,住宅,50,0,8,3,11,0,0,0,0,0,0,0,120.1978952,23.0146579
2020/6/22,臺南市,北　區,永祥里,住宅,50,1,1,10,11,0,1,1,2,1,9,3,120.2202587,23.0160134
2020/6/22,臺南市,北　區,成功里,住宅,50,0,6,9,15,0,0,0,0,0,0,0,120.2094381,23.0202949
