日期,台南市,區別,里別,"調查種類","調查戶數","陽性戶數",調查容器戶內,調查容器戶外,調查容器合計,陽性容器戶內,陽性容器戶外,陽性容器合計,布氏指數,布氏級數,容器指數,容器級數,緯度,經度
2017/7/3,台南市,東　區,文聖里,住宅,75,3,9 ,21 ,30 ,0 ,3 ,3 ,4 ,1,10 ,4,22.9840282,120.2447821
2017/7/3,台南市,東　區,大福里,地區,53,2,2 ,7 ,9 ,0 ,2 ,2 ,4 ,1,22 ,6,22.9739636,120.2159306
2017/7/3,台南市,東　區,東聖里,住宅,50,2,8 ,14 ,22 ,0 ,2 ,2 ,4 ,1,9 ,3,22.9861443,120.2346848
2017/7/3,台南市,東　區,裕聖里,住宅,50,2,2 ,10 ,12 ,0 ,2 ,2 ,4 ,1,17 ,5,22.9802195,120.2469457
2017/7/4,台南市,東　區,小東里,住宅,50,0,6 ,6 ,12 ,0 ,0 ,0 ,0 ,0,0 ,0,22.9970514,120.227472
2017/7/4,台南市,東　區,崇誨里,住宅,60,1,1 ,8 ,9 ,0 ,1 ,1 ,2 ,1,11 ,4,22.989711,120.2256687
2017/7/4,台南市,東　區,東安里,住宅,51,0,0 ,12 ,12 ,0 ,0 ,0 ,0 ,0,0 ,0,22.9872616,120.2213407
2017/7/5,台南市,東　區,圍下里,住宅,63,3,4 ,29 ,33 ,0 ,5 ,5 ,8 ,2,15 ,5,22.9919771,120.2148485
2017/7/5,台南市,東　區,莊敬里,住宅,75,3,7 ,37 ,44 ,0 ,3 ,3 ,4 ,1,7 ,3,22.9966645,120.232521
2017/7/6,台南市,東　區,成大里,住宅,57,1,2 ,8 ,10 ,0 ,1 ,1 ,2 ,1,10 ,4,22.9976069,120.2152092
2017/7/6,台南市,東　區,富裕里,住宅,50,0,0 ,7 ,7 ,0 ,0 ,0 ,0 ,0,0 ,0,22.9849708,120.227472
2017/7/6,台南市,東　區,崇學里,住宅,50,1,5 ,15 ,20 ,0 ,1 ,1 ,2 ,1,5 ,2,22.9778231,120.2231441
2017/7/6,台南市,東　區,自強里,住宅,50,1,11 ,19 ,30 ,0 ,1 ,1 ,2 ,1,3 ,2,22.9824198,120.2332423
2017/7/6,台南市,東　區,德高里,住宅,50,1,0 ,6 ,6 ,0 ,1 ,1 ,2 ,1,17 ,5,22.965884,120.235589
2017/7/6,台南市,東　區,後甲里,住宅,50,1,1 ,20 ,21 ,0 ,1 ,1 ,2 ,1,5 ,2,22.9927707,120.2382911
2017/7/7,台南市,東　區,南聖里,住宅,50,1,0 ,4 ,4 ,0 ,1 ,1 ,2 ,1,25 ,6,22.9890944,120.2462245
2017/7/7,台南市,東　區,自強里,住宅,50,10,2 ,32 ,34 ,0 ,16 ,16 ,32 ,4,47 ,9,22.9824198,120.2332423
2017/7/7,台南市,東　區,南聖里,住宅,50,3,1 ,8 ,9 ,0 ,3 ,3 ,6 ,2,33 ,8,22.9890944,120.2462245
2017/7/7,台南市,東　區,裕農里,住宅,56,0,1 ,12 ,13 ,0 ,0 ,0 ,0 ,0,0 ,0,22.9886954,120.2289146
2017/7/7,台南市,東　區,大智里,住宅,50,5,2 ,25 ,27 ,0 ,10 ,10 ,20 ,4,37 ,8,22.962286,120.2332423
2017/7/7,台南市,東　區,富強里,住宅,53,5,7 ,15 ,22 ,1 ,5 ,6 ,11 ,3,27 ,6,22.9867487,120.2317997
2017/7/7,台南市,東　區,後甲里,住宅,50,0,7 ,6 ,13 ,0 ,0 ,0 ,0 ,0,0 ,0,22.9927707,120.2382911
2017/7/8,台南市,東　區,崇信里,住宅,53,0,7 ,9 ,16 ,0 ,0 ,0 ,0 ,0,0 ,0,22.9809439,120.227472
2017/7/3,台南市,南　區,永寧里,住宅,50,0,3 ,32 ,35 ,0 ,0 ,0 ,0 ,0,0 ,0,22.9291405,120.1798573
2017/7/3,台南市,南　區,新生里,住宅,50,2,3 ,16 ,19 ,0 ,2 ,2 ,4 ,1,11 ,4,22.9775543,120.2116023
2017/7/4,台南市,南　區,明興里,住宅,50,3,11 ,24 ,35 ,1 ,3 ,4 ,8 ,2,11 ,4,22.9629831,120.1914018
2017/7/5,台南市,南　區,廣州里,住宅,50,2,14 ,11 ,25 ,0 ,2 ,2 ,4 ,1,8 ,3,22.9841637,120.1928448
2017/7/5,台南市,南　區,文南里,住宅,50,1,6 ,9 ,15 ,0 ,1 ,1 ,2 ,1,7 ,3,22.9840282,120.1870727
2017/7/6,台南市,南　區,明亮里,住宅,50,1,8 ,11 ,19 ,0 ,1 ,1 ,2 ,1,5 ,2,22.9693947,120.1928448
2017/7/6,台南市,南　區,明興里,住宅,50,2,0 ,8 ,8 ,0 ,2 ,2 ,4 ,1,25 ,6,22.9629831,120.1914018
2017/7/6,台南市,南　區,建南里,住宅,50,0,0 ,5 ,5 ,0 ,0 ,0 ,0 ,0,0 ,0,22.9572284,120.1964522
2017/7/7,台南市,南　區,白雪里,住宅,50,0,1 ,6 ,7 ,0 ,0 ,0 ,0 ,0,0 ,0,22.9676143,120.1885158
2017/7/7,台南市,南　區,光明里,住宅,50,0,0 ,2 ,2 ,0 ,0 ,0 ,0 ,0,0 ,0,22.971944,120.1870727
2017/7/7,台南市,南　區,文華里,住宅,50,3,6 ,11 ,17 ,2 ,4 ,6 ,12 ,3,35 ,8,22.98611,120.1899588
2017/7/7,台南市,南　區,新昌里,住宅,50,6,1 ,21 ,22 ,0 ,6 ,6 ,12 ,3,27 ,6,22.9835601,120.1957308
2017/7/3,台南市,北　區,大豐里,其他,75,1,8 ,8 ,16 ,0 ,1 ,1 ,1 ,1,6 ,3,23.0078107,120.1921233
2017/7/3,台南市,北　區,大道里,其他,50,2,4 ,27 ,31 ,0 ,2 ,2 ,4 ,1,6 ,3,23.0099486,120.2155699
2017/7/4,台南市,北　區,正覺里,住宅,50,0,5 ,7 ,12 ,0 ,0 ,0 ,0 ,0,0 ,0,23.0151428,120.2116023
2017/7/4,台南市,北　區,公園里,其他,50,2,4 ,12 ,16 ,0 ,2 ,2 ,4 ,1,13 ,4,23.0006781,120.2101595
2017/7/4,台南市,北　區,永祥里,其他,50,1,5 ,11 ,16 ,0 ,1 ,1 ,2 ,1,6 ,3,23.0160134,120.2202587
2017/7/4,台南市,北　區,力行里,其他,50,1,5 ,11 ,16 ,0 ,1 ,1 ,2 ,1,6 ,3,23.0084185,120.2292752
2017/7/5,台南市,北　區,大仁里,住宅,50,2,2 ,22 ,24 ,0 ,3 ,3 ,6 ,2,13 ,4,23.0074149,120.2148485
2017/7/5,台南市,北　區,國興里,住宅,50,0,3 ,8 ,11 ,0 ,0 ,0 ,0 ,0,0 ,0,23.0094345,120.2260293
2017/7/5,台南市,北　區,中樓里,住宅,50,0,3 ,14 ,17 ,0 ,0 ,0 ,0 ,0,0 ,0,23.0034966,120.2159306
2017/7/5,台南市,北　區,重興里,住宅,50,2,5 ,10 ,15 ,0 ,2 ,2 ,4 ,1,13 ,4,23.0040653,120.2260293
2017/7/6,台南市,北　區,成功里,住宅,50,2,6 ,12 ,18 ,0 ,2 ,2 ,4 ,1,11 ,4,23.0202949,120.2094381
2017/7/6,台南市,北　區,玉皇里,住宅,50,0,5 ,12 ,17 ,0 ,0 ,0 ,0 ,0,0 ,0,22.9996798,120.2069132
2017/7/6,台南市,北　區,大山里,住宅,50,2,5 ,8 ,13 ,0 ,2 ,2 ,4 ,1,15 ,5,23.0090596,120.2134058
2017/7/6,台南市,北　區,文成里,住宅,75,1,5 ,13 ,18 ,0 ,1 ,1 ,1 ,1,6 ,3,23.0074248,120.1971737
2017/7/6,台南市,北　區,成功里,住宅,50,2,6 ,12 ,18 ,0 ,2 ,2 ,4 ,1,11 ,4,23.0202949,120.2094381
2017/7/6,台南市,北　區,玉皇里,住宅,50,0,5 ,12 ,17 ,0 ,0 ,0 ,0 ,0,0 ,0,22.9996798,120.2069132
2017/7/7,台南市,北　區,勝安里,地區,50,0,0 ,13 ,13 ,0 ,0 ,0 ,0 ,0,0 ,0,23.0074816,120.217734
