日期,臺南市,區別,里別,調查種類,調查戶數,陽性戶數,調查容器戶內,調查容器戶外,調查容器合計,陽性容器戶內,陽性容器戶外,陽性容器合計,布氏指數,布氏級數,容器指數,容器級數,經度,緯度
2018/11/13,臺南市,東　區,大智里,住宅,50,0,0,8,8,0,0,0,0,0,0,0,120.2332423,22.962286
2018/11/12,臺南市,東　區,大德里,住宅,51,0,4,13,17,0,0,0,0,0,0,0,120.2148485,22.9778817
2018/11/12,臺南市,東　區,小東里,住宅,50,0,0,9,9,0,0,0,0,0,0,0,120.227472,22.9970514
2018/11/16,臺南市,東　區,中西里,住宅,50,2,4,15,19,0,2,2,4,1,11,4,120.2202587,22.9905086
2018/11/13,臺南市,東　區,仁和里,住宅,67,4,24,11,35,1,4,5,7,2,14,4,120.2357667,22.9701464
2018/11/14,臺南市,東　區,仁和里,住宅,135,4,21,17,38,5,0,5,4,1,13,4,120.2357667,22.9701464
2018/11/14,臺南市,東　區,仁和里,住宅,122,2,72,9,81,4,0,4,3,1,5,2,120.2357667,22.9701464
2018/11/16,臺南市,東　區,文聖里,住宅,50,0,0,13,13,0,0,0,0,0,0,0,120.2447821,22.9840282
2018/11/13,臺南市,東　區,成大里,住宅,34,1,1,5,6,0,1,1,3,1,17,5,120.2152092,22.9976069
2018/11/15,臺南市,東　區,和平里,住宅,75,0,0,12,12,0,0,0,0,0,0,0,120.2354061,22.9745842
2018/11/16,臺南市,東　區,忠孝里,住宅,50,1,4,6,10,0,1,1,2,1,10,4,120.218816,22.9773869
2018/11/16,臺南市,東　區,東門里,住宅,50,1,11,3,14,0,1,1,2,1,7,3,120.2144878,22.9890322
2018/11/13,臺南市,東　區,南聖里,住宅,38,0,0,9,9,0,0,0,0,0,0,0,120.2462245,22.9890944
2018/11/14,臺南市,東　區,後甲里,住宅,75,1,17,7,24,1,0,1,1,1,4,2,120.2382911,22.9927707
2018/11/15,臺南市,東　區,崇善里,住宅,50,3,9,20,29,1,2,3,6,2,10,4,120.2303571,22.9736282
2018/11/13,臺南市,東　區,崇誨里,住宅,50,1,6,6,12,1,0,1,2,1,8,3,120.2256687,22.989711
2018/11/16,臺南市,東　區,崇學里,住宅,54,2,14,12,26,1,1,2,4,1,8,3,120.2231441,22.9778231
2018/11/15,臺南市,東　區,莊敬里,住宅,75,0,13,29,42,0,0,0,0,0,0,0,120.232521,22.9966645
2018/11/15,臺南市,東　區,富強里,住宅,50,0,0,7,7,0,0,0,0,0,0,0,120.2317997,22.9867487
2018/11/12,臺南市,東　區,富裕里,住宅,51,3,10,11,21,1,2,3,6,2,14,4,120.227472,22.9849708
2018/11/16,臺南市,東　區,復興里,住宅,50,0,5,9,14,0,0,0,0,0,0,0,120.2375698,22.9815131
2018/11/12,臺南市,東　區,德光里,住宅,56,0,5,25,30,0,0,0,0,0,0,0,120.2202587,22.981112
2018/11/12,臺南市,東　區,德高里,住宅,50,0,0,9,9,0,0,0,0,0,0,0,120.2354061,22.9665308
2018/11/16,臺南市,東　區,衛國里,住宅,50,0,0,17,17,0,0,0,0,0,0,0,120.2245867,22.9882597
2018/11/14,臺南市,南　區,大成里,住宅,50,1,5,12,17,0,1,1,2,1,6,3,120.1986166,22.9802712
2018/11/15,臺南市,南　區,大忠里,住宅,50,0,8,5,13,0,0,0,0,0,0,0,120.2101595,22.9698014
2018/11/13,臺南市,南　區,大林里,住宅,50,0,10,4,14,0,0,0,0,0,0,0,120.2058311,22.9733919
2018/11/13,臺南市,南　區,大林里,住宅,50,0,10,4,14,0,0,0,0,0,0,0,120.2058311,22.9733919
2018/11/15,臺南市,南　區,大恩里,住宅,50,0,6,11,17,0,0,0,0,0,0,0,120.2079953,22.9548154
2018/11/15,臺南市,南　區,文華里,住宅,50,1,5,8,13,0,1,1,2,1,8,3,120.1899588,22.98611
