日期,臺南市,區別,里別,調查種類,調查戶數,陽性戶數,調查容器戶內,調查容器戶外,調查容器合計,陽性容器戶內,陽性容器戶外,陽性容器合計,布氏指數,布氏級數,容器指數,容器級數,緯度,經度
2018/1/30,臺南市,中西區,天后里,住宅,50,0,6,20,26,0,0,0,0,0,0,0,22.9975318,120.2011417
2018/1/30,臺南市,中西區,永福里,住宅,50,1,3,11,14,0,1,1,2,1,7,3,22.9933532,120.2018632
2018/1/31,臺南市,中西區,安海里,住宅,50,0,7,13,20,0,0,0,0,0,0,0,22.9959872,120.1924841
2018/1/31,臺南市,中西區,民生里,住宅,50,0,10,8,18,0,0,0,0,0,0,0,22.989425,120.1917626
2018/2/1,臺南市,中西區,法華里,住宅,50,0,6,9,15,0,0,0,0,0,0,0,22.9822947,120.2097988
2018/2/1,臺南市,中西區,大涼里,住宅,50,0,1,11,12,0,0,0,0,0,0,0,22.9923029,120.1892373
2018/2/1,臺南市,中西區,五妃里,住宅,50,0,1,18,19,0,0,0,0,0,0,0,22.984132,120.2058311
2018/2/1,臺南市,中西區,大南里,住宅,50,0,1,2,3,0,0,0,0,0,0,0,22.9847358,120.2029453
2018/2/1,臺南市,中西區,郡王里,住宅,50,0,11,11,22,0,0,0,0,0,0,0,22.986515,120.2072739
2018/2/1,臺南市,中西區,仙草里,住宅,50,0,4,5,9,0,0,0,0,0,0,0,22.984299,120.1986166
2018/2/2,臺南市,中西區,郡王里,學校,50,0,0,1,1,0,0,0,0,0,0,0,22.986515,120.2072739
2018/2/2,臺南市,中西區,普濟里,住宅,50,1,6,2,8,0,1,1,2,1,13,4,22.9991764,120.1996988
2018/2/2,臺南市,中西區,西賢里,住宅,50,1,6,8,14,0,1,1,2,1,7,3,23.0039814,120.1719199
2018/2/2,臺南市,中西區,赤嵌里,住宅,50,1,12,7,19,1,0,1,2,1,5,2,22.9972549,120.2072739
2018/2/2,臺南市,中西區,進學里,住宅,50,0,4,11,15,0,0,0,0,0,0,0,22.9877228,120.2015025
2018/1/29,臺南市,安南區,原佃里,住宅,52,2,0,17,17,0,2,2,4,1,12,4,23.0538947,120.1964522
2018/1/29,臺南市,安南區,安西里,住宅,50,0,3,32,35,0,0,0,0,0,0,0,23.0310345,120.2094381
2018/1/29,臺南市,安南區,安東里,住宅,51,0,2,40,42,0,0,0,0,0,0,0,23.0372738,120.2180947
2018/1/29,臺南市,安南區,總頭里,住宅,50,3,6,12,18,0,4,4,8,2,22,6,23.050434,120.2065525
2018/1/29,臺南市,安南區,淵中里,住宅,50,0,0,17,17,0,0,0,0,0,0,0,23.0438296,120.1675902
