日期,台南市,區別,里別,調查種類,調查戶數,陽性戶數,調查容器戶內,調查容器戶外,調查容器合計,陽性容器戶內,陽性容器戶外,陽性容器合計,布氏指數,布氏級數,容器指數,容器級數,經度,緯度
105/9/20,台南市,鹽水區,汫水里,住宅,50,0,0,4,4,0,0,0,0,0,0,0,120.2830007,23.3416158
105/9/20,台南市,鹽水區,岸內里,住宅,50,0,0,3,3,0,0,0,0,0,0,0,120.2714642,23.3279664
105/9/20,台南市,鹽水區,歡雅里,住宅,50,0,0,1,1,0,0,0,0,0,0,0,120.2368486,23.2869972
105/9/20,台南市,鹽水區,三生里,住宅,50,0,0,1,1,0,0,0,0,0,0,0,120.2680391,23.3218171
105/9/20,台南市,鹽水區,孫厝里,住宅,50,0,0,4,4,0,0,0,0,0,0,0,120.2195374,23.2906603
105/9/21,台南市,白河區,竹門里,住宅,50,0,0,3,3,0,0,0,0,0,0,0,120.4501653,23.3756819
105/9/21,台南市,白河區,仙草里,住宅,50,0,0,2,2,0,0,0,0,0,0,0,120.4847242,23.3468455
105/9/9,台南市,柳營區,神農里,住宅,52,0,0,21,21,0,0,0,0,0,0,0,120.3579632,23.2613107
105/9/10,台南市,柳營區,光福里,住宅,50,0,0,9,9,0,0,0,0,0,0,0,120.3154416,23.2710112
105/9/19,台南市,柳營區,八翁里,住宅,50,0,0,4,4,0,0,0,0,0,0,0,120.2945362,23.2694095
105/9/20,台南市,柳營區,士林里,住宅,51,1,0,8,8,0,1,1,2,1,0,0,120.3103958,23.2754352
105/9/20,台南市,柳營區,光福里,住宅,50,0,6,12,18,0,0,0,0,0,0,0,120.3154416,23.2710112
105/9/21,台南市,柳營區,重溪里,住宅,50,0,0,11,11,0,0,0,0,0,0,0,120.3579632,23.2934914
105/9/5,台南市,後壁區,侯伯里,住宅,50,1,0,57,57,0,1,1,2,1,0,0,120.368051,23.3731288
105/9/7,台南市,後壁區,菁寮里,住宅,50,0,0,10,10,0,0,0,0,0,0,0,120.3176041,23.382543
105/9/10,台南市,後壁區,頂安里,住宅,50,0,0,6,6,0,0,0,0,0,0,0,120.3521983,23.3429894
105/9/20,台南市,後壁區,土溝里,住宅,50,0,0,20,20,0,0,0,0,0,0,0,120.3925467,23.3719211
105/9/22,台南市,後壁區,後壁里,住宅,50,0,0,6,6,0,0,0,0,0,0,0,120.3579632,23.3632139
105/9/22,台南市,後壁區,福安里,住宅,50,0,0,8,8,0,0,0,0,0,0,0,120.3536396,23.3252512
