日期,台南市,區別,里別,調查種類,調查戶數,陽性戶數,調查容器戶內,調查容器戶外,調查容器合計,陽性容器戶內,陽性容器戶外,陽性容器合計,布氏指數,布氏級數,容器指數,容器級數,經度,緯度
105/1/5,台南市,東　區,富強里,住宅,62,1,0,35,35,0,2,2,3,1,6,3,120.2317997,22.9867487
105/1/5,台南市,東　區,大福里,住宅,50,0,0,7,7,0,0,0,0,0,0,0,120.2159306,22.9739636
105/1/4,台南市,東　區,崇學里,住宅,50,0,1,45,46,0,0,0,0,0,0,0,120.2231441,22.9778231
105/1/6,台南市,東　區,崇德里,住宅,159,1,2,16,18,0,1,1,1,1,6,3,120.2260293,22.9745344
105/1/6,台南市,東　區,大同里,住宅,50,0,1,8,9,0,0,0,0,0,0,0,120.2130451,22.9839645
105/1/7,台南市,東　區,崇學里,住宅,99,0,0,136,136,0,0,0,0,0,0,0,120.2231441,22.9778231
105/1/6,台南市,南　區,廣州里,住宅,33,0,6,11,17,0,0,0,0,0,0,0,120.1928448,22.9841637
105/1/4,台南市,中西區,三民里,住宅,53,0,4,7,11,0,0,0,0,0,0,0,120.2058311,22.994872
105/1/4,台南市,中西區,三合里,住宅,50,0,4,9,13,0,0,0,0,0,0,0,120.1960915,22.9999315
105/1/6,台南市,中西區,永華里,住宅,50,0,0,6,6,0,0,0,0,0,0,0,120.2043882,22.9911465
105/1/7,台南市,中西區,郡王里,住宅,50,0,3,10,13,1,1,2,4,1,15,5,120.2072739,22.986515
105/1/7,台南市,中西區,赤嵌里,住宅,50,0,1,10,11,0,0,0,0,0,0,0,120.2072739,22.986515
105/1/9,台南市,中西區,元安里,住宅,64,0,0,20,20,0,1,1,2,1,5,2,120.1960915,22.9885194
105/1/5,台南市,安平區,港仔里,住宅,50,1,0,7,7,0,0,0,0,0,0,0,120.1647036,22.9934043
105/1/9,台南市,安平區,海頭里,住宅,50,1,0,8,8,0,0,0,0,0,0,0,120.1625386,23.0025857
105/1/1,台南市,歸仁區,歸仁里,住宅,50,0,0,3,3,0,0,0,0,0,0,0,120.2858846,22.9519268
105/1/4,台南市,歸仁區,歸仁里,住宅,59,0,0,0,0,0,0,0,0,0,0,0,120.2858846,22.9519268
105/1/4,台南市,歸仁區,歸仁里,住宅,157,1,0,30,30,0,1,1,1,1,3,2,120.2858846,22.9519268
105/1/4,台南市,歸仁區,許厝里,住宅,98,0,0,5,5,0,0,0,0,0,0,0,120.2858846,22.9519268
105/1/6,台南市,龍崎區,土崎里,住宅,50,1,0,30,30,0,1,1,2,1,3,2,120.378138,22.9540045
105/1/6,台南市,龍崎區,楠坑里,住宅,50,1,0,6,6,0,1,1,2,1,17,5,120.378138,22.9540045
105/1/6,台南市,永康區,鹽行里,住宅,60,0,3,14,17,0,0,0,0,0,0,0,120.236648,23.040975
105/1/6,台南市,永康區,鹽洲里,住宅,90,0,0,8,8,0,0,0,0,0,0,0,120.2353158,23.0436165
105/1/8,台南市,永康區,鹽洲里,住宅,54,0,0,18,18,0,0,0,0,0,0,0,120.2353158,23.0436165
105/1/6,台南市,南化區,北平里,住宅,104,0,0,81,81,0,0,0,0,0,0,0,120.4530456,23.0722287
105/1/7,台南市,南化區,西埔里,住宅,60,0,0,15,15,0,0,0,0,0,0,0,120.4530456,23.0293455
105/1/9,台南市,南化區,北平里,住宅,60,0,0,13,13,0,0,0,0,0,0,0,120.4530456,23.0722287
105/1/5,台南市,麻豆區,東角里,住宅,52,0,0,9,9,0,0,0,0,0,0,0,120.2555998,23.1850701
105/1/7,台南市,麻豆區,大埕里,住宅,73,0,0,8,8,0,0,0,0,0,0,0,120.2498305,23.1862879
105/1/8,台南市,麻豆區,巷口里,住宅,83,0,25,47,72,0,0,0,0,0,0,0,120.2498305,23.1782361
105/1/9,台南市,麻豆區,麻口里,住宅,57,0,2,9,11,0,0,0,0,0,0,0,120.2195374,23.1779137
105/1/9,台南市,六甲區,甲東里,住宅,50,0,3,14,17,0,0,0,0,0,0,0,120.3637277,23.2279056
105/1/8,台南市,六甲區,中社里,住宅,52,0,0,4,4,0,0,0,0,0,0,0,120.3262535,23.2385397
105/1/5,台南市,大內區,內郭里,住宅,50,0,0,29,29,0,0,0,0,0,0,0,120.3723741,23.121487
105/1/6,台南市,大內區,內江里,住宅,50,1,0,8,8,0,1,1,2,1,13,4,120.3637277,23.1099075
105/1/7,台南市,大內區,環湖里,住宅,50,0,0,4,4,0,0,0,0,0,0,0,120.4300017,23.1736117
105/1/11,台南市,大內區,頭社里,住宅,50,0,0,4,4,0,0,0,0,0,0,0,120.3839017,23.151224
105/1/2,台南市,七股區,大埕里,住宅,65,0,1,12,13,0,0,0,0,0,0,0,120.144496,23.1453614
105/1/6,台南市,七股區,大潭里,住宅,19,0,0,10,10,0,0,0,0,0,0,0,120.134391,23.1891176
105/1/9,台南市,七股區,大埕里,住宅,68,1,0,25,25,0,2,2,3,1,8,3,120.144496,23.1453614
105/1/9,台南市,七股區,大潭里,住宅,67,1,0,21,21,0,2,2,3,1,10,4,120.134391,23.1891176
105/1/9,台南市,白河區,白河里,住宅,56,0,0,8,8,0,0,0,0,0,0,0,120.4170377,23.3439043
105/1/1,台南市,柳營區,重溪里,住宅,50,0,0,15,15,0,0,0,0,0,0,0,120.3579632,23.2934914
105/1/4,台南市,柳營區,八翁里,住宅,50,0,0,14,14,0,0,0,0,0,0,0,120.2945362,23.2694095
105/1/13,台南市,北　區,興南里,住宅,50,0,1,6,7,0,0,0,0,0,0,0,120.2087167,23.0036652
105/1/7,台南市,安南區,安和里,住宅,51,0,5,8,13,0,0,0,0,0,0,0,120.218816,23.0310818
105/1/10,台南市,安南區,布袋里,住宅,74,1,0,31,31,0,1,1,1,1,3,2,120.2065525,23.0638587
105/1/13,台南市,安平區,億載里,住宅,50,0,1,14,15,0,0,0,0,0,0,0,120.1603737,22.9902803
105/1/13,台南市,安平區,億載里,住宅,51,0,3,25,28,0,0,0,0,0,0,0,120.1603737,22.9902803
105/1/5,台南市,仁德區,仁德里,住宅,58,0,3,16,19,0,0,0,0,0,0,0,120.2622531,22.9610609
105/1/7,台南市,仁德區,仁德里,住宅,60,0,0,10,10,0,1,1,2,1,10,4,120.2622531,22.9610609
105/1/9,台南市,仁德區,保安里,住宅,50,0,0,0,0,0,0,0,0,0,0,0,120.2397336,22.9401228
105/1/7,台南市,關廟區,關廟里,住宅,76,0,0,9,9,0,0,0,0,0,0,0,120.3320195,22.9637053
105/1/14,台南市,關廟區,山西里,住宅,55,0,0,13,13,0,0,0,0,0,0,0,120.3320195,22.9637053
105/1/14,台南市,關廟區,北花里,住宅,50,0,0,42,42,0,0,0,0,0,0,0,120.3320195,22.9637053
105/1/14,台南市,關廟區,山西里,住宅,50,0,10,25,35,0,0,0,0,0,0,0,120.3320195,22.9637053
105/1/14,台南市,關廟區,北勢里,住宅,50,0,0,5,5,0,0,0,0,0,0,0,120.3363438,22.9695026
105/1/12,台南市,龍崎區,牛埔里,住宅,50,0,0,7,7,0,0,0,0,0,0,0,120.409042,22.931938
105/1/12,台南市,龍崎區,崎頂里,住宅,50,0,0,5,5,0,0,0,0,0,0,0,120.376699,22.956061
105/1/14,台南市,新化區,唪口里,住宅,60,0,0,4,4,0,0,0,0,0,0,0,120.2988617,23.0471423
105/1/14,台南市,新化區,東榮里,住宅,53,0,3,9,12,0,0,0,0,0,0,0,120.3233704,23.0325916
105/1/14,台南市,新化區,竹林里,住宅,50,0,0,10,10,0,0,0,0,0,0,0,120.3057102,23.037316
105/1/4,台南市,山上區,山上里,住宅,50,0,0,6,6,0,0,0,0,0,0,0,120.356397,23.101985
105/1/9,台南市,山上區,豐德里,住宅,50,0,0,5,5,0,0,0,0,0,0,0,120.3637277,23.0777251
105/1/12,台南市,山上區,新莊里,住宅,50,0,0,7,7,0,0,0,0,0,0,0,120.363159,23.098509
105/1/18,台南市,南化區,南化里,住宅,60,0,0,35,35,0,0,0,0,0,0,0,120.476989,23.043524
105/1/6,台南市,官田區,渡頭里,住宅,55,1,6,21,27,0,1,1,2,1,4,2,120.340108,23.188952
105/1/9,台南市,官田區,社子里,住宅,52,1,0,10,10,0,1,1,2,1,10,4,120.340108,23.188952
105/1/13,台南市,官田區,湖山里,住宅,53,0,3,19,22,0,0,0,0,0,0,0,120.340108,23.188952
105/1/12,台南市,大內區,大內里,住宅,50,1,0,19,19,0,1,1,2,1,5,2,120.362049,23.118461
105/1/13,台南市,大內區,石城里,住宅,50,0,0,3,3,0,0,0,0,0,0,0,120.362049,23.118461
105/1/4,台南市,佳里區,安西里,住宅,66,0,3,44,47,0,0,0,0,0,0,0,120.161817,23.1632103
105/1/4,台南市,佳里區,民安里,住宅,16,0,15,10,25,0,0,0,0,0,0,0,120.1704766,23.1694465
105/1/6,台南市,佳里區,鎮山里,住宅,105,0,0,4,4,0,0,0,0,0,0,0,120.1863512,23.1513391
105/1/13,台南市,佳里區,子龍里,住宅,100,0,0,8,8,0,0,0,0,0,0,0,120.2079953,23.1696067
105/1/15,台南市,佳里區,頂部里,住宅,21,0,0,11,11,0,0,0,0,0,0,0,120.1517133,23.1747337
105/1/9,台南市,西港區,竹林里,住宅,55,1,2,22,24,0,1,1,2,1,4,2,120.201782,23.121164
105/1/4,台南市,將軍區,玉山里,住宅,50,0,0,60,60,0,0,0,0,0,0,0,120.137211,23.216876
105/1/5,台南市,將軍區,西華里,住宅,50,0,0,27,27,0,0,0,0,0,0,0,120.137211,23.216876
105/1/6,台南市,北門區,東壁里,住宅,50,0,0,8,8,0,0,0,0,0,0,0,120.122114,23.270936
105/1/7,台南市,北門區,北門里,住宅,50,0,0,21,21,0,2,2,4,1,10,4,120.122114,23.270936
105/1/9,台南市,北門區,保吉里,住宅,50,0,0,12,12,0,0,0,0,0,0,0,120.122114,23.270936
105/1/14,台南市,學甲區,慈福里,住宅,50,0,0,6,6,0,0,0,0,0,0,0,120.1856297,23.2327168
105/1/13,台南市,白河區,汴頭里,住宅,50,0,0,4,4,0,0,0,0,0,0,0,120.459125,23.375872
105/1/13,台南市,白河區,大竹里,住宅,50,0,0,4,4,0,0,0,0,0,0,0,120.4040725,23.3640976
105/1/14,台南市,白河區,庄內里,住宅,50,0,0,7,7,0,0,0,0,0,0,0,120.417557,23.354304
105/1/14,台南市,白河區,秀祐里,住宅,50,0,0,13,13,0,0,0,0,0,0,0,120.3925467,23.3504738
105/1/13,台南市,東山區,東中里,住宅,50,0,0,3,3,0,0,0,0,0,0,0,120.3983097,23.3170734
105/1/14,台南市,東山區,東原里,住宅,50,0,0,10,10,0,0,0,0,0,0,0,120.444008,23.266029
105/1/14,台南市,東山區,青山里,住宅,50,0,0,11,11,0,0,0,0,0,0,0,120.403006,23.327564
105/1/15,台南市,東山區,東山里,住宅,50,0,0,31,31,0,0,0,0,0,0,0,120.403006,23.327564
105/1/19,台南市,東　區,莊敬里,住宅,50,0,6,12,18,0,0,0,0,0,0,0,120.232521,22.9966645
105/1/18,台南市,北　區,興南里,住宅,50,0,3,7,10,0,0,0,0,0,0,0,120.2087167,23.0036652
105/1/14,台南市,北　區,玉皇里,住宅,50,0,0,5,5,0,0,0,0,0,0,0,120.2069132,22.9996798
105/1/14,台南市,北　區,三德里,住宅,50,0,0,6,6,0,0,0,0,0,0,0,120.2047489,23.000133
105/1/15,台南市,北　區,元寶里,住宅,50,0,0,9,9,0,0,0,0,0,0,0,120.224226,23.0114904
105/1/21,台南市,北　區,元寶里,住宅,50,1,2,7,9,0,1,1,2,1,11,4,120.224226,23.0114904
105/1/19,台南市,安平區,華平里,住宅,50,0,2,9,11,0,0,0,0,0,0,0,120.1740847,22.9948005
105/1/22,台南市,安平區,建平里,住宅,50,0,2,11,13,0,0,0,0,0,0,0,120.1834651,22.9935103
