日期,台南市,區別,里別,調查種類,調查戶數,陽性戶數,調查容器戶內,調查容器戶外,陽性容器戶內,陽性容器戶外,布氏指數,布氏級數,容器指數,容器級數,緯度,經度
2015/10/29,台南市,中西區,西賢里,住宅,153,1,5,11,0,1,1,1,6,3,23.004,120.172
2015/10/29,台南市,中西區,西湖里,住宅,65,1,5,4,0,1,2,1,11,4,23.002,120.183
2015/10/29,台南市,中西區,萬昌里,住宅,50,1,6,6,1,0,2,1,8,3,22.99,120.21
2015/10/29,台南市,中西區,郡王里,住宅,81,1,2,2,1,2,4,1,75,9,22.987,120.207
2015/10/29,台南市,南　區,喜東里,住宅,38,3,13,5,2,1,8,2,17,5,22.942,120.191
2015/10/29,台南市,南　區,金華里,住宅,32,1,25,2,1,0,3,1,4,2,22.98,120.189
2015/10/29,台南市,永康區,西灣里,住宅,98,1,18,28,0,1,1,1,2,1,23.012,120.261
2015/10/29,台南市,永康區,成功里,住宅,46,1,14,17,0,1,2,1,3,2,23.003,120.238
2015/10/29,台南市,永康區,中華里,住宅,202,1,69,37,0,1,0,1,1,1,23,120.238
2015/10/29,台南市,永康區,西橋里,住宅,60,1,13,2,0,1,2,1,7,3,23.013,120.226
2015/10/29,台南市,永康區,復國里,住宅,7,1,0,0,1,0,14,3,0,0,23.006,120.247
2015/10/29,台南市,東　區,裕農里,住宅,27,1,12,4,1,0,4,1,6,3,22.989,120.229
2015/10/29,台南市,中西區,郡王里,住宅,81,1,2,2,1,2,4,1,75,9,22.987,120.207
2015/10/29,台南市,北　區,重興里,住宅,56,1,16,3,0,1,2,1,5,2,23.004,120.226
2015/10/30,台南市,北　區,興北里,住宅,88,2,16,5,1,1,2,1,10,4,23.006,120.212
2015/10/30,台南市,北　區,六甲里,住宅,50,1,13,10,0,1,2,1,4,2,23.013,120.21
2015/10/30,台南市,中西區,大涼里,住宅,93,1,4,0,1,0,1,1,25,6,22.992,120.189
2015/10/30,台南市,南　區,大忠里,住宅,51,1,11,6,1,0,2,1,6,3,22.97,120.21
2015/10/30,台南市,南　區,喜東里,住宅,77,2,36,11,1,1,3,1,4,2,22.942,120.191
2015/10/30,台南市,東　區,崇善里,住宅,104,1,18,23,1,0,1,1,2,1,22.974,120.23
2015/10/30,台南市,東　區,東門里,住宅,85,1,12,18,0,1,1,1,3,2,24.804,120.968
2015/10/30,台南市,東　區,虎尾里,住宅,206,1,4,37,0,1,0,1,2,1,22.979,120.236
2015/10/30,台南市,永康區,三合里,住宅,54,1,3,6,1,0,2,1,11,4,23.011,120.239
2015/10/30,台南市,永康區,鹽洲里,住宅,50,2,23,10,1,1,4,1,6,3,23.044,120.235
2015/10/30,台南市,北　區,成功里,住宅,86,1,18,3,1,0,1,1,5,2,23.02,120.209
2015/10/30,台南市,北　區,力行里,住宅,50,1,1,5,0,1,2,1,17,5,23.008,120.229
2015/10/31,台南市,南　區,新昌里,住宅,145,1,26,8,0,1,1,1,3,2,22.984,120.196
2015/10/31,台南市,永康區,西灣里,住宅,128,1,30,8,1,0,1,1,3,2,23.012,120.261
2015/10/31,台南市,永康區,五王里,住宅,153,1,61,21,0,1,1,1,1,1,23.012,120.235
2015/10/31,台南市,東　區,大智里,住宅,180,1,38,20,0,1,1,1,2,1,22.962,120.233
