日期,台南市,區別,里別,調查種類,調查戶數,陽性戶數,調查容器戶內,調查容器戶外,調查容器合計,陽性容器戶內,陽性容器戶外,陽性容器合計,布氏指數,布氏級數,容器指數,容器級數,經度,緯度
106/1/9,台南市,東區,東聖里,住宅,51,2,3,7,10,1,1,2,4,1,20,5,120.2346848,22.9861443
106/1/9,台南市,東區,裕農里,住宅,50,0,4,5,9,0,0,0,0,0,0,0,120.2289146,22.9886954
106/1/9,台南市,東區,崇信里,住宅,50,1,15,5,20,0,1,1,2,1,5,2,120.227472,22.9809439
106/1/9,台南市,東區,虎尾里,住宅,50,0,3,4,7,0,0,0,0,0,0,0,120.2361273,22.9791309
106/1/10,台南市,東區,東光里,住宅,50,0,3,10,13,0,0,0,0,0,0,0,120.2303571,22.99242
106/1/10,台南市,東區,東門里,住宅,51,0,1,6,7,0,0,0,0,0,0,0,120.2144878,22.9890322
106/1/10,台南市,東區,大同里,住宅,50,0,4,7,11,0,0,0,0,0,0,0,120.2130451,22.9839645
106/1/10,台南市,東區,龍山里,住宅,50,0,8,5,13,0,0,0,0,0,0,0,120.2217014,22.9834946
106/1/11,台南市,東區,中西里,住宅,50,1,17,10,27,0,1,1,2,1,4,2,120.2202587,22.9905086
106/1/11,台南市,東區,成大里,住宅,50,2,6,5,11,0,2,2,4,1,18,5,120.2152092,22.9976069
106/1/11,台南市,東區,關聖里,住宅,50,2,2,5,7,0,2,2,4,1,29,7,120.2418972,22.985975
106/1/11,台南市,東區,崇德里,住宅,50,0,8,0,8,0,0,0,0,0,0,0,120.2260293,22.9745344
106/1/12,台南市,東區,忠孝里,住宅,50,0,0,6,6,0,0,0,0,0,0,0,120.218816,22.9773869
106/1/12,台南市,東區,崇善里,住宅,50,1,1,8,9,0,1,1,2,1,11,4,120.2303571,22.9736282
106/1/12,台南市,東區,和平里,住宅,50,0,6,12,18,0,0,0,0,0,0,0,120.2354061,22.9745842
106/1/12,台南市,東區,南聖里,住宅,50,0,0,5,5,0,0,0,0,0,0,0,120.2462245,22.9890944
106/1/13,台南市,東區,新東里,住宅,50,0,4,7,11,0,0,0,0,0,0,0,120.2249474,22.9865063
106/1/13,台南市,東區,德光里,住宅,50,1,4,8,12,0,2,2,4,1,17,5,120.2189978,22.9799133
106/1/13,台南市,東區,崇學里,住宅,50,1,12,5,17,1,0,1,2,1,6,3,120.2231441,22.9778231
106/1/13,台南市,東區,東智里,住宅,50,1,0,7,7,0,1,1,2,1,14,4,120.2267506,22.9629737
106/1/10,台南市,東區,崇成里,住宅,67,0,0,0,0,0,0,0,0,0,0,0,120.2289146,22.9712457
106/1/13,台南市,東區,莊敬里,住宅,54,1,4,3,7,0,1,1,2,1,14,4,120.232521,22.9966645
106/1/9,台南市,南區,田寮里,住宅,50,0,3,6,9,0,0,0,0,0,0,0,120.1957308,22.976847
106/1/9,台南市,南區,開南里,住宅,50,0,1,7,8,0,0,0,0,0,0,0,120.1838659,22.9666477
106/1/10,台南市,南區,廣州里,住宅,50,0,8,6,14,0,0,0,0,0,0,0,120.1928448,22.9841637
106/1/10,台南市,南區,明德里,住宅,50,0,0,11,11,0,0,0,0,0,0,0,120.200781,22.9710918
106/1/11,台南市,南區,鯤鯓里,住宅,50,0,3,11,14,0,0,0,0,0,0,0,120.1733631,22.9566809
106/1/11,台南市,南區,松安里,住宅,50,0,2,10,12,0,0,0,0,0,0,0,120.1776926,22.9248924
106/1/12,台南市,南區,興農里,住宅,50,0,5,5,10,0,0,0,0,0,0,0,120.1921233,22.9299372
106/1/12,台南市,南區,永寧里,住宅,50,1,6,10,16,0,1,1,2,1,6,3,120.1798573,22.9291405
106/1/13,台南市,南區,金華里,住宅,51,1,2,12,14,0,2,2,4,1,14,4,120.1885158,22.9796984
106/1/13,台南市,南區,新昌里,住宅,50,0,5,7,12,0,0,0,0,0,0,0,120.1957308,22.9835601
106/1/13,台南市,南區,明興里,住宅,50,0,0,9,9,0,0,0,0,0,0,0,120.1914018,22.9629831
106/1/13,台南市,南區,白雪里,住宅,50,0,4,9,13,0,0,0,0,0,0,0,120.1885158,22.9676143
106/1/15,台南市,南區,南都里,住宅,50,0,0,10,10,0,1,1,2,1,0,0,120.1839284,22.9737473
106/1/16,台南市,南區,建南里,住宅,50,0,0,0,0,0,0,0,0,0,0,0,120.1964522,22.9572284
106/1/9,台南市,北區,長德里,住宅,50,1,3,11,14,1,0,1,2,1,7,3,120.2058311,23.002927
106/1/9,台南市,北區,新勝里,住宅,50,0,8,10,18,0,0,0,0,0,0,0,120.2213407,23.0094105
106/1/9,台南市,北區,賢北里,住宅,50,0,3,2,5,0,0,0,0,0,0,0,120.1813004,23.006719
106/1/9,台南市,北區,國興里,住宅,50,0,1,2,3,0,0,0,0,0,0,0,120.2260293,23.0094345
106/1/10,台南市,北區,長榮里,住宅,50,0,3,9,12,0,0,0,0,0,0,0,120.2191767,23.0091928
106/1/10,台南市,北區,大道里,住宅,50,0,4,7,11,0,0,0,0,0,0,0,120.2155699,23.0099486
106/1/11,台南市,北區,五福里,住宅,50,0,3,11,14,0,0,0,0,0,0,0,120.2033061,23.0004351
106/1/11,台南市,北區,開元里,住宅,50,0,1,3,4,0,0,0,0,0,0,0,120.2217014,23.0130263
106/1/11,台南市,北區,重興里,住宅,50,1,5,7,12,1,0,1,2,1,8,3,120.2260293,23.0040653
106/1/12,台南市,北區,華興里,住宅,50,0,6,10,16,0,0,0,0,0,0,0,120.2249474,23.0073122
106/1/12,台南市,北區,興南里,住宅,50,0,3,13,16,0,0,0,0,0,0,0,120.2087167,23.0036652
106/1/12,台南市,北區,振興里,住宅,50,0,3,4,7,0,0,0,0,0,0,0,120.2217014,23.0063146
106/1/12,台南市,北區,興北里,住宅,50,0,4,7,11,0,0,0,0,0,0,0,120.2116023,23.0057457
106/1/13,台南市,北區,仁愛里,住宅,50,0,6,2,8,0,0,0,0,0,0,0,120.2202587,23.0025898
106/1/13,台南市,北區,永祥里,住宅,50,0,1,4,5,0,0,0,0,0,0,0,120.2202587,23.0160134
106/1/13,台南市,北區,大港里,住宅,50,1,2,14,16,0,1,1,2,1,6,3,120.1827435,23.0104452
106/1/13,台南市,北區,國姓里,住宅,50,0,3,9,12,0,0,0,0,0,0,0,120.2087167,23.0076926
106/1/9,台南市,中西區,安海里,住宅,50,0,0,9,9,0,0,0,0,0,0,0,120.1924841,22.9959872
106/1/10,台南市,中西區,大涼里,住宅,50,0,1,4,5,0,0,0,0,0,0,0,120.1892373,22.9923029
106/1/11,台南市,中西區,保安里,住宅,51,0,0,6,6,0,0,0,0,0,0,0,120.196813,22.9917249
106/1/9,台南市,中西區,民生里,住宅,50,0,2,8,10,0,0,0,0,0,0,0,120.1917626,22.989425
106/1/9,台南市,中西區,青年里,住宅,50,0,2,8,10,0,0,0,0,0,0,0,120.2090774,22.9925143
106/1/10,台南市,中西區,萬昌里,住宅,50,1,3,8,11,0,1,1,2,1,9,3,120.2101595,22.9899384
106/1/10,台南市,中西區,萬昌里,住宅,50,0,9,6,15,0,0,0,0,0,0,0,120.2101595,22.9899384
106/1/10,台南市,中西區,萬昌里,住宅,51,1,7,7,14,0,1,1,2,1,7,3,120.2101595,22.9899384
