日期,臺南市,區別,里別,調查種類,調查戶數,陽性戶數,調查容器戶內,調查容器戶外,調查容器合計,陽性容器戶內,陽性容器戶外,陽性容器合計,布氏指數,布氏級數,容器指數,容器級數,經度,緯度
2018/12/13,臺南市,東　區,大同里,住宅,75,0,9,13,22,0,0,0,0,0,0,0,121.4585557,31.23748689
2018/12/13,臺南市,東　區,大德里,住宅,50,0,0,7,7,0,0,0,0,0,0,0,121.4885436,31.2619264
2018/12/11,臺南市,東　區,大學里,住宅,50,0,0,6,6,0,0,0,0,0,0,0,120.2209801,22.9963981
2018/12/12,臺南市,東　區,中西里,住宅,50,1,1,6,7,0,1,1,2,1,14,4,114.1487889,22.28544483
2018/12/14,臺南市,東　區,自強里,住宅,50,0,0,12,12,0,0,0,0,0,0,0,120.2332423,22.9824198
2018/12/10,臺南市,東　區,東光里,住宅,50,0,5,5,10,0,0,0,0,0,0,0,120.1879818,29.29323677
2018/12/11,臺南市,東　區,東安里,住宅,50,0,5,13,18,0,0,0,0,0,0,0,116.7290916,40.02994554
2018/12/14,臺南市,東　區,東明里,住宅,50,1,11,6,17,0,1,1,2,1,6,3,120.227472,22.9916823
2018/12/10,臺南市,東　區,南聖里,住宅,52,0,0,5,5,0,0,0,0,0,0,0,120.2462245,22.9890944
2018/12/10,臺南市,東　區,崇文里,住宅,50,1,4,7,11,0,1,1,2,1,9,3,112.9857914,28.21219309
2018/12/12,臺南市,東　區,崇明里,住宅,50,1,2,22,24,1,0,1,2,1,4,2,117.2258057,39.11878008
2018/12/10,臺南市,東　區,崇信里,住宅,50,0,1,8,9,0,0,0,0,0,0,0,107.0037764,35.24910289
2018/12/11,臺南市,東　區,圍下里,住宅,51,1,8,4,12,1,0,1,2,1,8,3,120.2148485,22.9919771
2018/12/11,臺南市,東　區,富強里,住宅,50,0,0,8,8,0,0,0,0,0,0,0,120.2317997,22.9867487
2018/12/12,臺南市,東　區,裕農里,住宅,50,0,0,9,9,0,0,0,0,0,0,0,120.2289146,22.9886954
2018/12/10,臺南市,東　區,衛國里,住宅,50,0,0,6,6,0,0,0,0,0,0,0,120.2245867,22.9882597
2018/12/12,臺南市,東　區,龍山里,地區,50,0,3,6,9,0,0,0,0,0,0,0,120.2217014,22.9834946
2018/12/10,臺南市,南　區,大成里,住宅,50,0,4,9,13,0,0,0,0,0,0,0,116.2680228,39.89578278
2018/12/14,臺南市,南　區,大林里,住宅,75,2,15,18,33,2,1,3,4,1,9,3,119.3745108,26.83360102
2018/12/11,臺南市,南　區,文華里,住宅,50,0,0,4,4,0,0,0,0,0,0,0,22.98611,120.1899588
2018/12/10,臺南市,南　區,永寧里,住宅,50,0,8,8,16,0,0,0,0,0,0,0,22.9291405,120.1798573
2018/12/10,臺南市,南　區,光明里,住宅,50,0,6,14,20,0,0,0,0,0,0,0,117.3880111,38.99480603
2018/12/13,臺南市,南　區,竹溪里,住宅,50,0,8,11,19,0,0,0,0,0,0,0,116.2214227,23.5911128
2018/12/12,臺南市,南　區,佛壇里,住宅,50,0,10,12,22,0,0,0,0,0,0,0,22.9195212,120.1776926
2018/12/11,臺南市,南　區,明德里,住宅,50,0,2,16,18,0,0,0,0,0,0,0,121.4656341,31.22952869
2018/12/11,臺南市,南　區,明興里,住宅,50,0,5,5,10,0,0,0,0,0,0,0,22.9629831,120.1914018
2018/12/12,臺南市,南　區,金華里,住宅,50,1,6,9,15,2,0,2,4,1,13,4,22.9796984,120.1885158
2018/12/13,臺南市,南　區,南都里,住宅,50,1,5,8,13,2,0,2,4,1,15,5,119.9667429,30.05707556
2018/12/11,臺南市,南　區,南華里,住宅,50,0,5,8,13,0,0,0,0,0,0,0,22.9622436,120.1885158
2018/12/10,臺南市,南　區,國宅里,住宅,50,0,4,8,12,0,0,0,0,0,0,0,120.8124481,31.50779277
2018/12/13,臺南市,南　區,國宅里,住宅,50,0,7,6,13,0,0,0,0,0,0,0,120.8124481,31.50779277
2018/12/11,臺南市,南　區,開南里,住宅,50,0,3,13,16,0,0,0,0,0,0,0,116.5302936,39.84498089
2018/12/12,臺南市,南　區,新昌里,住宅,50,1,11,12,23,0,1,1,2,1,4,2,129.3489254,43.22248083
