日期,臺南市,區別,里別,"調查種類","調查戶數","陽性戶數",調查容器戶內,調查容器戶外,調查容器合計,陽性容器戶內,陽性容器戶外,陽性容器合計,布氏指數,布氏級數,容器指數,容器級數,經度,緯度
2019/7/29,臺南市,東　區,大同里,住宅,50,1,0 ,16 ,16 ,0 ,1 ,1 ,2 ,1,6 ,3,120.223527,23.08378
2019/8/1,臺南市,東　區,大智里,住宅,50,1,0,71,71,0,4,4,8,2,6,3,120.2332423,22.962286
2019/7/30,臺南市,東　區,大學里,住宅,50,1,2 ,17 ,19 ,1 ,0 ,1 ,2 ,1,5 ,2,120.2209801,22.9963981
2019/8/3,臺南市,東　區,大學里,住宅,50,3,1 ,16 ,17 ,0 ,3 ,3 ,6 ,2,18 ,5,120.2209801,22.9963981
2019/8/2,臺南市,東　區,小東里,住宅,50,0,1 ,9 ,10 ,0 ,0 ,0 ,0 ,0,0 ,0,120.227472,22.9970514
2019/7/30,臺南市,東　區,中西里,住宅,51,0,3 ,12 ,15 ,0 ,0 ,0 ,0 ,0,0 ,0,120.2202587,22.9905086
2019/8/1,臺南市,東　區,文聖里,住宅,50,1,1,4,5,0,1,1,2,1,20,5,120.2447821,22.9840282
2019/7/29,臺南市,東　區,成大里,住宅,50,0,0,10,10,0,0,0,0,0,0,0,120.2152092,22.9976069
2019/7/31,臺南市,東　區,自強里,住宅,50,1,6,8,14,0,1,1,2,1,7,3,120.2352021,22.9838731
2019/8/2,臺南市,東　區,和平里,住宅,50,1,1,21,22,0,1,1,2,1,5,2,120.2326083,22.9769421
2019/7/30,臺南市,東　區,忠孝里,機關,51,1,8,10,18,0,2,2,4,1,11,4,120.218816,22.9773869
2019/8/1,臺南市,東　區,忠孝里,住宅,50,0,0,4,4,0,0,0,0,0,0,0,120.218816,22.9773869
2019/7/29,臺南市,東　區,東光里,住宅,50,1,0,15,15,0,3,3,6,2,20,5,120.2303571,22.99242
2019/8/3,臺南市,東　區,東光里,住宅,51,3,5,55,60,0,3,3,6,2,5,2,120.2303571,22.99242
