日期,台南市,區別,里別,調查種類,調查戶數,陽性戶數,調查容器戶內,調查容器戶外,調查容器合計,陽性容器戶內,陽性容器戶外,陽性容器合計,布氏指數,布氏級數,容器指數,容器級數,經度,緯度
106/3/1,台南市,東區,新東里,住宅,53,1,8,7,15,1,0,1,2,1,7,3,120.2249474,22.9865063
106/3/1,台南市,東區,新東里,住宅,50,0,9,3,12,0,0,0,0,0,0,0,120.2249474,22.9865063
106/3/1,台南市,東區,大福里,住宅,51,0,9,9,18,0,0,0,0,0,0,0,120.2159306,22.9739636
106/3/1,台南市,東區,中西里,住宅,50,0,8,9,17,0,0,0,0,0,0,0,120.2202587,22.9905086
106/3/2,台南市,東區,自強里,住宅,50,0,0,11,11,0,0,0,0,0,0,0,120.2332423,22.9824198
106/3/2,台南市,東區,衛國里,住宅,50,0,10,14,24,0,0,0,0,0,0,0,120.2245867,22.9882597
106/3/2,台南市,東區,仁和里,住宅,50,0,15,2,17,0,0,0,0,0,0,0,120.2357667,22.9701464
106/3/3,台南市,東區,東光里,住宅,51,0,9,8,17,0,0,0,0,0,0,0,120.2303571,22.99242
106/3/3,台南市,東區,東安里,住宅,50,0,4,6,10,0,0,0,0,0,0,0,120.2213407,22.9872616
106/3/3,台南市,東區,東門里,其他,50,1,12,2,14,0,1,1,2,1,7,3,120.2144878,22.9890322
106/3/3,台南市,東區,崇德里,其他,50,0,9,2,11,0,0,0,0,0,0,0,120.2260293,22.9745344
106/3/4,台南市,東區,崇文里,住宅,50,2,4,18,22,0,3,3,6,2,14,4,120.2296358,22.9677389
106/3/1,台南市,南區,南都里,住宅,65,0,9,3,12,0,0,0,0,0,0,0,120.1841866,22.9550918
106/3/1,台南市,南區,府南里,住宅,53,0,10,4,14,0,0,0,0,0,0,0,120.1950093,22.9722988
106/3/2,台南市,南區,開南里,住宅,50,0,3,6,9,0,0,0,0,0,0,0,120.1856297,22.9668748
106/3/3,台南市,南區,建南里,住宅,50,0,3,1,4,0,0,0,0,0,0,0,120.1964522,22.9572284
106/3/1,台南市,北區,小康里,住宅,50,0,3,8,11,0,0,0,0,0,0,0,120.2173733,23.0152758
106/3/1,台南市,北區,正覺里,住宅,50,0,1,16,17,0,0,0,0,0,0,0,120.2116023,23.0151428
106/3/1,台南市,北區,永祥里,住宅,50,2,8,12,20,1,1,2,4,1,10,4,120.2202587,23.0160134
106/3/1,台南市,北區,裕民里,住宅,50,1,20,18,38,0,1,1,2,1,3,2,120.1960915,23.0026166
106/3/2,台南市,北區,大山里,住宅,50,1,2,9,11,0,2,2,4,1,18,5,120.2134058,23.0090596
106/3/2,台南市,北區,元寶里,住宅,50,0,4,9,13,0,0,0,0,0,0,0,120.224226,23.0114904
106/3/2,台南市,北區,大仁里,住宅,51,0,6,4,10,0,0,0,0,0,0,0,120.2148485,23.0074149
106/3/2,台南市,北區,光武里,住宅,54,0,1,2,3,0,0,0,0,0,0,0,120.2162913,23.0124822
106/3/3,台南市,北區,力行里,住宅,50,1,3,5,8,1,0,1,2,1,13,4,120.2292752,23.0084185
106/3/3,台南市,北區,國興里,住宅,51,0,4,3,7,0,0,0,0,0,0,0,120.2260293,23.0094345
106/3/3,台南市,北區,安民里,住宅,50,0,3,8,11,0,0,0,0,0,0,0,120.2000596,23.0014504
106/3/3,台南市,北區,新勝里,住宅,50,0,3,4,7,0,0,0,0,0,0,0,120.2213407,23.0094105
106/3/1,台南市,中西區,三合里,住宅,50,0,3,6,9,0,0,0,0,0,0,0,120.1960915,22.9999315
106/3/1,台南市,中西區,天后里,住宅,50,0,11,4,15,0,0,0,0,0,0,0,120.2011417,22.9975318
106/3/2,台南市,中西區,永華里,住宅,50,0,5,5,10,0,0,0,0,0,0,0,120.2043882,22.9911465
106/3/2,台南市,中西區,赤嵌里,住宅,50,0,5,0,5,0,0,0,0,0,0,0,120.2072739,22.9972549
106/3/3,台南市,中西區,安海里,住宅,50,0,4,7,11,0,0,0,0,0,0,0,120.1924841,22.9959872
106/3/3,台南市,中西區,普濟里,住宅,50,0,1,9,10,0,0,0,0,0,0,0,120.1996988,22.9991764
106/3/2,台南市,中西區,大涼里,住宅,50,0,0,18,18,0,0,0,0,0,0,0,120.1892373,22.9923029
106/3/1,台南市,安南區,幸福里,住宅,50,1,2,15,17,0,1,1,2,1,6,3,120.1899588,23.0210189
106/3/1,台南市,安南區,溪心里,住宅,50,0,8,6,14,0,0,0,0,0,0,0,120.1849082,23.0509441
106/3/2,台南市,安南區,溪心里,住宅,50,1,2,14,16,0,1,1,2,1,6,3,120.1849082,23.0509441
