日期,臺南市,區別,里別,調查種類,調查戶數,陽性戶數,調查容器戶內,調查容器戶外,調查容器合計,陽性容器戶內,陽性容器戶外,陽性容器合計,布氏指數,布氏級數,容器指數,容器級數,緯度,經度
2018/4/23,臺南市,東　區,大智里,住宅,77,1,8,2,10,1,0,1,1,1,10,4,22.962286,120.2332423
2018/4/23,臺南市,東　區,裕聖里,住宅,76,1,6,25,31,0,1,1,1,1,3,2,22.9802195,120.2469457
2018/4/24,臺南市,東　區,後甲里,住宅,77,0,27,13,40,0,0,0,0,0,0,0,22.9927707,120.2382911
2018/4/24,臺南市,東　區,龍山里,住宅,79,1,19,6,25,0,2,2,3,1,8,3,22.9834946,120.2217014
2018/4/25,臺南市,東　區,南聖里,住宅,75,0,6,14,20,0,0,0,0,0,0,0,22.9890944,120.2462245
2018/4/25,臺南市,東　區,大學里,住宅,75,0,3,6,9,0,0,0,0,0,0,0,22.9963981,120.2209801
2018/4/26,臺南市,東　區,東聖里,住宅,50,0,2,8,10,0,0,0,0,0,0,0,22.9861443,120.2346848
2018/4/26,臺南市,東　區,和平里,住宅,50,0,0,11,11,0,0,0,0,0,0,0,22.9745842,120.2354061
2018/4/26,臺南市,東　區,東安里,住宅,75,0,3,11,14,0,0,0,0,0,0,0,22.9872616,120.2213407
2018/4/26,臺南市,東　區,仁和里,住宅,76,0,2,4,6,0,0,0,0,0,0,0,22.9591394,120.224226
2018/4/27,臺南市,東　區,德高里,住宅,50,0,0,8,8,0,0,0,0,0,0,0,22.9665308,120.2354061
2018/4/27,臺南市,東　區,德光里,住宅,53,0,5,8,13,0,0,0,0,0,0,0,22.981112,120.2202587
2018/4/27,臺南市,東　區,崇德里,住宅,50,0,3,2,5,0,0,0,0,0,0,0,22.9745344,120.2260293
2018/4/27,臺南市,東　區,文聖里,住宅,50,0,1,2,3,0,0,0,0,0,0,0,22.9840282,120.2447821
2018/4/23,臺南市,南　區,興農里,住宅,50,0,2,21,23,0,0,0,0,0,0,0,22.9299372,120.1921233
2018/4/23,臺南市,南　區,文華里,住宅,50,0,0,8,8,0,0,0,0,0,0,0,22.98611,120.1899588
2018/4/24,臺南市,南　區,金華里,住宅,50,2,6,26,32,0,2,2,4,1,6,3,22.9796984,120.1885158
2018/4/24,臺南市,南　區,明興里,住宅,50,0,15,3,18,0,0,0,0,0,0,0,22.9629831,120.1914018
2018/4/24,臺南市,南　區,南都里,住宅,50,0,5,8,13,0,0,0,0,0,0,0,22.9550918,120.1841866
2018/4/24,臺南市,南　區,廣州里,住宅,50,0,8,6,14,0,0,0,0,0,0,0,22.9841637,120.1928448
2018/4/25,臺南市,南　區,大忠里,住宅,50,0,4,14,18,0,0,0,0,0,0,0,22.9698014,120.2101595
2018/4/25,臺南市,南　區,喜南里,住宅,50,0,6,17,23,0,0,0,0,0,0,0,22.9383204,120.1776926
2018/4/25,臺南市,南　區,荔宅里,住宅,50,0,9,14,23,0,0,0,0,0,0,0,22.9749009,120.1986166
2018/4/25,臺南市,南　區,喜北里,住宅,50,1,4,10,14,0,1,1,2,1,7,3,22.9490628,120.1776926
2018/4/26,臺南市,南　區,田寮里,住宅,50,1,7,14,21,1,0,1,2,1,5,2,22.976847,120.1957308
2018/4/26,臺南市,南　區,大恩里,住宅,50,1,3,8,11,0,1,1,2,1,9,3,22.9548154,120.2079953
2018/4/26,臺南市,南　區,新興里,住宅,50,0,6,11,17,0,0,0,0,0,0,0,22.9799434,120.19537
2018/4/26,臺南市,南　區,建南里,住宅,50,0,8,13,21,0,0,0,0,0,0,0,22.9572284,120.1964522
2018/4/26,臺南市,南　區,府南里,住宅,50,0,3,6,9,0,0,0,0,0,0,0,22.9722988,120.1950093
2018/4/26,臺南市,南　區,國宅里,住宅,50,0,2,12,14,0,0,0,0,0,0,0,22.9759721,120.1870727
2018/4/27,臺南市,南　區,日新里,住宅,50,1,5,9,14,1,0,1,2,1,7,3,22.974026,120.1899588
2018/4/27,臺南市,南　區,佛壇里,住宅,50,0,14,11,25,0,0,0,0,0,0,0,22.9195212,120.1776926
2018/4/27,臺南市,南　區,鯤鯓里,住宅,50,0,5,14,19,0,0,0,0,0,0,0,22.9566809,120.1733631
2018/4/27,臺南市,南　區,竹溪里,住宅,50,0,5,3,8,0,0,0,0,0,0,0,22.9779397,120.2065525
2018/4/27,臺南市,南　區,永寧里,住宅,50,2,2,13,15,0,2,2,4,1,13,4,22.9291405,120.1798573
2018/4/27,臺南市,南　區,再興里,住宅,50,1,5,16,21,0,1,1,2,1,5,2,22.9801358,120.1928448
2018/4/23,臺南市,北　區,正風里,住宅,51,0,11,6,17,0,0,0,0,0,0,0,23.0154694,120.2148485
2018/4/23,臺南市,北　區,成德里,住宅,50,1,0,6,6,0,1,1,2,1,17,5,23.0134491,120.2036668
2018/4/23,臺南市,北　區,小康里,住宅,50,0,3,8,11,0,0,0,0,0,0,0,23.0152758,120.2173733
2018/4/23,臺南市,北　區,文元里,住宅,50,0,5,3,8,0,0,0,0,0,0,0,23.0146579,120.1978952
2018/4/23,臺南市,北　區,中樓里,住宅,50,1,0,5,5,0,1,1,2,1,20,5,23.0034966,120.2159306
2018/4/23,臺南市,北　區,成功里,住宅,50,1,0,8,8,0,1,1,2,1,13,4,23.0202949,120.2094381
2018/4/24,臺南市,北　區,大和里,住宅,50,0,6,8,14,0,0,0,0,0,0,0,23.0153463,120.1914018
2018/4/24,臺南市,北　區,長德里,住宅,50,0,12,6,18,0,0,0,0,0,0,0,23.002927,120.2058311
