日期,臺南市,區別,里別,調查種類,調查戶數,陽性戶數,調查容器戶內,調查容器戶外,調查容器合計,陽性容器戶內,陽性容器戶外,陽性容器合計,布氏指數,布氏級數,容器指數,容器級數,緯度,經度
2018/1/15,臺南市,東　區,大智里,住宅,50,1,4,8,12,0,1,1,2,1,8,3,22.962286,120.2332423
2018/1/15,臺南市,東　區,崇誨里,住宅,50,0,5,10,15,0,0,0,0,0,0,0,22.989711,120.2256687
2018/1/15,臺南市,東　區,大德里,住宅,58,0,3,7,10,0,0,0,0,0,0,0,22.9778817,120.2148485
2018/1/15,臺南市,東　區,泉南里,住宅,50,0,3,8,11,0,0,0,0,0,0,0,22.9847029,120.2159306
2018/1/15,臺南市,東　區,東門里,住宅,50,2,3,9,12,0,2,2,4,1,17,5,22.9890322,120.2144878
2018/1/16,臺南市,東　區,南聖里,住宅,50,0,3,8,11,0,0,0,0,0,0,0,22.9890944,120.2462245
2018/1/16,臺南市,東　區,圍下里,住宅,50,3,5,12,17,1,2,3,6,2,18,5,22.9919771,120.2148485
2018/1/16,臺南市,東　區,大同里,住宅,50,0,5,9,14,0,0,0,0,0,0,0,22.9839645,120.2130451
2018/1/16,臺南市,東　區,泉南里,住宅,50,3,9,12,21,2,2,4,8,2,19,5,22.9847029,120.2159306
2018/1/16,臺南市,東　區,大智里,住宅,50,0,8,9,17,0,0,0,0,0,0,0,22.962286,120.2332423
2018/1/17,臺南市,東　區,大福里,住宅,56,0,9,5,14,0,0,0,0,0,0,0,22.9739636,120.2159306
2018/1/17,臺南市,東　區,忠孝里,住宅,50,0,7,13,20,0,0,0,0,0,0,0,22.9773869,120.218816
2018/1/17,臺南市,東　區,崇信里,住宅,50,1,2,8,10,0,1,1,2,1,10,4,22.9809439,120.227472
2018/1/17,臺南市,東　區,東聖里,住宅,50,0,8,3,11,0,0,0,0,0,0,0,22.9861443,120.2346848
2018/1/17,臺南市,東　區,大學里,住宅,50,2,6,10,16,0,2,2,4,1,13,4,22.9963981,120.2209801
2018/1/18,臺南市,東　區,路東里,住宅,50,0,0,11,11,0,0,0,0,0,0,0,22.9801973,120.2134058
2018/1/18,臺南市,東　區,新東里,住宅,50,0,5,16,21,0,0,0,0,0,0,0,22.9865063,120.2249474
2018/1/18,臺南市,東　區,崇善里,住宅,50,0,4,5,9,0,0,0,0,0,0,0,22.9736282,120.2303571
2018/1/18,臺南市,東　區,崇德里,住宅,50,0,11,7,18,0,0,0,0,0,0,0,22.9745344,120.2260293
2018/1/18,臺南市,東　區,崇成里,住宅,50,0,0,5,5,0,0,0,0,0,0,0,22.969311,120.227193
2018/1/18,臺南市,東　區,富強里,住宅,50,0,4,5,9,0,0,0,0,0,0,0,22.9867487,120.2317997
2018/1/18,臺南市,東　區,崇明里,住宅,50,0,2,5,7,0,0,0,0,0,0,0,22.9685104,120.2195374
2018/1/18,臺南市,東　區,德高里,住宅,50,3,1,15,16,0,3,3,6,2,19,5,22.9665308,120.2354061
2018/1/19,臺南市,東　區,崇誨里,住宅,50,0,0,2,2,0,0,0,0,0,0,0,22.989711,120.2256687
2018/1/19,臺南市,東　區,新東里,住宅,50,1,8,12,20,0,1,1,2,1,5,2,22.9865063,120.2249474
2018/1/19,臺南市,東　區,衛國里,住宅,50,0,2,13,15,0,0,0,0,0,0,0,22.9882597,120.2245867
