日期,臺南市,區別,里別,調查種類,調查戶數,陽性戶數,調查容器戶內,調查容器戶外,調查容器合計,陽性容器戶內,陽性容器戶外,陽性容器合計,布氏指數,布氏級數,容器指數,容器級數,緯度,經度
2018/3/5,臺南市,東　區,富裕里,住宅,50,0,13,9,22,0,0,0,0,0,0,0,22.9849708,120.227472
2018/3/5,臺南市,東　區,裕農里,住宅,50,1,6,9,15,0,1,1,2,1,7,3,22.9886954,120.2289146
2018/3/5,臺南市,東　區,路東里,住宅,50,0,2,15,17,0,0,0,0,0,0,0,22.9801973,120.2134058
2018/3/5,臺南市,東　區,衛國里,住宅,50,0,1,14,15,0,0,0,0,0,0,0,22.9882597,120.2245867
2018/3/5,臺南市,東　區,東安里,住宅,51,0,6,4,10,0,0,0,0,0,0,0,22.9872616,120.2213407
2018/3/6,臺南市,東　區,小東里,住宅,50,0,4,21,25,0,0,0,0,0,0,0,22.9970514,120.227472
2018/3/6,臺南市,東　區,東門里,住宅,50,0,3,10,13,0,0,0,0,0,0,0,22.9890322,120.2144878
2018/3/6,臺南市,東　區,成大里,住宅,50,0,0,7,7,0,0,0,0,0,0,0,22.9976069,120.2152092
2018/3/6,臺南市,東　區,大智里,住宅,50,0,11,22,33,0,0,0,0,0,0,0,22.962286,120.2332423
2018/3/7,臺南市,東　區,復興里,住宅,50,0,3,8,11,0,0,0,0,0,0,0,22.982061,120.238356
2018/3/7,臺南市,東　區,崇文里,住宅,50,0,1,11,12,0,0,0,0,0,0,0,22.9677389,120.2296358
2018/3/7,臺南市,東　區,東明里,住宅,54,0,7,0,7,0,0,0,0,0,0,0,22.9916823,120.227472
2018/3/7,臺南市,東　區,圍下里,住宅,50,0,9,1,10,0,0,0,0,0,0,0,22.9919771,120.2148485
2018/3/7,臺南市,東　區,德光里,住宅,50,0,2,9,11,0,0,0,0,0,0,0,22.981112,120.2202587
2018/3/8,臺南市,東　區,東光里,住宅,50,0,2,2,4,0,0,0,0,0,0,0,22.99242,120.2303571
2018/3/8,臺南市,東　區,仁和里,住宅,50,0,11,8,19,0,0,0,0,0,0,0,22.9591394,120.224226
2018/3/8,臺南市,東　區,大同里,住宅,50,0,0,5,5,0,0,0,0,0,0,0,22.9839645,120.2130451
2018/3/8,臺南市,東　區,東智里,住宅,50,0,0,4,4,0,0,0,0,0,0,0,22.9629737,120.2267506
2018/3/8,臺南市,東　區,德高里,住宅,50,1,7,8,15,0,1,1,2,1,7,3,22.965884,120.235589
2018/3/8,臺南市,東　區,龍山里,住宅,53,0,9,12,21,0,0,0,0,0,0,0,22.9834946,120.2217014
2018/3/9,臺南市,東　區,大學里,住宅,75,0,5,22,27,0,0,0,0,0,0,0,22.9963981,120.2209801
2018/3/9,臺南市,東　區,崇善里,住宅,50,0,4,19,23,0,0,0,0,0,0,0,22.9736282,120.2303571
2018/3/9,臺南市,東　區,泉南里,住宅,51,1,3,15,18,0,1,1,2,1,6,3,22.9847029,120.2159306
2018/3/9,臺南市,東　區,東聖里,住宅,50,0,2,5,7,0,0,0,0,0,0,0,22.9861443,120.2346848
2018/3/9,臺南市,東　區,莊敬里,住宅,50,0,2,7,9,0,0,0,0,0,0,0,22.9966645,120.232521
2018/3/5,臺南市,南　區,新生里,住宅,50,0,13,8,21,0,0,0,0,0,0,0,22.9775543,120.2116023
2018/3/5,臺南市,南　區,白雪里,住宅,50,0,9,10,19,0,0,0,0,0,0,0,22.9676143,120.1885158
2018/3/5,臺南市,南　區,日新里,住宅,50,1,7,14,21,0,1,1,2,1,5,2,22.974026,120.1899588
2018/3/5,臺南市,南　區,建南里,住宅,50,0,4,12,16,0,0,0,0,0,0,0,22.9572284,120.1964522
2018/3/6,臺南市,南　區,新昌里,住宅,50,0,6,5,11,0,0,0,0,0,0,0,22.9835601,120.1957308
2018/3/6,臺南市,南　區,明興里,住宅,50,0,2,7,9,0,0,0,0,0,0,0,22.9629831,120.1914018
2018/3/6,臺南市,南　區,再興里,住宅,50,0,17,9,26,0,0,0,0,0,0,0,22.9801358,120.1928448
2018/3/6,臺南市,南　區,郡南里,住宅,50,0,9,8,17,0,0,0,0,0,0,0,22.964243,120.1950093
2018/3/7,臺南市,南　區,明亮里,住宅,50,0,18,12,30,0,0,0,0,0,0,0,22.9693947,120.1928448
2018/3/7,臺南市,南　區,府南里,住宅,50,0,13,8,21,0,0,0,0,0,0,0,22.9722988,120.1950093
2018/3/7,臺南市,南　區,文華里,住宅,50,0,14,8,22,0,0,0,0,0,0,0,22.98611,120.1899588
2018/3/7,臺南市,南　區,金華里,住宅,50,1,5,20,25,0,1,1,2,1,4,2,22.9796984,120.1885158
2018/3/8,臺南市,南　區,廣州里,住宅,50,1,5,13,18,0,1,1,2,1,6,3,22.9841637,120.1928448
2018/3/8,臺南市,南　區,新興里,住宅,50,1,6,11,17,0,1,1,2,1,6,3,22.9799434,120.19537
2018/3/8,臺南市,南　區,大恩里,住宅,50,0,10,10,20,0,0,0,0,0,0,0,22.9548154,120.2079953
2018/3/8,臺南市,南　區,光明里,住宅,50,0,5,6,11,0,0,0,0,0,0,0,22.971944,120.1870727
2018/3/8,臺南市,南　區,開南里,住宅,50,0,5,3,8,0,0,0,0,0,0,0,22.9668748,120.1856297
2018/3/8,臺南市,南　區,田寮里,住宅,64,0,8,7,15,0,0,0,0,0,0,0,22.976847,120.1957308
2018/3/9,臺南市,南　區,同安里,住宅,50,1,7,17,24,1,0,1,2,1,4,2,22.9224836,120.1892373
