日期,臺南市,區別,里別,調查種類,調查戶數,陽性戶數,調查容器戶內,調查容器戶外,調查容器合計,陽性容器戶內,陽性容器戶外,陽性容器合計,布氏指數,布氏級數,容器指數,容器級數,經度,緯度
2020/4/20,臺南市,東　區,大同里,住宅,53,0,2,4,6,0,0,0,0,0,0,0,120.2130451,22.9839645
2020/4/23,臺南市,東　區,大智里,住宅,50,0,0,6,6,0,0,0,0,0,0,0,120.2332423,22.962286
2020/4/22,臺南市,東　區,大福里,住宅,53,0,3,8,11,0,0,0,0,0,0,0,120.2159306,22.9739636
2020/4/25,臺南市,東　區,大福里,住宅,50,0,1,2,3,0,0,0,0,0,0,0,120.2159306,22.9739636
2020/4/23,臺南市,東　區,大德里,住宅,53,0,2,8,10,0,0,0,0,0,0,0,120.2148485,22.9778817
2020/4/20,臺南市,東　區,大學里,住宅,50,0,2,2,4,0,0,0,0,0,0,0,120.2209801,22.9963981
2020/4/20,臺南市,東　區,小東里,住宅,52,0,0,10,10,0,0,0,0,0,0,0,120.227472,22.9970514
2020/4/22,臺南市,東　區,仁和里,住宅,50,0,2,10,12,0,0,0,0,0,0,0,120.2357667,22.9701464
2020/4/24,臺南市,東　區,文聖里,住宅,51,0,1,3,4,0,0,0,0,0,0,0,120.2447821,22.9840282
2020/4/24,臺南市,東　區,成大里,住宅,75,0,1,8,9,0,0,0,0,0,0,0,120.2152092,22.9976069
2020/4/20,臺南市,東　區,自強里,住宅,50,0,2,4,6,0,0,0,0,0,0,0,120.2351171,22.9838877
2020/4/23,臺南市,東　區,忠孝里,住宅,50,0,5,1,6,0,0,0,0,0,0,0,120.218816,22.9773869
2020/4/24,臺南市,東　區,東光里,住宅,52,0,4,3,7,0,0,0,0,0,0,0,120.2303571,22.99242
2020/4/24,臺南市,東　區,東安里,住宅,51,0,0,3,3,0,0,0,0,0,0,0,120.2189847,22.9874911
2020/4/20,臺南市,東　區,東門里,住宅,51,0,0,3,3,0,0,0,0,0,0,0,120.2144878,22.9890322
2020/4/20,臺南市,東　區,東聖里,住宅,51,0,2,6,8,0,0,0,0,0,0,0,120.3291365,23.2727983
2020/4/20,臺南市,東　區,南聖里,住宅,50,1,0,3,3,0,1,1,2,1,33,8,120.2462245,22.9890944
2020/4/20,臺南市,東　區,後甲里,住宅,50,0,0,5,5,0,0,0,0,0,0,0,120.2382911,22.9927707
2020/4/21,臺南市,東　區,崇文里,住宅,51,0,7,4,11,0,0,0,0,0,0,0,120.2296358,22.9677389
2020/4/21,臺南市,東　區,崇成里,住宅,55,0,5,6,11,0,0,0,0,0,0,0,120.227651,22.968559
2020/4/23,臺南市,東　區,崇信里,住宅,50,0,0,8,8,0,0,0,0,0,0,0,120.227472,22.9809439
2020/4/23,臺南市,東　區,崇德里,住宅,50,1,1,2,3,0,1,1,2,1,33,8,120.228078,22.9755064
2020/4/24,臺南市,東　區,崇學里,住宅,50,0,4,2,6,0,0,0,0,0,0,0,120.2231441,22.9778231
2020/4/24,臺南市,東　區,富強里,住宅,75,0,1,2,3,0,0,0,0,0,0,0,120.2317997,22.9867487
2020/4/21,臺南市,東　區,富裕里,住宅,50,0,1,6,7,0,0,0,0,0,0,0,120.227472,22.9849708
2020/4/20,臺南市,東　區,復興里,住宅,50,0,2,3,5,0,0,0,0,0,0,0,120.2375698,22.9815131
2020/4/23,臺南市,東　區,德光里,住宅,50,0,0,3,3,0,0,0,0,0,0,0,120.218639,22.9805194
2020/4/20,臺南市,東　區,德高里,住宅,50,0,4,18,22,0,0,0,0,0,0,0,120.2354061,22.9665308
2020/4/23,臺南市,東　區,龍山里,住宅,50,0,7,9,16,0,0,0,0,0,0,0,120.2217014,22.9834946
