日期,臺南市,區別,里別,"調查種類","調查戶數","陽性戶數",調查容器戶內,調查容器戶外,調查容器合計,陽性容器戶內,陽性容器戶外,陽性容器合計,布氏指數,布氏級數,容器指數,容器級數,經度,緯度
2020/9/3,臺南市,東　區,大智里,住宅,50,1,1 ,9 ,10 ,0 ,1 ,1 ,2 ,1,10 ,4,120.2332423,22.962286
2020/9/4,臺南市,東　區,大福里,學校,50,0,3,9,12,0,0,0,0,0,0,0,120.2159306,22.9739636
2020/9/1,臺南市,東　區,大學里,學校,50,1,2 ,10 ,12 ,1 ,0 ,1 ,2 ,1,8 ,3,120.2209801,22.9963981
2020/8/31,臺南市,東　區,小東里,住宅,50,1,0 ,14 ,14 ,0 ,1 ,1 ,2 ,1,7 ,3,120.227472,22.9970514
2020/9/3,臺南市,東　區,中西里,學校,50,2,4 ,9 ,13 ,1 ,1 ,2 ,4 ,1,15 ,5,120.2202587,22.9905086
2020/8/31,臺南市,東　區,仁和里,住宅,50,0,0 ,10 ,10 ,0 ,0 ,0 ,0 ,0,0 ,0,120.2357667,22.9701464
2020/9/4,臺南市,東　區,成大里,學校,50,0,7,4,11,0,0,0,0,0,0,0,120.2152092,22.9976069
2020/8/31,臺南市,東　區,自強里,住宅,50,1,4,11,15,0,1,1,2,1,7,3,120.2332423,22.9824198
2020/9/3,臺南市,東　區,和平里,住宅,51,1,0,4,4,0,1,1,2,1,25,6,120.2354061,22.9745842
2020/9/4,臺南市,東　區,東光里,學校,50,0,3,5,8,0,0,0,0,0,0,0,120.2303571,22.99242
2020/9/3,臺南市,東　區,後甲里,學校,50,0,1,8,9,0,0,0,0,0,0,0,120.2382911,22.9927707
2020/9/1,臺南市,東　區,崇明里,學校,50,1,2,14,16,0,2,2,4,1,13,4,120.2195374,22.9685104
2020/9/3,臺南市,東　區,崇明里,學校,50,1,3,11,14,0,2,2,4,1,14,4,120.2195374,22.9685104
2020/9/3,臺南市,東　區,崇信里,住宅,50,0,0,5,5,0,0,0,0,0,0,0,120.227472,22.9809439
2020/8/31,臺南市,東　區,崇善里,住宅,50,1,3,6,9,0,1,1,2,1,11,4,120.2303571,22.9736282
2020/9/2,臺南市,東　區,圍下里,學校,50,0,8,15,23,0,0,0,0,0,0,0,120.2148485,22.9919771
2020/8/31,臺南市,東　區,復興里,住宅,50,1,1,2,3,0,1,1,2,1,33,8,120.2375698,22.9815131
2020/9/2,臺南市,東　區,復興里,學校,50,1,11,1,12,1,0,1,2,1,8,3,120.2375698,22.9815131
2020/9/4,臺南市,東　區,裕聖里,住宅,50,0,2,5,7,0,0,0,0,0,0,0,120.2469457,22.9802195
2020/9/4,臺南市,東　區,德光里,學校,50,0,4,6,10,0,0,0,0,0,0,0,120.2202587,22.981112
2020/9/4,臺南市,東　區,德高里,住宅,50,0,4,5,9,0,0,0,0,0,0,0,120.2354061,22.9665308
2020/8/31,臺南市,南　區,大成里,住宅,50,0,5,9,14,0,0,0,0,0,0,0,120.1986166,22.9802712
2020/9/3,臺南市,南　區,大林里,住宅,50,0,1,15,16,0,0,0,0,0,0,0,120.2058311,22.9733919
2020/9/3,臺南市,南　區,永寧里,住宅,50,1,10,11,21,0,1,1,2,1,5,2,120.1798573,22.9291405
2020/9/3,臺南市,南　區,同安里,住宅,50,2,3,19,22,0,2,2,4,1,9,3,120.1892373,22.9224836
2020/9/4,臺南市,南　區,佛壇里,住宅,50,4,9,18,27,1,3,4,8,2,15,5,120.1776926,22.9195212
2020/9/1,臺南市,南　區,明德里,學校,50,5,2,28,30,2,4,6,12,3,20,5,120.200781,22.9710918
2020/9/2,臺南市,南　區,明德里,學校,70,5,0,14,14,0,5,5,7,2,36,8,120.200781,22.9710918
2020/9/2,臺南市,南　區,松安里,住宅,50,0,0,6,6,0,0,0,0,0,0,0,120.1776926,22.9248924
2020/9/3,臺南市,南　區,金華里,住宅,50,1,2,9,11,0,1,1,2,1,9,3,120.1885158,22.9796984
2020/8/31,臺南市,南　區,省躬里,住宅,50,3,6,14,20,1,4,5,10,3,25,6,120.1863512,22.9338276
2020/9/4,臺南市,南　區,郡南里,住宅,50,2,4,5,9,0,2,2,4,1,22,6,120.1950093,22.964243
2020/9/1,臺南市,南　區,喜北里,住宅,50,2,3,20,23,0,2,2,4,1,9,3,120.1776926,22.9490628
2020/8/31,臺南市,南　區,喜東里,住宅,50,0,2,10,12,0,0,0,0,0,0,0,120.1906803,22.9423225
2020/9/4,臺南市,南　區,喜南里,住宅,50,0,4,10,14,0,0,0,0,0,0,0,120.1776926,22.9383204
2020/9/2,臺南市,南　區,開南里,住宅,50,1,2,10,12,0,1,1,2,1,8,3,120.1856297,22.9668748
2020/9/4,臺南市,南　區,新昌里,住宅,50,0,7,5,12,0,0,0,0,0,0,0,120.1957308,22.9835601
2020/8/31,臺南市,南　區,新興里,住宅,50,0,1,13,14,0,0,0,0,0,0,0,120.19537,22.9799434
2020/9/1,臺南市,南　區,興農里,住宅,50,2,2,19,21,0,2,2,4,1,10,4,120.1921233,22.9299372
2020/9/4,臺南市,南　區,鯤鯓里,住宅,50,0,4,34,38,0,0,0,0,0,0,0,120.1733631,22.9566809
2020/9/2,臺南市,南　區,鹽埕里,住宅,50,1,0,6,6,0,1,1,2,1,17,5,120.1892739,22.9693716
