日期,臺南市,區別,里別,調查種類,調查戶數,陽性戶數,調查容器戶內,調查容器戶外,調查容器合計,陽性容器戶內,陽性容器戶外,陽性容器合計,布氏指數,布氏級數,容器指數,容器級數,經度,緯度
2019/6/24,臺南市,東　區,大同里,住宅,52,1,0,8,8,0,1,1,2,1,13,4,120.223527,23.08378
2019/6/24,臺南市,東　區,大智里,住宅,50,0,0,15,15,0,0,0,0,0,0,0,120.2332423,22.962286
2019/6/27,臺南市,東　區,文聖里,住宅,50,0,2,11,13,0,0,0,0,0,0,0,120.2447821,22.9840282
2019/6/24,臺南市,東　區,成大里,學校,50,0,14,5,19,0,0,0,0,0,0,0,120.2152092,22.9976069
2019/6/27,臺南市,東　區,自強里,住宅,50,1,1,17,18,0,1,1,2,1,6,3,120.2332423,22.9824198
2019/6/24,臺南市,東　區,和平里,住宅,50,2,1,3,4,1,1,2,4,1,50,9,120.2354061,22.9745842
2019/6/28,臺南市,東　區,忠孝里,住宅,50,3,0,16,16,0,4,4,8,2,25,6,120.218816,22.9773869
2019/6/28,臺南市,東　區,東安里,住宅,50,1,4,14,18,0,1,1,2,1,6,3,120.2213407,22.9872616
2019/6/27,臺南市,東　區,東門里,住宅,52,1,0,8,8,0,1,1,2,1,13,4,120.2144878,22.9890322
2019/6/28,臺南市,東　區,東門里,住宅,51,1,2,4,6,0,1,1,2,1,17,5,120.2144878,22.9890322
2019/6/27,臺南市,東　區,東智里,住宅,50,1,1,37,38,0,1,1,2,1,3,2,120.2267506,22.9629737
2019/6/28,臺南市,東　區,虎尾里,住宅,50,0,2,10,12,0,0,0,0,0,0,0,120.235195,22.981297
2019/6/24,臺南市,東　區,南聖里,住宅,50,0,2,1,3,0,0,0,0,0,0,0,120.2462245,22.9890944
2019/6/28,臺南市,東　區,後甲里,住宅,50,0,1,5,6,0,0,0,0,0,0,0,120.2382911,22.9927707
2019/6/28,臺南市,東　區,崇文里,住宅,53,4,8,31,39,1,3,4,8,2,10,4,120.2296358,22.9677389
2019/6/27,臺南市,東　區,崇明里,住宅,50,1,3,20,23,0,2,2,4,1,9,3,120.2195374,22.9685104
