日期,臺南市,區別,里別,調查種類,調查戶數,陽性戶數,調查容器戶內,調查容器戶外,調查容器合計,陽性容器戶內,陽性容器戶外,陽性容器合計,布氏指數,布氏級數,容器指數,容器級數,經度,緯度
2019/7/8,臺南市,東　區,大同里,住宅,50,3,5,34,39,1,2,3,6,2,8,3,120.2130451,22.9839645
2019/7/9,臺南市,東　區,大同里,住宅,54,6,17,40,57,2,4,6,11,3,11,4,120.2130451,22.9839645
2019/7/10,臺南市,東　區,大同里,住宅,61,1,0,19,19,0,1,1,2,1,5,2,120.2130451,22.9839645
2019/7/11,臺南市,東　區,大同里,住宅,50,0,16,35,51,0,0,0,0,0,0,0,120.2130451,22.9839645
2019/7/13,臺南市,東　區,大同里,住宅,194,4,80,52,132,1,3,4,2,1,3,2,120.2130451,22.9839645
2019/7/13,臺南市,東　區,大同里,住宅,50,1,0,16,16,0,1,1,2,1,6,3,120.2130451,22.9839645
2019/7/8,臺南市,東　區,大學里,住宅,50,4,4,18,22,1,4,5,10,3,23,6,120.2209801,22.9963981
2019/7/11,臺南市,東　區,中西里,住宅,50,3,6,82,88,0,5,5,10,3,6,3,120.2202587,22.9905086
2019/7/13,臺南市,東　區,中西里,住宅,55,0,0,10,10,0,0,0,0,0,0,0,120.2202587,22.9905086
2019/7/10,臺南市,東　區,成大里,住宅,50,1,2,2,4,0,1,1,2,1,25,6,120.2152092,22.9976069
2019/7/10,臺南市,東　區,自強里,住宅,51,0,0,28,28,0,0,0,0,0,0,0,120.2332423,22.9824198
2019/7/11,臺南市,東　區,和平里,住宅,50,1,1,7,8,1,0,1,2,1,13,4,120.2354061,22.9745842
2019/7/12,臺南市,東　區,東安里,住宅,53,0,2,25,27,0,0,0,0,0,0,0,120.2213407,22.9872616
2019/7/8,臺南市,東　區,東門里,住宅,52,0,5,26,31,0,0,0,0,0,0,0,120.2144878,22.9890322
2019/7/8,臺南市,東　區,東智里,住宅,50,3,0,26,26,0,6,6,12,3,23,6,120.2267506,22.9629737
2019/7/7,臺南市,東　區,虎尾里,住宅,50,2,1,15,16,0,2,2,4,1,13,4,120.2361273,22.9791309
2019/7/10,臺南市,東　區,虎尾里,住宅,50,5,1,38,39,0,6,6,12,3,15,5,120.2361273,22.9791309
2019/7/11,臺南市,東　區,泉南里,住宅,75,2,6,19,25,0,2,2,3,1,8,3,120.2159306,22.9847029
2019/7/8,臺南市,東　區,崇德里,市場,51,0,0,21,21,0,0,0,0,0,0,0,120.2260293,22.9745344
2019/7/8,臺南市,東　區,崇德里,住宅,50,2,3,12,15,0,2,2,4,1,13,4,120.2260293,22.9745344
2019/7/8,臺南市,東　區,崇學里,住宅,50,1,4,5,9,0,1,1,2,1,11,4,120.2231441,22.9778231
2019/7/10,臺南市,東　區,崇學里,住宅,55,9,11,42,53,0,11,11,20,4,21,6,120.2231441,22.9778231
2019/7/12,臺南市,東　區,莊敬里,住宅,50,1,17,29,46,0,1,1,2,1,2,1,120.232521,22.9966645
2019/7/9,臺南市,東　區,裕農里,住宅,51,3,8,49,57,0,3,3,6,2,5,2,120.2289146,22.9886954
2019/7/13,臺南市,東　區,龍山里,住宅,50,4,8,23,31,1,5,6,12,3,19,5,120.2217014,22.9834946
2019/7/8,臺南市,南　區,大恩里,住宅,50,1,4,24,28,0,1,1,2,1,4,2,120.2079953,22.9548154
2019/7/10,臺南市,南　區,大恩里,地區,50,1,1,3,4,0,1,1,2,1,25,6,120.2079953,22.9548154
2019/7/12,臺南市,南　區,大恩里,住宅,50,0,0,3,3,0,0,0,0,0,0,0,120.2079953,22.9548154
2019/7/9,臺南市,南　區,文南里,住宅,50,0,0,4,4,0,0,0,0,0,0,0,120.1870727,22.9840282
2019/7/11,臺南市,南　區,文南里,住宅,50,0,7,13,20,0,0,0,0,0,0,0,120.1870727,22.9840282
2019/7/8,臺南市,南　區,文華里,住宅,50,0,4,15,19,0,0,0,0,0,0,0,120.1899588,22.98611
2019/7/12,臺南市,南　區,再興里,住宅,50,0,9,14,23,0,0,0,0,0,0,0,120.1928448,22.9801358
2019/7/8,臺南市,南　區,竹溪里,住宅,50,0,3,12,15,0,0,0,0,0,0,0,120.2065525,22.9779397
2019/7/11,臺南市,南　區,佛壇里,住宅,50,1,3,21,24,0,1,1,2,1,4,2,120.1776926,22.9195212
2019/7/12,臺南市,南　區,府南里,住宅,50,3,16,19,35,3,1,4,8,2,11,4,120.1950093,22.9722988
2019/7/12,臺南市,南　區,明亮里,住宅,50,0,4,2,6,0,0,0,0,0,0,0,120.1928448,22.9693947
2019/7/11,臺南市,南　區,明興里,住宅,50,3,4,29,33,0,3,3,6,2,9,3,120.1914018,22.9629831
2019/7/8,臺南市,南　區,省躬里,住宅,50,6,8,55,63,0,9,9,18,3,14,4,120.1863512,22.9338276
2019/7/10,臺南市,南　區,省躬里,住宅,50,2,0,28,28,0,2,2,4,1,7,3,120.1863512,22.9338276
2019/7/12,臺南市,南　區,郡南里,住宅,50,0,0,0,0,0,0,0,0,0,0,0,120.1950093,22.964243
2019/7/9,臺南市,南　區,喜北里,住宅,50,5,2,27,29,0,5,5,10,3,17,5,120.1776926,22.9490628
2019/7/12,臺南市,南　區,喜北里,地區,50,0,0,4,4,0,0,0,0,0,0,0,120.1776926,22.9490628
2019/7/8,臺南市,南　區,新昌里,住宅,50,0,2,24,26,0,0,0,0,0,0,0,120.1957308,22.9835601
2019/7/12,臺南市,南　區,彰南里,住宅,50,0,0,23,23,0,0,0,0,0,0,0,120.1791357,22.9715887
2019/7/9,臺南市,南　區,廣州里,住宅,50,0,0,4,4,0,0,0,0,0,0,0,120.1928448,22.9841637
2019/7/8,臺南市,南　區,鹽埕里,住宅,50,1,6,22,28,0,1,1,2,1,4,2,120.189076,22.9717217
2019/7/9,臺南市,南　區,鹽埕里,住宅,50,0,1,2,3,0,0,0,0,0,0,0,120.189076,22.9717217
2019/7/8,臺南市,北　區,力行里,住宅,50,0,4,8,12,0,0,0,0,0,0,0,120.2292752,23.0084185
