日期,台南市,區別,里別,調查種類,調查戶數,陽性戶數,調查容器戶內,調查容器戶外,調查容器合計,陽性容器戶內,陽性容器戶外,陽性容器合計,布氏指數,布氏級數,容器指數,容器級數,緯度,經度
2017/8/28,台南市,東　區,崇明里,住宅,50,1,7,6,13,0,1,1,2,1,8,3,22.968,120.219
2017/8/28,台南市,東　區,文聖里,住宅,50,4,3,18,21,0,4,4,8,2,19,5,22.984,120.244
2017/8/28,台南市,東　區,崇善里,住宅,50,2,4,12,16,0,2,2,4,1,13,4,22.973,120.23
2017/8/28,台南市,東　區,崇文里,住宅,50,2,11,7,18,1,1,2,4,1,11,4,22.967,120.229
2017/8/29,台南市,東　區,和平里,住宅,50,1,4,5,9,0,1,1,2,1,11,4,22.974,120.235
2017/8/29,台南市,東　區,東聖里,住宅,50,1,7,4,11,0,1,1,2,1,9,3,22.986,120.234
2017/8/29,台南市,東　區,大德里,住宅,50,2,9,8,17,2,1,3,6,2,18,5,22.977,120.214
2017/8/29,台南市,東　區,東安里,住宅,50,1,4,8,12,0,1,1,2,1,8,3,22.987,120.221
2017/8/30,台南市,東　區,虎尾里,住宅,50,1,9,5,14,0,1,1,2,1,7,3,22.979,120.236
2017/8/30,台南市,東　區,虎尾里,住宅,50,3,11,9,20,0,4,4,8,2,20,5,22.979,120.236
2017/8/31,台南市,東　區,富裕里,住宅,50,1,3,7,10,0,1,1,2,1,10,4,22.984,120.227
2017/8/31,台南市,東　區,忠孝里,住宅,50,2,0,22,22,0,3,3,6,2,14,4,22.977,120.218
2017/8/31,台南市,東　區,新東里,住宅,50,1,5,9,14,1,0,1,2,1,7,3,22.986,120.224
2017/8/31,台南市,東　區,大學里,地區,50,0,0,18,18,0,0,0,0,0,0,0,22.996,120.22
2017/8/31,台南市,東　區,德高里,地區,50,0,0,16,16,0,0,0,0,0,0,0,22.966,120.235
2017/8/31,台南市,東　區,莊敬里,住宅,50,1,4,19,23,0,1,1,2,1,4,2,22.996,120.232
2017/8/31,台南市,東　區,復興里,住宅,50,5,4,11,15,0,5,5,10,3,33,8,22.982,120.238
2017/8/31,台南市,東　區,德光里,住宅,50,2,9,11,20,0,2,2,4,1,10,4,22.981,120.22
2017/9/1,台南市,東　區,圍下里,住宅,50,2,6,13,19,0,2,2,4,1,11,4,22.991,120.214
2017/9/1,台南市,東　區,中西里,住宅,75,1,1,36,37,0,4,4,5,2,11,4,22.99,120.22
2017/9/1,台南市,東　區,衛國里,住宅,50,3,3,30,33,0,3,3,6,2,9,3,22.988,120.224
2017/9/2,台南市,東　區,東安里,住宅,50,3,9,11,20,3,1,4,8,2,20,5,22.987,120.221
2017/9/2,台南市,東　區,裕農里,住宅,75,5,8,24,32,1,4,5,7,2,16,5,22.988,120.228
2017/8/28,台南市,南　區,白雪里,住宅,50,2,9,15,24,0,2,2,4,1,8,3,22.967,120.188
2017/8/28,台南市,南　區,文南里,住宅,50,0,5,7,12,0,0,0,0,0,0,0,22.984,120.187
2017/8/29,台南市,南　區,郡南里,住宅,50,1,6,7,13,0,1,1,2,1,8,3,22.964,120.195
2017/8/29,台南市,南　區,鯤鯓里,住宅,50,5,11,21,32,2,3,5,10,3,16,5,22.956,120.173
2017/8/30,台南市,南　區,南華里,住宅,50,3,3,13,16,0,3,3,6,2,19,5,22.962,120.188
2017/8/31,台南市,南　區,松安里,地區,76,8,10,31,41,1,9,10,13,3,24,6,22.924,120.177
2017/8/31,台南市,南　區,大恩里,地區,75,1,12,6,18,0,1,1,1,1,6,3,22.954,120.207
2017/9/1,台南市,南　區,新生里,地區,75,0,6,5,11,0,0,0,0,0,0,0,22.977,120.211
2017/9/1,台南市,南　區,荔宅里,地區,75,3,4,13,17,1,4,5,7,2,29,7,22.974,120.198
2017/8/28,台南市,北　區,成德里,住宅,50,0,3,5,8,0,0,0,0,0,0,0,23.013,120.203
2017/8/28,台南市,北　區,大港里,其他,50,1,3,10,13,0,1,1,2,1,8,3,23.01,120.182
2017/8/28,台南市,北　區,元寶里,其他,50,1,3,14,17,0,2,2,4,1,12,4,23.011,120.224
