日期,臺南市,區別,里別,調查種類,調查戶數,陽性戶數,調查容器戶內,調查容器戶外,調查容器合計,陽性容器戶內,陽性容器戶外,陽性容器合計,布氏指數,布氏級數,容器指數,容器級數,緯度,經度
2018/2/12,台南市,東　區,崇文里,住宅,50,0,9,6,15,0,0,0,0,0,0,0,22.9677389,120.2296358
2018/2/12,台南市,東　區,自強里,住宅,50,1,7,15,22,0,1,1,2,1,5,2,22.9824198,120.2332423
2018/2/12,台南市,東　區,龍山里,住宅,50,0,3,4,7,0,0,0,0,0,0,0,22.9834946,120.2217014
2018/2/12,台南市,東　區,德光里,住宅,50,1,11,17,28,0,1,1,2,1,4,2,22.981112,120.2202587
2018/2/13,台南市,東　區,富強里,住宅,50,0,20,31,51,0,0,0,0,0,0,0,22.9867487,120.2317997
2018/2/13,台南市,東　區,忠孝里,住宅,57,0,3,19,22,0,0,0,0,0,0,0,22.9773869,120.218816
2018/2/13,台南市,東　區,東光里,住宅,50,2,13,44,57,0,2,2,4,1,4,2,22.99242,120.2303571
2018/2/13,台南市,東　區,圍下里,住宅,50,0,3,8,11,0,0,0,0,0,0,0,22.9919771,120.2148485
2018/2/13,台南市,東　區,莊敬里,住宅,50,0,1,14,15,0,0,0,0,0,0,0,22.9966645,120.232521
2018/2/14,台南市,東　區,關聖里,住宅,50,0,4,18,22,0,0,0,0,0,0,0,22.985975,120.2418972
2018/2/14,台南市,東　區,小東里,住宅,82,0,8,12,20,0,0,0,0,0,0,0,22.9970514,120.227472
2018/2/14,台南市,東　區,大智里,住宅,50,0,4,14,18,0,0,0,0,0,0,0,22.962286,120.2332423
2018/2/14,台南市,東　區,後甲里,住宅,50,0,0,6,6,0,0,0,0,0,0,0,22.9927707,120.2382911
2018/2/14,台南市,東　區,大德里,住宅,50,0,8,12,20,0,0,0,0,0,0,0,22.9778817,120.2148485
2018/2/12,台南市,南　區,建南里,住宅,50,0,5,13,18,0,0,0,0,0,0,0,22.9572284,120.1964522
2018/2/12,台南市,南　區,白雪里,住宅,50,0,20,12,32,0,0,0,0,0,0,0,22.9676143,120.1885158
2018/2/12,台南市,南　區,國宅里,住宅,50,0,7,6,13,0,0,0,0,0,0,0,22.9759721,120.1870727
2018/2/13,台南市,南　區,鯤鯓里,住宅,50,0,11,8,19,0,0,0,0,0,0,0,22.9566809,120.1733631
2018/2/13,台南市,南　區,省躬里,住宅,75,0,14,19,33,0,0,0,0,0,0,0,22.9338276,120.1863512
2018/2/14,台南市,南　區,日新里,住宅,75,0,8,23,31,0,0,0,0,0,0,0,22.974026,120.1899588
2018/2/14,台南市,南　區,大成里,住宅,75,0,17,20,37,0,0,0,0,0,0,0,22.9802712,120.1986166
2018/2/12,台南市,北　區,和順里,住宅,20,0,10,17,27,0,0,0,0,0,0,0,23.0051759,120.2015025
2018/2/12,台南市,北　區,大豐里,住宅,50,0,8,8,16,0,0,0,0,0,0,0,23.0078107,120.1921233
2018/2/13,台南市,北　區,和順里,住宅,56,0,11,13,24,0,0,0,0,0,0,0,23.0051759,120.2015025
2018/2/13,台南市,北　區,和順里,住宅,60,0,4,12,16,0,0,0,0,0,0,0,23.0051759,120.2015025
2018/2/14,台南市,北　區,和順里,住宅,74,0,4,6,10,0,0,0,0,0,0,0,23.0051759,120.2015025
2018/2/14,台南市,北　區,和順里,住宅,69,0,3,5,8,0,0,0,0,0,0,0,23.0051759,120.2015025
2018/2/12,台南市,中西區,三合里,住宅,50,1,4,11,15,1,0,1,2,1,7,3,22.9999315,120.1960915
2018/2/12,台南市,中西區,建國里,住宅,50,1,11,8,19,0,1,1,2,1,5,2,22.993395,120.2000596
2018/2/12,台南市,中西區,民權里,住宅,50,0,8,23,31,0,0,0,0,0,0,0,22.9969861,120.1957308
2018/2/12,台南市,中西區,法華里,住宅,50,1,10,11,21,0,1,1,2,1,5,2,22.9822947,120.2097988
2018/2/13,台南市,中西區,公正里,住宅,52,0,5,6,11,0,0,0,0,0,0,0,22.9939658,120.2101595
2018/2/13,台南市,中西區,中正里,住宅,50,0,7,5,12,0,0,0,0,0,0,0,22.993999,120.1971737
2018/2/13,台南市,中西區,大涼里,住宅,50,0,8,15,23,0,0,0,0,0,0,0,22.9923029,120.1892373
2018/2/13,台南市,中西區,萬昌里,住宅,50,1,16,6,22,0,1,1,2,1,5,2,22.9899384,120.2101595
2018/2/14,台南市,中西區,法華里,住宅,75,0,8,16,24,0,0,0,0,0,0,0,22.9822947,120.2097988
