日期,台南市,區別,里別,調查種類,調查戶數,陽性戶數,調查容器戶內,調查容器戶外,調查容器合計,陽性容器戶內,陽性容器戶外,陽性容器合計,布氏指數,布氏級數,容器指數,容器級數,緯度,經度
2017/10/16,台南市,東　區,和平里,住宅,50,1,5,11,16,0,1,1,2,1,6,3,22.9745842,120.2354061
2017/10/16,台南市,東　區,崇德里,住宅,50,1,10,10,20,0,1,1,2,1,5,2,22.9745344,120.2260293
2017/10/16,台南市,東　區,東智里,住宅,50,0,5,16,21,0,0,0,0,0,0,0,22.9629737,120.2267506
2017/10/16,台南市,東　區,東門里,住宅,50,2,5,11,16,0,2,2,4,1,13,4,22.9890322,120.2144878
2017/10/16,台南市,東　區,泉南里,住宅,50,1,10,5,15,1,0,1,2,1,7,3,22.9847029,120.2159306
2017/10/17,台南市,東　區,南聖里,住宅,50,1,4,12,16,0,1,1,2,1,6,3,22.9890944,120.2462245
2017/10/17,台南市,東　區,後甲里,住宅,50,4,8,5,13,4,1,5,10,3,38,8,22.9927707,120.2382911
2017/10/17,台南市,東　區,東安里,住宅,50,0,5,7,12,0,0,0,0,0,0,0,22.9872616,120.2213407
2017/10/17,台南市,東　區,富強里,住宅,50,1,10,6,16,0,1,1,2,1,6,3,22.9867487,120.2317997
2017/10/18,台南市,東　區,復興里,住宅,51,0,14,4,18,0,0,0,0,0,0,0,22.982061,120.238356
2017/10/18,台南市,東　區,莊敬里,住宅,50,2,3,10,13,0,2,2,4,1,15,5,22.9966645,120.232521
2017/10/18,台南市,東　區,裕聖里,住宅,50,2,4,7,11,0,2,2,4,1,18,5,22.9802195,120.2469457
2017/10/18,台南市,東　區,小東里,住宅,51,4,8,8,16,1,3,4,8,2,25,6,22.9970514,120.227472
2017/10/19,台南市,東　區,大福里,地區,50,4,2,9,11,0,4,4,8,2,36,8,22.9739636,120.2159306
2017/10/19,台南市,東　區,中西里,住宅,50,0,3,12,15,0,0,0,0,0,0,0,22.9905086,120.2202587
2017/10/19,台南市,東　區,崇學里,地區,50,0,0,3,3,0,0,0,0,0,0,0,22.9778231,120.2231441
2017/10/19,台南市,東　區,忠孝里,住宅,50,1,8,9,17,0,1,1,2,1,6,3,22.9773869,120.218816
2017/10/19,台南市,東　區,大德里,住宅,50,0,6,7,13,0,0,0,0,0,0,0,22.9778817,120.2148485
2017/10/19,台南市,東　區,富裕里,住宅,50,2,9,5,14,0,2,2,4,1,14,4,22.9849708,120.227472
2017/10/19,台南市,東　區,大同里,住宅,50,2,3,12,15,0,3,3,6,2,20,5,22.9839645,120.2130451
2017/10/19,台南市,東　區,崇善里,住宅,50,4,4,7,11,0,4,4,8,2,36,8,22.9736282,120.2303571
2017/10/20,台南市,東　區,龍山里,地區,50,0,1,6,7,0,0,0,0,0,0,0,22.9834946,120.2217014
2017/10/20,台南市,東　區,東聖里,住宅,50,2,7,9,16,0,2,2,4,1,13,4,22.9861443,120.2346848
2017/10/20,台南市,東　區,德高里,住宅,50,1,4,12,16,0,1,1,2,1,6,3,22.9665308,120.2354061
2017/10/20,台南市,東　區,崇成里,住宅,50,1,2,23,25,2,1,3,6,2,12,4,22.968559,120.227651
2017/10/20,台南市,東　區,崇信里,住宅,50,0,1,19,20,0,0,0,0,0,0,0,22.9809439,120.227472
2017/10/20,台南市,東　區,自強里,住宅,50,1,5,13,18,0,1,1,2,1,6,3,22.9824198,120.2332423
2017/10/20,台南市,東　區,成大里,住宅,50,1,4,7,11,0,1,1,2,1,9,3,22.9976069,120.2152092
2017/10/20,台南市,東　區,崇文里,住宅,50,1,2,5,7,0,1,1,2,1,14,4,22.967579,120.229436
2017/10/20,台南市,東　區,文聖里,地區,50,0,0,3,3,0,0,0,0,0,0,0,22.9840282,120.2447821
2017/10/16,台南市,南　區,田寮里,住宅,50,0,0,16,16,0,0,0,0,0,0,0,22.976847,120.1957308
2017/10/16,台南市,南　區,郡南里,住宅,50,0,5,9,14,0,0,0,0,0,0,0,22.964243,120.1950093
2017/10/16,台南市,南　區,廣州里,住宅,51,1,6,13,19,1,0,1,2,1,5,2,22.9841637,120.1928448
2017/10/17,台南市,南　區,大成里,住宅,50,0,5,6,11,0,0,0,0,0,0,0,22.9802712,120.1986166
2017/10/17,台南市,南　區,同安里,住宅,51,0,2,15,17,0,0,0,0,0,0,0,22.9224836,120.1892373
2017/10/18,台南市,南　區,荔宅里,住宅,51,2,9,12,21,1,1,2,4,1,10,4,22.9749009,120.1986166
2017/10/18,台南市,南　區,明興里,住宅,51,1,2,14,16,0,1,1,2,1,6,3,22.9629831,120.1914018
2017/10/18,台南市,南　區,明興里,住宅,50,1,2,9,11,0,1,1,2,1,9,3,22.9629831,120.1914018
2017/10/19,台南市,南　區,白雪里,住宅,50,1,4,7,11,0,1,1,2,1,9,3,22.9676143,120.1885158
2017/10/19,台南市,南　區,府南里,住宅,51,1,7,16,23,0,1,1,2,1,4,2,22.9722988,120.1950093
2017/10/19,台南市,南　區,南華里,地區,50,2,4,18,22,0,2,2,4,1,9,3,22.9622436,120.1885158
2017/10/19,台南市,南　區,明德里,地區,50,3,8,9,17,0,3,3,6,2,18,5,22.9710918,120.200781
2017/10/20,台南市,南　區,新興里,住宅,51,4,6,6,12,1,3,4,8,2,33,8,22.9799434,120.19537
2017/10/20,台南市,南　區,新昌里,住宅,50,0,7,10,17,0,0,0,0,0,0,0,22.9835601,120.1957308
2017/10/20,台南市,南　區,明亮里,住宅,50,0,11,8,19,0,0,0,0,0,0,0,22.9693947,120.1928448
2017/10/20,台南市,南　區,興農里,住宅,50,1,8,13,21,0,1,1,2,1,5,2,22.9299372,120.1921233
2017/10/15,台南市,北　區,文成里,住宅,50,0,0,29,29,0,0,0,0,0,0,0,23.0074248,120.1971737
2017/10/16,台南市,北　區,裕民里,住宅,50,0,5,10,15,0,0,0,0,0,0,0,23.0026166,120.1960915
2017/10/16,台南市,北　區,長德里,住宅,50,0,2,9,11,0,0,0,0,0,0,0,23.002927,120.2058311
2017/10/16,台南市,北　區,勝安里,住宅,50,0,1,10,11,0,0,0,0,0,0,0,23.0074816,120.217734
2017/10/16,台南市,北　區,實踐里,住宅,50,1,5,35,40,0,2,2,4,1,5,2,23.0136734,120.2170126
2017/10/17,台南市,北　區,五福里,住宅,50,0,7,7,14,0,0,0,0,0,0,0,23.0004351,120.2033061
2017/10/17,台南市,北　區,文元里,住宅,50,1,3,24,27,0,1,1,2,1,4,2,23.0146579,120.1978952
2017/10/17,台南市,北　區,安民里,住宅,50,0,4,13,17,0,0,0,0,0,0,0,23.0014504,120.2000596
2017/10/17,台南市,北　區,永祥里,住宅,50,0,1,5,6,0,0,0,0,0,0,0,23.0160134,120.2202587
2017/10/18,台南市,北　區,玉皇里,住宅,50,1,2,10,12,0,2,2,4,1,17,5,22.9996798,120.2069132
2017/10/18,台南市,北　區,延平里,住宅,50,0,3,5,8,0,0,0,0,0,0,0,23.0107043,120.211963
2017/10/18,台南市,北　區,小康里,住宅,50,0,7,4,11,0,0,0,0,0,0,0,23.0152758,120.2173733
2017/10/18,台南市,北　區,興北里,住宅,50,0,1,5,6,0,0,0,0,0,0,0,23.0057457,120.2116023
2017/10/19,台南市,北　區,華興里,住宅,50,0,2,13,15,0,0,0,0,0,0,0,23.0073122,120.2249474
2017/10/19,台南市,北　區,重興里,住宅,50,1,1,13,14,0,1,1,2,1,7,3,23.0040653,120.2260293
2017/10/19,台南市,北　區,大港里,住宅,50,0,6,16,22,0,0,0,0,0,0,0,23.0104452,120.1827435
2017/10/19,台南市,北　區,正覺里,住宅,50,1,2,6,8,0,1,1,2,1,13,4,23.0151428,120.2116023
2017/10/19,台南市,北　區,光武里,住宅,50,0,1,10,11,0,0,0,0,0,0,0,23.0124822,120.2162913
2017/10/19,台南市,北　區,大道里,住宅,50,0,1,4,5,0,0,0,0,0,0,0,23.0099486,120.2155699
2017/10/19,台南市,北　區,成德里,住宅,50,0,0,3,3,0,0,0,0,0,0,0,23.0134491,120.2036668
2017/10/19,台南市,北　區,正風里,住宅,50,0,0,6,6,0,0,0,0,0,0,0,23.0154694,120.2148485
2017/10/20,台南市,北　區,三德里,住宅,50,0,2,4,6,0,0,0,0,0,0,0,23.000133,120.2047489
2017/10/20,台南市,北　區,公園里,住宅,50,1,1,10,11,0,1,1,2,1,9,3,23.0006781,120.2101595
2017/10/20,台南市,北　區,成功里,住宅,50,0,1,6,7,0,0,0,0,0,0,0,23.0202949,120.2094381
2017/10/20,台南市,北　區,六甲里,住宅,50,0,3,9,12,0,0,0,0,0,0,0,23.0127602,120.2101595
2017/10/20,台南市,北　區,國興里,住宅,50,0,1,8,9,0,0,0,0,0,0,0,23.0094345,120.2260293
2017/10/20,台南市,北　區,力行里,住宅,50,0,2,2,4,0,0,0,0,0,0,0,23.0084185,120.2292752
2017/10/20,台南市,北　區,大仁里,住宅,50,1,0,4,4,0,1,1,2,1,25,6,23.0074149,120.2148485
2017/10/15,台南市,中西區,光賢里,住宅,50,0,0,21,21,0,0,0,0,0,0,0,23.0038665,120.1885158
2017/10/16,台南市,中西區,開山里,住宅,50,1,8,14,22,0,1,1,2,1,5,2,22.9876646,120.2097988
2017/10/17,台南市,中西區,民生里,住宅,50,0,5,12,17,0,0,0,0,0,0,0,22.989425,120.1917626
2017/10/17,台南市,中西區,福安里,住宅,50,0,4,13,17,0,0,0,0,0,0,0,22.991121,120.1996988
2017/10/18,台南市,中西區,水仙里,市場,50,0,0,1,1,0,0,0,0,0,0,0,22.9963821,120.1986166
2017/10/18,台南市,中西區,協和里,住宅,50,1,4,4,8,0,1,1,2,1,13,4,23.0016179,120.1928448
2017/10/18,台南市,中西區,保安里,住宅,50,0,1,3,4,0,0,0,0,0,0,0,22.9917249,120.196813
2017/10/19,台南市,中西區,進學里,住宅,50,0,1,5,6,0,0,0,0,0,0,0,22.9877228,120.2015025
2017/10/19,台南市,中西區,民權里,住宅,50,1,8,12,20,0,1,1,2,1,5,2,22.9969861,120.1957308
2017/10/19,台南市,中西區,永福里,住宅,50,0,8,9,17,0,0,0,0,0,0,0,22.9933532,120.2018632
2017/10/19,台南市,中西區,小西里,住宅,50,0,0,11,11,0,0,0,0,0,0,0,22.9883267,120.1986166
2017/10/19,台南市,中西區,進學里,公園,50,0,0,1,1,0,0,0,0,0,0,0,22.9877228,120.2015025
2017/10/20,台南市,中西區,郡西里,住宅,50,0,8,13,21,0,0,0,0,0,0,0,22.9889722,120.1939271
2017/10/20,台南市,中西區,普濟里,住宅,50,1,6,15,21,0,1,1,2,1,5,2,22.9991764,120.1996988
2017/10/20,台南市,中西區,安海里,住宅,50,0,5,7,12,0,0,0,0,0,0,0,22.9959872,120.1924841
2017/10/20,台南市,中西區,仙草里,住宅,54,0,1,7,8,0,0,0,0,0,0,0,22.984299,120.1986166
2017/10/15,台南市,安南區,安順里,住宅,50,0,4,48,52,0,0,0,0,0,0,0,23.0500919,120.2209801
2017/10/16,台南市,安南區,公塭里,住宅,50,1,13,14,27,1,0,1,2,1,4,2,23.0702508,120.1632603
2017/10/16,台南市,安南區,鹽田里,住宅,51,1,6,26,32,0,1,1,2,1,3,2,23.024592,120.152594
2017/10/16,台南市,安南區,海南里,住宅,52,3,2,17,19,0,3,3,6,2,16,5,23.0116011,120.1675902
2017/10/16,台南市,安南區,佃東里,住宅,50,2,0,15,15,0,3,3,6,2,20,5,23.0724268,120.1849082
2017/10/17,台南市,安南區,淵中里,住宅,50,2,4,35,39,0,3,3,6,2,8,3,23.0438296,120.1675902
2017/10/17,台南市,安南區,淵西里,住宅,50,1,9,20,29,0,1,1,2,1,3,2,23.0562175,120.1661469
2017/10/17,台南市,安南區,總頭里,住宅,50,2,0,60,60,0,2,2,4,1,3,2,23.050434,120.2065525
2017/10/17,台南市,安南區,布袋里,住宅,50,0,5,26,31,0,0,0,0,0,0,0,23.0638587,120.2065525
2017/10/18,台南市,安南區,城北里,住宅,75,3,7,70,77,0,3,3,4,1,4,2,23.0595747,120.1372782
2017/10/18,台南市,安南區,城東里,住宅,50,1,8,22,30,0,1,1,2,1,3,2,23.0661555,120.1315037
2017/10/18,台南市,安南區,四草里,住宅,50,5,1,48,49,0,5,5,10,3,10,4,23.0146755,120.1271727
2017/10/19,台南市,安南區,鳳凰里,住宅,50,1,6,7,13,1,0,1,2,1,8,3,23.0417267,120.2000596
2017/10/19,台南市,安南區,海佃里,住宅,50,0,0,21,21,0,0,0,0,0,0,0,23.0245267,120.1892373
2017/10/19,台南市,安南區,國安里,住宅,50,0,0,12,12,0,0,0,0,0,0,0,23.0236541,120.1805789
2017/10/19,台南市,安南區,梅花里,住宅,50,0,1,3,4,0,0,0,0,0,0,0,23.038824,120.1978952
2017/10/19,台南市,安南區,安順里,住宅,51,0,5,10,15,0,0,0,0,0,0,0,23.0500919,120.2209801
2017/10/19,台南市,安南區,新順里,住宅,51,2,6,25,31,0,2,2,4,1,6,3,23.0436829,120.2195374
2017/10/19,台南市,安南區,佃東里,住宅,50,1,0,14,14,0,1,1,2,1,7,3,23.0724268,120.1849082
2017/10/19,台南市,安南區,安和里,住宅,50,0,2,3,5,0,0,0,0,0,0,0,23.0310818,120.218816
2017/10/20,台南市,安南區,公親里,住宅,50,1,8,15,23,0,1,1,2,1,4,2,23.0764154,120.1978952
2017/10/20,台南市,安南區,長安里,住宅,50,1,0,15,15,0,1,1,2,1,7,3,23.0646352,120.1964522
2017/10/20,台南市,安南區,南興里,住宅,50,0,0,34,34,0,0,0,0,0,0,0,23.0743149,120.1502699
2017/10/20,台南市,安南區,公塭里,住宅,50,8,0,25,25,0,8,8,16,3,32,8,23.0702508,120.1632603
2017/10/20,台南市,安南區,溪墘里,住宅,58,0,11,11,22,0,0,0,0,0,0,0,23.0244424,120.1928448
2017/10/20,台南市,安南區,理想里,住宅,53,0,4,14,18,0,0,0,0,0,0,0,23.0368283,120.1914018
2017/10/20,台南市,安南區,大安里,住宅,52,2,4,22,26,0,2,2,4,1,8,3,23.0313733,120.1950093
2017/10/20,台南市,安南區,安富里,住宅,55,0,6,1,7,0,0,0,0,0,0,0,23.0251806,120.1957308
2017/10/16,台南市,安平區,億載里,住宅,50,0,0,13,13,0,0,0,0,0,0,0,22.9902803,120.1603737
2017/10/16,台南市,安平區,西門里,住宅,50,1,3,14,17,0,1,1,2,1,6,3,23.0022304,120.1546002
2017/10/17,台南市,安平區,華平里,住宅,50,1,2,18,20,0,1,1,2,1,5,2,22.9948005,120.1740847
2017/10/17,台南市,安平區,平安里,住宅,50,0,0,10,10,0,0,0,0,0,0,0,22.9991307,120.1726415
2017/10/18,台南市,安平區,育平里,住宅,50,3,18,7,25,0,3,3,6,2,12,4,22.989074,120.1661469
2017/10/18,台南市,安平區,石門里,住宅,51,1,5,14,19,0,1,1,2,1,5,2,23.0006394,120.1654252
2017/10/19,台南市,安平區,怡平里,住宅,50,1,10,8,18,0,1,1,2,1,6,3,22.994197,120.176971
2017/10/19,台南市,安平區,漁光里,住宅,50,2,0,12,12,0,2,2,4,1,17,5,22.9801396,120.1574869
2017/10/19,台南市,安平區,金城里,住宅,50,0,0,6,6,0,0,0,0,0,0,0,22.9953785,120.1488264
2017/10/19,台南市,安平區,海頭里,住宅,50,0,1,7,8,0,0,0,0,0,0,0,23.0025857,120.1625386
2017/10/19,台南市,安平區,平安里,住宅,50,0,2,7,9,0,0,0,0,0,0,0,22.9991307,120.1726415
2017/10/20,台南市,安平區,文平里,住宅,50,0,0,10,10,0,0,0,0,0,0,0,22.9860574,120.1805789
2017/10/20,台南市,安平區,國平里,住宅,50,1,3,13,16,0,1,1,2,1,6,3,22.9793723,120.1675902
2017/10/20,台南市,安平區,建平里,住宅,50,2,15,6,21,0,2,2,4,1,10,4,22.9935103,120.1834651
2017/10/20,台南市,安平區,億載里,住宅,50,0,1,9,10,0,0,0,0,0,0,0,22.9902803,120.1603737
2017/10/15,台南市,仁德區,仁和里,住宅,50,0,0,17,17,0,0,0,0,0,0,0,22.9591394,120.224226
2017/10/16,台南市,仁德區,大甲里,住宅,51,4,0,19,19,0,4,4,8,2,21,6,22.9225952,120.2079953
2017/10/16,台南市,仁德區,二行里,住宅,50,0,0,8,8,0,0,0,0,0,0,0,22.9212251,120.2209801
2017/10/17,台南市,仁德區,保安里,住宅,50,2,0,9,9,0,2,2,4,1,22,6,22.9231415,120.2310784
2017/10/17,台南市,仁德區,三甲里,住宅,50,0,0,13,13,0,0,0,0,0,0,0,22.9326731,120.2368486
2017/10/18,台南市,仁德區,新田里,住宅,50,1,0,13,13,0,1,1,2,1,8,3,22.9546843,120.2599266
2017/10/18,台南市,仁德區,一甲里,住宅,50,1,0,3,3,0,1,1,2,1,33,8,22.9771958,120.2613689
2017/10/19,台南市,仁德區,後壁里,住宅,50,1,0,9,9,0,2,2,4,1,22,6,22.9475722,120.2426185
2017/10/19,台南市,仁德區,上崙里,住宅,50,2,12,18,30,0,2,2,4,1,7,3,22.9385802,120.2599266
2017/10/19,台南市,仁德區,成功里,住宅,50,0,4,0,4,0,0,0,0,0,0,0,22.9404559,120.225308
2017/10/19,台南市,仁德區,仁德里,住宅,50,2,0,6,6,0,2,2,4,1,33,8,22.9657583,120.2455033
2017/10/19,台南市,仁德區,仁德里,住宅,50,0,0,6,6,0,0,0,0,0,0,0,22.9657583,120.2455033
2017/10/20,台南市,仁德區,田厝里,機關,50,4,2,11,13,1,3,4,8,2,31,7,22.9384788,120.241176
2017/10/20,台南市,仁德區,中洲里,住宅,50,5,0,20,20,0,7,7,14,3,35,8,22.9063718,120.2599266
2017/10/20,台南市,仁德區,土庫里,住宅,50,1,0,8,8,0,1,1,2,1,13,4,22.9888712,120.2604839
2017/10/20,台南市,仁德區,仁義里,住宅,50,2,7,5,12,0,2,2,4,1,17,5,22.9695788,120.2656955
2017/10/16,台南市,歸仁區,看東里,住宅,50,0,0,14,14,0,0,0,0,0,0,0,22.9545308,120.3118375
2017/10/19,台南市,歸仁區,歸南里,住宅,70,0,0,11,11,0,0,0,0,0,0,0,22.9617921,120.2772325
2017/10/20,台南市,歸仁區,六甲里,住宅,50,0,0,11,11,0,0,0,0,0,0,0,22.9477691,120.2801166
2017/10/19,台南市,關廟區,下湖里,住宅,50,0,0,11,11,0,0,0,0,0,0,0,22.9801489,120.3176041
2017/10/20,台南市,關廟區,深坑里,住宅,50,0,0,9,9,0,0,0,0,0,0,0,22.933591,120.3349024
2017/10/16,台南市,龍崎區,石曹里,住宅,50,0,0,6,6,0,0,0,0,0,0,0,查無經緯度,
2017/10/17,台南市,龍崎區,中坑里,住宅,50,1,4,16,20,0,1,1,2,1,5,2,22.9522795,120.3608455
