日期,台南市,區別,里別,調查種類,調查戶數,陽性戶數,調查容器戶內,調查容器戶外,調查容器合計,陽性容器戶內,陽性容器戶外,陽性容器合計,布氏指數,布氏級數,容器指數,容器級數,經度,緯度
106/2/14,台南市,東區,東智里,住宅,63,0,15,14,29,0,0,0,0,0,0,0,120.2267506,22.9629737
106/2/17,台南市,東區,崇文里,住宅,52,0,20,10,30,0,0,0,0,0,0,0,120.2296358,22.9677389
106/2/13,台南市,東區,小東里,住宅,75,1,9,4,13,0,1,1,1,1,8,3,120.227472,22.9970514
106/2/13,台南市,東區,泉南里,住宅,50,0,3,6,9,0,0,0,0,0,0,0,120.2159306,22.9847029
106/2/13,台南市,東區,和平里,住宅,50,0,1,3,4,0,0,0,0,0,0,0,120.2354061,22.9745842
106/2/14,台南市,東區,崇信里,住宅,50,0,7,2,9,0,0,0,0,0,0,0,120.227472,22.9809439
106/2/14,台南市,東區,崇德里,住宅,50,0,12,6,18,0,0,0,0,0,0,0,120.2260293,22.9745344
106/2/14,台南市,東區,大學里,學校,50,0,7,1,8,0,0,0,0,0,0,0,120.2209801,22.9963981
106/2/14,台南市,東區,東光里,學校,50,0,0,13,13,0,0,0,0,0,0,0,120.2303571,22.99242
106/2/14,台南市,東區,龍山里,學校,50,0,0,0,0,0,0,0,0,0,0,0,120.2217014,22.9834946
106/2/14,台南市,東區,崇學里,學校,50,0,1,1,2,0,0,0,0,0,0,0,120.2231441,22.9778231
106/2/15,台南市,東區,圍下里,學校,50,0,0,6,6,0,0,0,0,0,0,0,120.2148485,22.9919771
106/2/15,台南市,東區,中西里,學校,50,0,1,4,5,0,0,0,0,0,0,0,120.2202587,22.9905086
106/2/15,台南市,東區,中西里,學校,50,1,0,3,3,0,1,1,2,1,33,8,120.2202587,22.9905086
106/2/15,台南市,東區,大學里,學校,50,0,0,6,6,0,0,0,0,0,0,0,120.2209801,22.9963981
106/2/15,台南市,東區,後甲里,學校,50,1,0,5,5,0,1,1,2,1,20,5,120.2382911,22.9927707
106/2/15,台南市,東區,崇善里,住宅,50,0,0,2,2,0,0,0,0,0,0,0,120.2303571,22.9736282
106/2/15,台南市,東區,中西里,學校,50,1,4,0,4,1,0,1,2,1,25,6,120.2202587,22.9905086
106/2/15,台南市,東區,大學里,學校,51,0,9,5,14,0,0,0,0,0,0,0,120.2209801,22.9963981
106/2/16,台南市,東區,崇誨里,住宅,50,2,3,6,9,1,1,2,4,1,22,6,120.2256687,22.989711
106/2/16,台南市,東區,大學里,住宅,50,0,2,5,7,0,0,0,0,0,0,0,120.2209801,22.9963981
106/2/16,台南市,東區,莊敬里,住宅,50,1,6,5,11,0,1,1,2,1,9,3,120.232521,22.9966645
