日期,臺南市,區別,里別,調查種類,調查戶數,陽性戶數,調查容器戶內,調查容器戶外,調查容器合計,陽性容器戶內,陽性容器戶外,陽性容器合計,布氏指數,布氏級數,容器指數,容器級數,緯度,經度
2018/1/22,臺南市,東　區,小東里,住宅,50,0,5,11,16,0,0,0,0,0,0,0,22.9970514,120.227472
2018/1/22,臺南市,東　區,中西里,住宅,50,1,6,5,11,0,1,1,2,1,9,3,22.9905086,120.2202587
2018/1/22,臺南市,東　區,東安里,住宅,50,0,12,6,18,0,0,0,0,0,0,0,22.9872616,120.2213407
2018/1/22,臺南市,東　區,仁和里,住宅,50,1,4,9,13,0,1,1,2,1,8,3,22.9701464,120.2357667
2018/1/23,臺南市,東　區,東光里,住宅,50,1,5,16,21,0,1,1,2,1,5,2,22.99242,120.2303571
2018/1/23,臺南市,東　區,東光里,住宅,50,1,5,16,21,0,1,1,2,1,5,2,22.99242,120.2303571
2018/1/23,臺南市,東　區,東光里,住宅,51,0,13,0,13,0,0,0,0,0,0,0,22.99242,120.2303571
2018/1/23,臺南市,東　區,虎尾里,住宅,50,0,4,5,9,0,0,0,0,0,0,0,22.9791309,120.2361273
2018/1/23,臺南市,東　區,東明里,住宅,50,0,11,7,18,0,0,0,0,0,0,0,22.9916823,120.227472
2018/1/23,臺南市,東　區,崇學里,住宅,50,1,8,5,13,0,2,2,4,1,15,5,22.9778231,120.2231441
2018/1/24,臺南市,東　區,莊敬里,住宅,50,0,0,0,0,0,0,0,0,0,0,0,22.9966645,120.232521
2018/1/24,臺南市,東　區,德光里,住宅,50,0,5,7,12,0,0,0,0,0,0,0,22.981112,120.2202587
2018/1/24,臺南市,東　區,裕農里,住宅,50,0,4,4,8,0,0,0,0,0,0,0,22.9886954,120.2289146
2018/1/24,臺南市,東　區,自強里,住宅,50,0,10,10,20,0,0,0,0,0,0,0,22.9824198,120.2332423
2018/1/25,臺南市,東　區,南聖里,住宅,50,0,4,11,15,0,0,0,0,0,0,0,22.9890944,120.2462245
2018/1/25,臺南市,東　區,復興里,住宅,50,0,4,10,14,0,0,0,0,0,0,0,22.982061,120.238356
2018/1/25,臺南市,東　區,文聖里,住宅,50,1,6,7,13,0,1,1,2,1,8,3,22.9840282,120.2447821
2018/1/26,臺南市,東　區,大福里,住宅,50,0,0,6,6,0,0,0,0,0,0,0,22.9739636,120.2159306
2018/1/26,臺南市,東　區,後甲里,住宅,50,0,5,8,13,0,0,0,0,0,0,0,22.9927707,120.2382911
2018/1/26,臺南市,東　區,忠孝里,住宅,50,1,9,10,19,0,1,1,2,1,5,2,22.9773869,120.218816
2018/1/26,臺南市,東　區,和平里,住宅,50,1,2,9,11,0,1,1,2,1,9,3,22.9745842,120.2354061
2018/1/26,臺南市,東　區,崇明里,住宅,50,0,21,3,24,0,0,0,0,0,0,0,22.969188,120.22063
2018/1/26,臺南市,東　區,龍山里,住宅,50,1,6,19,25,0,1,1,2,1,4,2,22.9834946,120.2217014
2018/1/26,臺南市,東　區,成大里,住宅,50,0,3,12,15,0,0,0,0,0,0,0,22.9976069,120.2152092
2018/1/26,臺南市,東　區,崇信里,住宅,50,0,7,6,13,0,0,0,0,0,0,0,22.9809439,120.227472
2018/1/22,臺南市,南　區,明亮里,住宅,51,0,13,10,23,0,0,0,0,0,0,0,22.9693947,120.1928448
2018/1/22,臺南市,南　區,文華里,住宅,50,1,6,4,10,0,1,1,2,1,10,4,22.98611,120.1899588
