日期,台南市,區別,里別,調查種類,調查戶數,陽性戶數,調查容器戶內,調查容器戶外,調查容器合計,陽性容器戶內,陽性容器戶外,陽性容器合計,布氏指數,布氏級數,容器指數,容器級數,緯度,經度
2017/9/3,台南市,東　區,文聖里,住宅,75,3,9,21,30,0,3,3,4,1,10,4,22.9840282,120.2447821
2017/9/3,台南市,東　區,大福里,地區,53,2,2,7,9,0,2,2,4,1,22,6,22.9739636,120.2159306
2017/9/3,台南市,東　區,東聖里,住宅,50,2,8,14,22,0,2,2,4,1,9,3,22.9861443,120.2346848
2017/9/3,台南市,東　區,裕聖里,住宅,50,2,2,10,12,0,2,2,4,1,17,5,22.9802195,120.2469457
2017/9/4,台南市,東　區,小東里,住宅,50,0,6,6,12,0,0,0,0,0,0,0,22.9970514,120.227472
2017/9/4,台南市,東　區,崇誨里,住宅,60,1,1,8,9,0,1,1,2,1,11,4,22.989711,120.2256687
2017/9/4,台南市,東　區,東安里,住宅,51,0,0,12,12,0,0,0,0,0,0,0,22.9872616,120.2213407
2017/9/4,台南市,東　區,虎尾里,住宅,50,2,8,11,19,0,2,2,4,1,11,4,22.9791309,120.2361273
2017/9/4,台南市,東　區,東光里,住宅,50,0,3,11,14,0,0,0,0,0,0,0,22.99242,120.2303571
2017/9/4,台南市,東　區,龍山里,住宅,50,1,7,15,22,0,2,2,4,1,9,3,22.9834946,120.2217014
2017/9/4,台南市,東　區,崇文里,住宅,50,4,6,13,19,1,3,4,8,2,21,6,22.967579,120.229436
2017/9/5,台南市,東　區,裕農里,住宅,75,4,6,26,32,0,4,4,5,2,13,4,22.9886954,120.2289146
2017/9/5,台南市,東　區,東安里,住宅,75,0,4,12,16,0,0,0,0,0,0,0,22.9872616,120.2213407
2017/9/6,台南市,東　區,大德里,住宅,50,0,6,7,13,0,0,0,0,0,0,0,22.9778817,120.2148485
2017/9/6,台南市,東　區,忠孝里,住宅,50,6,4,12,16,1,6,7,14,3,44,9,22.9773869,120.218816
2017/9/6,台南市,東　區,和平里,住宅,51,0,14,12,26,0,0,0,0,0,0,0,22.9745842,120.2354061
2017/9/6,台南市,東　區,大學里,住宅,50,2,6,11,17,0,3,3,6,2,18,5,22.9963981,120.2209801
2017/9/6,台南市,東　區,復興里,住宅,50,1,16,9,25,0,1,1,2,1,4,2,22.982061,120.238356
2017/9/7,台南市,東　區,東明里,住宅,50,1,3,7,10,0,1,1,2,1,10,4,22.9916823,120.227472
2017/9/7,台南市,東　區,裕聖里,住宅,50,7,1,11,12,0,7,7,14,3,58,9,22.9802195,120.2469457
2017/9/7,台南市,東　區,崇誨里,住宅,50,0,0,11,11,0,0,0,0,0,0,0,22.989711,120.2256687
2017/9/7,台南市,東　區,大福里,住宅,50,0,0,6,6,0,0,0,0,0,0,0,22.9739636,120.2159306
2017/9/7,台南市,東　區,仁和里,地區,50,0,0,2,2,0,0,0,0,0,0,0,22.970364,120.235827
2017/9/7,台南市,東　區,德高里,住宅,50,2,1,27,28,0,3,3,6,2,11,4,22.9665308,120.2354061
2017/9/7,台南市,東　區,崇成里,住宅,50,1,3,12,15,0,1,1,2,1,7,3,22.968559,120.227651
2017/9/7,台南市,東　區,文聖里,住宅,50,2,5,10,15,0,2,2,4,1,13,4,22.9840282,120.2447821
2017/9/8,台南市,東　區,崇善里,住宅,50,4,5,21,26,1,4,5,10,3,19,5,22.9736282,120.2303571
2017/9/8,台南市,東　區,關聖里,地區,50,5,6,21,27,0,6,6,12,3,22,6,22.985975,120.2418972
2017/9/8,台南市,東　區,大同里,地區,50,1,0,5,5,0,1,1,2,1,20,5,22.9839645,120.2130451
2017/9/8,台南市,東　區,崇信里,地區,50,1,6,10,16,1,0,1,2,1,6,3,22.9809439,120.227472
2017/9/8,台南市,東　區,東門里,住宅,50,2,3,11,14,0,2,2,4,1,14,4,22.9890322,120.2144878
2017/9/3,台南市,南　區,永寧里,住宅,50,0,3,32,35,0,0,0,0,0,0,0,22.9291405,120.1798573
2017/9/3,台南市,南　區,新生里,住宅,50,2,3,16,19,0,2,2,4,1,11,4,22.9775543,120.2116023
2017/9/4,台南市,南　區,喜南里,住宅,50,3,8,30,38,0,3,3,6,2,8,3,22.9383204,120.1776926
2017/9/4,台南市,南　區,喜東里,住宅,50,1,5,17,22,0,1,1,2,1,5,2,22.9423225,120.1906803
2017/9/5,台南市,南　區,文華里,住宅,50,2,9,10,19,1,1,2,4,1,11,4,22.98611,120.1899588
2017/9/5,台南市,南　區,開南里,住宅,50,0,3,13,16,0,0,0,0,0,0,0,22.9668748,120.1856297
2017/9/6,台南市,南　區,喜北里,住宅,50,6,4,19,23,0,7,7,14,3,30,7,22.9490628,120.1776926
2017/9/6,台南市,南　區,省躬里,住宅,50,3,5,7,12,0,3,3,6,2,25,6,22.9338276,120.1863512
2017/9/7,台南市,南　區,明興里,地區,50,2,4,9,13,0,2,2,4,1,15,5,22.9629831,120.1914018
2017/9/7,台南市,南　區,府南里,地區,51,0,4,6,10,0,0,0,0,0,0,0,22.9722988,120.1950093
2017/9/7,台南市,南　區,新生里,住宅,50,0,5,13,18,0,0,0,0,0,0,0,22.9775543,120.2116023
2017/9/7,台南市,南　區,國宅里,住宅,50,1,13,7,20,1,0,1,2,1,5,2,22.976137,120.187265
2017/9/8,台南市,南　區,明德里,住宅,50,5,1,15,16,0,5,5,10,3,31,7,22.9710918,120.200781
2017/9/8,台南市,南　區,建南里,住宅,50,1,5,25,30,0,4,4,8,2,13,4,22.9572284,120.1964522
2017/9/3,台南市,北　區,大豐里,其他,75,1,8,8,16,0,1,1,1,1,6,3,23.0078107,120.1921233
2017/9/3,台南市,北　區,大道里,其他,50,2,4,27,31,0,2,2,4,1,6,3,23.0099486,120.2155699
2017/9/4,台南市,北　區,正覺里,住宅,50,0,5,7,12,0,0,0,0,0,0,0,23.0151428,120.2116023
2017/9/4,台南市,北　區,公園里,其他,50,2,4,12,16,0,2,2,4,1,13,4,23.0006781,120.2101595
2017/9/4,台南市,北　區,永祥里,其他,50,1,5,11,16,0,1,1,2,1,6,3,23.0160134,120.2202587
2017/9/4,台南市,北　區,力行里,其他,50,1,5,11,16,0,1,1,2,1,6,3,23.0084185,120.2292752
2017/9/4,台南市,北　區,大仁里,住宅,50,2,2,22,24,0,3,3,6,2,13,4,23.0074149,120.2148485
2017/9/4,台南市,北　區,延平里,菜園,50,0,2,11,13,0,0,0,0,0,0,0,23.0107043,120.211963
2017/9/4,台南市,北　區,力行里,其他,50,0,7,12,19,0,0,0,0,0,0,0,23.0084185,120.2292752
2017/9/4,台南市,北　區,三德里,其他,50,4,1,27,28,1,3,4,8,2,14,4,23.000133,120.2047489
2017/9/5,台南市,北　區,成功里,其他,50,1,3,32,35,0,1,1,2,1,3,2,23.0202949,120.2094381
2017/9/5,台南市,北　區,國姓里,其他,50,3,5,14,19,0,3,3,6,2,16,5,23.0076926,120.2087167
2017/9/5,台南市,北　區,裕民里,其他,50,0,2,28,30,0,0,0,0,0,0,0,23.0026166,120.1960915
2017/9/5,台南市,北　區,五福里,其他,50,4,0,13,13,0,4,4,8,2,31,7,23.0004351,120.2033061
