日期,臺南市,區別,里別,調查種類,調查戶數,陽性戶數,調查容器戶內,調查容器戶外,調查容器合計,陽性容器戶內,陽性容器戶外,陽性容器合計,布氏指數,布氏級數,容器指數,容器級數,經度,緯度
2018/10/22,臺南市,東　區,崇明里,住宅,53,0,4,1,5,0,0,0,0,0,0,0,22.9685104,120.2195374
2018/10/22,臺南市,東　區,崇文里,住宅,51,0,3,4,7,0,0,0,0,0,0,0,22.9677389,120.2296358
2018/10/22,臺南市,東　區,崇德里,住宅,50,1,2,9,11,0,1,1,2,1,9,3,22.9745344,120.2260293
2018/10/22,臺南市,東　區,大福里,住宅,50,1,1,6,7,0,1,1,2,1,14,4,22.9739636,120.2159306
2018/10/22,臺南市,東　區,泉南里,住宅,50,2,6,7,13,2,0,2,4,1,15,5,22.9847029,120.2159306
2018/10/23,臺南市,東　區,東明里,住宅,50,0,11,10,21,0,0,0,0,0,0,0,22.9916823,120.227472
2018/10/23,臺南市,東　區,崇善里,住宅,52,1,0,8,8,0,1,1,2,1,13,4,22.9736282,120.2303571
2018/10/23,臺南市,東　區,復興里,住宅,50,0,0,7,7,0,0,0,0,0,0,0,22.9815131,120.2375698
2018/10/23,臺南市,東　區,和平里,住宅,50,1,3,26,29,0,3,3,6,2,10,4,22.9745842,120.2354061
2018/10/24,臺南市,東　區,裕聖里,住宅,50,1,0,12,12,0,1,1,2,1,8,3,22.9802195,120.2469457
2018/10/24,臺南市,東　區,新東里,住宅,50,0,2,10,12,0,0,0,0,0,0,0,22.9865063,120.2249474
2018/10/24,臺南市,東　區,德高里,住宅,50,0,0,8,8,0,0,0,0,0,0,0,22.9665308,120.2354061
2018/10/24,臺南市,東　區,大學里,住宅,50,0,1,6,7,0,0,0,0,0,0,0,22.9963981,120.2209801
2018/10/25,臺南市,東　區,衛國里,住宅,77,0,6,17,23,0,0,0,0,0,0,0,22.9882597,120.2245867
2018/10/25,臺南市,東　區,富強里,住宅,50,0,11,0,11,0,0,0,0,0,0,0,22.9867487,120.2317997
2018/10/25,臺南市,東　區,崇信里,住宅,50,0,14,13,27,0,0,0,0,0,0,0,22.9809439,120.227472
2018/10/25,臺南市,東　區,大智里,住宅,50,0,0,6,6,0,0,0,0,0,0,0,22.962286,120.2332423
2018/10/25,臺南市,東　區,文聖里,住宅,50,0,0,9,9,0,0,0,0,0,0,0,22.9840282,120.2447821
2018/10/26,臺南市,東　區,成大里,住宅,51,0,15,14,29,0,0,0,0,0,0,0,22.9976069,120.2152092
2018/10/26,臺南市,東　區,莊敬里,住宅,50,1,8,11,19,0,1,1,2,1,5,2,22.9966645,120.232521
2018/10/26,臺南市,東　區,崇明里,住宅,55,0,0,25,25,0,0,0,0,0,0,0,22.9685104,120.2195374
2018/10/26,臺南市,東　區,東光里,住宅,54,0,0,11,11,0,0,0,0,0,0,0,22.99242,120.2303571
2018/10/22,臺南市,南　區,大成里,住宅,50,0,16,13,29,0,0,0,0,0,0,0,22.9802712,120.1986166
2018/10/22,臺南市,南　區,明興里,住宅,50,0,9,7,16,0,0,0,0,0,0,0,22.9629831,120.1914018
2018/10/22,臺南市,南　區,開南里,住宅,50,0,1,18,19,0,0,0,0,0,0,0,22.9668748,120.1856297
2018/10/22,臺南市,南　區,大林里,住宅,50,0,9,4,13,0,0,0,0,0,0,0,22.9733919,120.2058311
2018/10/23,臺南市,南　區,府南里,住宅,50,0,0,5,5,0,0,0,0,0,0,0,22.9722988,120.1950093
2018/10/23,臺南市,南　區,光明里,住宅,50,0,8,6,14,0,0,0,0,0,0,0,22.971944,120.1870727
2018/10/23,臺南市,南　區,喜南里,住宅,50,0,5,14,19,0,0,0,0,0,0,0,22.9383204,120.1776926
2018/10/23,臺南市,南　區,彰南里,住宅,50,1,5,13,18,0,1,1,2,1,6,3,22.9715887,120.1791357
2018/10/23,臺南市,南　區,新生里,住宅,50,0,11,10,21,0,0,0,0,0,0,0,22.9775543,120.2116023
2018/10/24,臺南市,南　區,興農里,住宅,50,0,6,15,21,0,0,0,0,0,0,0,22.9299372,120.1921233
2018/10/24,臺南市,南　區,鯤鯓里,住宅,50,1,11,16,27,0,1,1,2,1,4,2,22.9566809,120.1733631
2018/10/24,臺南市,南　區,同安里,住宅,50,0,4,14,18,0,0,0,0,0,0,0,22.9224836,120.1892373
2018/10/24,臺南市,南　區,明德里,住宅,50,1,2,11,13,0,1,1,2,1,8,3,22.9710918,120.200781
2018/10/24,臺南市,南　區,喜南里,住宅,55,0,0,8,8,0,0,0,0,0,0,0,22.9383204,120.1776926
2018/10/25,臺南市,南　區,廣州里,住宅,75,0,9,8,17,0,0,0,0,0,0,0,22.9841637,120.1928448
2018/10/25,臺南市,南　區,田寮里,住宅,75,0,13,6,19,0,0,0,0,0,0,0,22.976847,120.1957308
2018/10/25,臺南市,南　區,金華里,住宅,25,0,10,4,14,0,0,0,0,0,0,0,22.9796984,120.1885158
2018/10/25,臺南市,南　區,白雪里,住宅,50,0,9,13,22,0,0,0,0,0,0,0,22.9676143,120.1885158
2018/10/26,臺南市,南　區,省躬里,住宅,75,1,6,25,31,0,1,1,1,1,3,2,22.9338276,120.1863512
2018/10/26,臺南市,南　區,文南里,住宅,75,2,7,13,20,2,0,2,3,1,10,4,22.9840282,120.1870727
2018/10/26,臺南市,南　區,喜北里,住宅,51,1,7,15,22,0,1,1,2,1,5,2,22.9490628,120.1776926
2018/10/26,臺南市,南　區,日新里,住宅,50,0,12,9,21,0,0,0,0,0,0,0,22.974026,120.1899588
