日期,台南市,區別,里別,調查種類,調查戶數,陽性戶數,調查容器戶內,調查容器戶外,調查容器合計,陽性容器戶內,陽性容器戶外,陽性容器合計,布氏指數,布氏級數,容器指數,容器級數,緯度,經度
2017/9/25,台南市,東　區,和平里,住宅,50,1,4,18,22,1,0,1,2,1,5,2,22.9745842,120.2354061
2017/9/25,台南市,東　區,崇學里,住宅,50,2,9,8,17,0,2,2,4,1,12,4,22.9778231,120.2231441
2017/9/26,台南市,東　區,大同里,住宅,50,4,9,6,15,3,2,5,10,3,33,8,22.9839645,120.2130451
2017/9/26,台南市,東　區,新東里,住宅,50,1,3,7,10,0,1,1,2,1,10,4,22.9865063,120.2249474
2017/9/26,台南市,東　區,東門里,住宅,50,0,3,8,11,0,0,0,0,0,0,0,22.9890322,120.2144878
2017/9/26,台南市,東　區,東安里,住宅,50,5,8,8,16,1,5,6,12,3,38,8,22.9872616,120.2213407
2017/9/27,台南市,東　區,忠孝里,住宅,50,3,12,12,24,0,5,5,10,3,21,6,22.9773869,120.218816
2017/9/27,台南市,東　區,大學里,住宅,50,2,4,12,16,0,3,3,6,2,19,5,22.9963981,120.2209801
2017/9/27,台南市,東　區,東明里,住宅,50,2,3,16,19,0,2,2,4,1,11,4,22.9916823,120.227472
2017/9/27,台南市,東　區,裕聖里,住宅,50,1,0,6,6,0,1,1,2,1,17,5,22.9802195,120.2469457
2017/9/28,台南市,東　區,裕農里,地區,50,0,2,10,12,0,0,0,0,0,0,0,22.9886954,120.2289146
2017/9/28,台南市,東　區,崇信里,地區,50,0,0,5,5,0,0,0,0,0,0,0,22.9809439,120.227472
2017/9/28,台南市,東　區,路東里,住宅,50,0,2,14,16,0,0,0,0,0,0,0,22.9801973,120.2134058
2017/9/28,台南市,東　區,崇善里,住宅,50,1,5,25,30,0,1,1,2,1,3,2,22.973936,120.230466
2017/9/28,台南市,東　區,後甲里,住宅,50,0,3,5,8,0,0,0,0,0,0,0,22.9927707,120.2382911
2017/9/28,台南市,東　區,德高里,住宅,50,1,2,12,14,0,1,1,2,1,7,3,22.965884,120.235589
2017/9/28,台南市,東　區,自強里,住宅,50,2,4,6,10,0,2,2,4,1,20,5,22.9824198,120.2332423
2017/9/28,台南市,東　區,仁和里,住宅,50,1,10,4,14,0,1,1,2,1,7,3,22.970364,120.235827
2017/9/29,台南市,東　區,圍下里,住宅,50,1,10,8,18,0,1,1,2,1,6,3,22.9919771,120.2148485
2017/9/29,台南市,東　區,南聖里,住宅,50,2,2,7,9,0,2,2,4,1,22,6,22.9890944,120.2462245
2017/9/29,台南市,東　區,崇誨里,地區,50,0,1,4,5,0,0,0,0,0,0,0,22.989711,120.2256687
2017/9/29,台南市,東　區,虎尾里,住宅,50,2,2,12,14,1,1,2,4,1,14,4,22.9791309,120.2361273
2017/9/29,台南市,東　區,富裕里,住宅,50,1,5,7,12,0,1,1,2,1,8,3,22.9849708,120.227472
2017/9/29,台南市,東　區,大德里,住宅,51,0,11,4,15,0,0,0,0,0,0,0,22.9778817,120.2148485
2017/9/29,台南市,東　區,小東里,地區,50,0,0,7,7,0,0,0,0,0,0,0,22.9970514,120.227472
2017/9/29,台南市,東　區,泉南里,住宅,50,1,1,16,17,1,0,1,2,1,6,3,22.9847029,120.2159306
2017/9/30,台南市,東　區,大智里,地區,50,0,3,15,18,0,0,0,0,0,0,0,22.962286,120.2332423
2017/9/30,台南市,東　區,龍山里,住宅,75,2,6,12,18,1,1,2,3,1,11,4,22.9834946,120.2217014
2017/9/30,台南市,東　區,成大里,地區,50,0,7,18,25,0,0,0,0,0,0,0,22.9976069,120.2152092
2017/9/30,台南市,東　區,成大里,住宅,50,0,5,7,12,0,0,0,0,0,0,0,22.9976069,120.2152092
2017/9/25,台南市,南　區,同安里,住宅,50,6,6,25,31,1,8,9,18,3,29,7,22.9224836,120.1892373
