日期,台南市,區別,里別,調查種類,調查戶數,陽性戶數,調查容器戶內,調查容器戶外,調查容器合計,陽性容器戶內,陽性容器戶外,陽性容器合計,布氏指數,布氏級數,容器指數,容器級數,經度,緯度
106/3/20,台南市,東　區,崇誨里,住宅,50,0,5,8,13,0,0,0,0,0,0,0,120.2256687,22.989711
106/3/20,台南市,東　區,崇成里,住宅,50,1,6,5,11,1,0,1,2,1,9,3,120.227193,22.969311
106/3/20,台南市,東　區,大智里,住宅,50,0,8,8,16,0,0,0,0,0,0,0,120.2332423,22.962286
106/3/20,台南市,東　區,南聖里,住宅,50,0,4,7,11,0,0,0,0,0,0,0,120.2462245,22.9890944
106/3/21,台南市,東　區,崇信里,住宅,50,0,1,7,8,0,0,0,0,0,0,0,120.227472,22.9809439
106/3/21,台南市,東　區,崇文里,機關,50,0,8,7,15,0,0,0,0,0,0,0,120.2296358,22.9677389
106/3/21,台南市,東　區,大學里,住宅,51,0,3,6,9,0,0,0,0,0,0,0,120.2209801,22.9963981
106/3/21,台南市,東　區,自強里,住宅,50,0,3,3,6,0,0,0,0,0,0,0,120.2332423,22.9824198
106/3/22,台南市,東　區,路東里,住宅,50,0,3,3,6,0,0,0,0,0,0,0,120.2134058,22.9801973
106/3/22,台南市,東　區,東安里,住宅,53,0,1,4,5,0,0,0,0,0,0,0,120.2213407,22.9872616
106/3/22,台南市,東　區,中西里,住宅,50,1,1,6,7,0,1,1,2,1,14,4,120.2202587,22.9905086
106/3/22,台南市,東　區,新東里,住宅,50,0,5,11,16,0,0,0,0,0,0,0,120.2249474,22.9865063
106/3/23,台南市,東　區,德高里,住宅,50,0,5,7,12,0,0,0,0,0,0,0,120.2354061,22.9665308
106/3/23,台南市,東　區,泉南里,住宅,75,0,7,19,26,0,0,0,0,0,0,0,120.2159306,22.9847029
106/3/24,台南市,東　區,崇誨里,住宅,50,0,1,4,5,0,0,0,0,0,0,0,120.2256687,22.989711
106/3/24,台南市,東　區,仁和里,住宅,50,0,2,4,6,0,0,0,0,0,0,0,120.2357667,22.9701464
106/3/6,台南市,東　區,圍下里,住宅,50,0,0,0,0,0,0,0,0,0,0,0,120.2148485,22.9919771
106/3/10,台南市,東　區,崇善里,住宅,53,0,9,8,17,0,0,0,0,0,0,0,120.2303571,22.9736282
106/3/13,台南市,東　區,莊敬里,住宅,55,1,18,24,42,0,1,1,2,1,2,1,120.232521,22.9966645
106/3/13,台南市,東　區,崇學里,住宅,51,0,17,32,49,0,0,0,0,0,0,0,120.2231441,22.9778231
106/3/21,台南市,東　區,富裕里,住宅,51,0,12,14,26,0,0,0,0,0,0,0,120.227472,22.9849708
106/3/20,台南市,南　區,省躬里,住宅,50,1,4,7,11,0,1,1,2,1,9,3,120.1863512,22.9338276
106/3/20,台南市,南　區,田寮里,住宅,50,0,8,6,14,0,0,0,0,0,0,0,120.1957308,22.976847
106/3/21,台南市,南　區,文華里,住宅,50,0,16,3,19,0,0,0,0,0,0,0,120.1899588,22.98611
106/3/21,台南市,南　區,新興里,住宅,50,1,23,7,30,0,1,1,2,1,3,2,120.19537,22.9799434
106/3/22,台南市,南　區,郡南里,住宅,51,0,10,6,16,0,0,0,0,0,0,0,120.1950093,22.964243
106/3/22,台南市,南　區,佛壇里,住宅,50,0,4,1,5,0,0,0,0,0,0,0,120.1776926,22.9195212
106/3/23,台南市,南　區,明興里,住宅,50,0,7,6,13,0,0,0,0,0,0,0,120.1914018,22.9629831
106/3/24,台南市,南　區,明德里,學校,50,0,7,3,10,0,0,0,0,0,0,0,120.200781,22.9710918
106/3/24,台南市,南　區,文南里,住宅,54,0,3,8,11,0,0,0,0,0,0,0,120.1870727,22.9840282
106/3/20,台南市,北　區,安民里,住宅,50,0,4,4,8,0,0,0,0,0,0,0,120.2000596,23.0014504
106/3/20,台南市,北　區,重興里,住宅,50,0,0,4,4,0,0,0,0,0,0,0,120.2260293,23.0040653
106/3/21,台南市,北　區,興北里,住宅,50,0,0,5,5,0,0,0,0,0,0,0,120.2116023,23.0057457
106/3/21,台南市,北　區,興南里,住宅,50,0,1,3,4,0,0,0,0,0,0,0,120.2087167,23.0036652
106/3/21,台南市,北　區,正覺里,住宅,50,0,4,8,12,0,0,0,0,0,0,0,120.2116023,23.0151428
106/3/21,台南市,北　區,成德里,住宅,50,1,0,16,16,0,1,1,2,1,6,3,120.2036668,23.0134491
106/3/23,台南市,北　區,成功里,住宅,50,1,2,5,7,0,1,1,2,1,14,4,120.2094381,23.0202949
106/3/23,台南市,北　區,延平里,住宅,50,1,4,7,11,0,1,1,2,1,9,3,120.211963,23.0107043
106/3/1,台南市,北　區,中樓里,住宅,50,0,6,9,15,0,0,0,0,0,0,0,120.2159306,23.0034966
106/3/3,台南市,北　區,興北里,住宅,50,0,5,9,14,0,0,0,0,0,0,0,120.2116023,23.0057457
106/3/6,台南市,北　區,賢北里,住宅,50,0,4,7,11,0,0,0,0,0,0,0,120.1813004,23.006719
106/3/8,台南市,北　區,文成里,住宅,50,0,5,9,14,0,0,0,0,0,0,0,120.1971737,23.0074248
106/3/10,台南市,北　區,長榮里,住宅,50,0,3,10,13,0,0,0,0,0,0,0,120.2191767,23.0091928
106/3/15,台南市,北　區,興南里,住宅,50,0,7,9,16,0,0,0,0,0,0,0,120.2087167,23.0036652
106/3/20,台南市,中西區,藥王里,住宅,50,0,4,3,7,0,0,0,0,0,0,0,120.1914018,22.9992346
106/3/20,台南市,中西區,福安里,住宅,50,0,3,7,10,0,0,0,0,0,0,0,120.1996988,22.991121
106/3/21,台南市,中西區,西湖里,住宅,50,0,6,4,10,0,0,0,0,0,0,0,120.1834651,23.0015666
106/3/21,台南市,中西區,小西里,住宅,50,0,3,3,6,0,0,0,0,0,0,0,120.1986166,22.9883267
106/3/22,台南市,中西區,民權里,住宅,50,0,4,3,7,0,0,0,0,0,0,0,120.1957308,22.9969861
106/3/22,台南市,中西區,萬昌里,住宅,50,0,5,3,8,0,0,0,0,0,0,0,120.2101595,22.9899384
106/3/23,台南市,中西區,赤嵌里,學校,50,0,2,2,4,0,0,0,0,0,0,0,120.2072739,22.9972549
106/3/23,台南市,中西區,赤嵌里,學校,28,0,2,1,3,0,0,0,0,0,0,0,120.2072739,22.9972549
106/3/24,台南市,中西區,民權里,住宅,50,0,3,5,8,0,0,0,0,0,0,0,120.1957308,22.9969861
106/3/24,台南市,中西區,進學里,學校,1,0,5,0,5,0,0,0,0,0,0,0,120.2015025,22.9877228
106/3/6,台南市,中西區,安海里,住宅,52,0,0,12,12,0,0,0,0,0,0,0,120.1924841,22.9959872
106/3/6,台南市,中西區,協進里,住宅,50,0,0,12,12,0,0,0,0,0,0,0,120.1910411,22.9976318
106/3/7,台南市,中西區,民主里,住宅,50,0,1,10,11,0,0,0,0,0,0,0,120.1939271,22.9923288
106/3/11,台南市,中西區,小西里,住宅,60,1,0,17,17,0,1,1,2,1,6,3,120.1986166,22.9883267
106/3/15,台南市,中西區,永福里,其他,50,1,6,4,10,1,0,1,2,1,10,4,120.2018632,22.9933532
106/3/20,台南市,安南區,城南里,住宅,50,0,0,20,20,0,0,0,0,0,0,0,120.1185102,23.0567837
106/3/20,台南市,安南區,城中里,機關,50,1,0,23,23,0,1,1,2,1,4,2,120.1307819,23.058919
