日期,台南市,區別,里別,調查種類,調查戶數,陽性戶數,調查容器戶內,調查容器戶外,調查容器合計,陽性容器戶內,陽性容器戶外,陽性容器合計,布氏指數,布氏級數,容器指數,容器級數,緯度,經度
2017/11/27,台南市,東　區,復興里,住宅,75,2,13,16,29,0,2,2,3,1,7,3,22.982061,120.238356
2017/11/27,台南市,東　區,崇文里,住宅,75,1,7,12,19,0,3,3,4,1,16,5,22.967579,120.229436
2017/11/28,台南市,東　區,德高里,住宅,50,0,4,13,17,0,0,0,0,0,0,0,22.965884,120.235589
2017/11/28,台南市,東　區,裕農里,住宅,50,0,2,15,17,0,0,0,0,0,0,0,22.9886954,120.2289146
2017/11/28,台南市,東　區,崇善里,住宅,50,0,4,11,15,0,0,0,0,0,0,0,22.9736282,120.2303571
2017/11/28,台南市,東　區,文聖里,住宅,50,1,8,10,18,0,1,1,2,1,6,3,22.9840282,120.2447821
2017/11/29,台南市,東　區,富裕里,住宅,50,0,5,10,15,0,0,0,0,0,0,0,22.9849708,120.227472
2017/11/29,台南市,東　區,後甲里,住宅,50,1,2,11,13,0,1,1,2,1,8,3,22.9927707,120.2382911
2017/11/29,台南市,東　區,大同里,住宅,50,1,1,2,3,0,1,1,2,1,33,8,22.9839645,120.2130451
2017/11/29,台南市,東　區,德光里,住宅,50,0,5,11,16,0,0,0,0,0,0,0,22.981112,120.2202587
2017/11/30,台南市,東　區,崇明里,住宅,50,0,4,3,7,0,0,0,0,0,0,0,22.969188,120.22063
2017/11/30,台南市,東　區,大福里,住宅,50,0,3,21,24,0,0,0,0,0,0,0,22.9739636,120.2159306
2017/11/30,台南市,東　區,大學里,住宅,50,1,3,8,11,0,1,1,2,1,9,3,22.9963981,120.2209801
2017/11/30,台南市,東　區,仁和里,住宅,50,1,5,9,14,0,1,1,2,1,7,3,22.970364,120.235827
2017/11/30,台南市,東　區,東智里,住宅,50,1,8,2,10,1,0,1,2,1,10,4,22.9629737,120.2267506
2017/11/30,台南市,東　區,崇誨里,住宅,50,0,6,4,10,0,0,0,0,0,0,0,22.989711,120.2256687
2017/11/30,台南市,東　區,東聖里,住宅,50,0,2,7,9,0,0,0,0,0,0,0,22.9861443,120.2346848
2017/11/30,台南市,東　區,裕聖里,住宅,50,1,3,20,23,0,1,1,2,1,4,2,22.9802195,120.2469457
2017/12/1,台南市,東　區,東門里,住宅,50,0,4,11,15,0,0,0,0,0,0,0,22.9890322,120.2144878
2017/12/1,台南市,東　區,東光里,住宅,50,0,1,3,4,0,0,0,0,0,0,0,22.992465,120.230914
2017/12/1,台南市,東　區,成大里,住宅,50,0,4,11,15,0,0,0,0,0,0,0,22.9976069,120.2152092
2017/12/1,台南市,東　區,東安里,住宅,51,1,7,3,10,2,0,2,4,1,20,5,22.9872616,120.2213407
2017/12/1,台南市,東　區,忠孝里,住宅,50,0,5,13,18,0,0,0,0,0,0,0,22.9773869,120.218816
2017/12/1,台南市,東　區,崇成里,住宅,50,2,4,13,17,1,1,2,4,1,12,4,22.9712457,120.2289146
2017/12/1,台南市,東　區,崇德里,住宅,50,0,1,3,4,0,0,0,0,0,0,0,22.9745344,120.2260293
2017/12/1,台南市,東　區,泉南里,住宅,50,1,3,14,17,0,1,1,2,1,6,3,22.9847029,120.2159306
2017/11/27,台南市,南　區,喜北里,住宅,50,2,6,12,18,0,2,2,4,1,11,4,22.9490628,120.1776926
2017/11/27,台南市,南　區,開南里,住宅,50,1,2,10,12,0,1,1,2,1,8,3,22.9668748,120.1856297
2017/11/28,台南市,南　區,白雪里,住宅,51,0,7,22,29,0,0,0,0,0,0,0,22.9676143,120.1885158
2017/11/28,台南市,南　區,金華里,住宅,53,1,2,13,15,0,1,1,2,1,7,3,22.9796984,120.1885158
2017/11/29,台南市,南　區,新昌里,住宅,51,1,7,8,15,0,1,1,2,1,7,3,22.9835601,120.1957308
2017/11/29,台南市,南　區,明興里,住宅,51,0,9,4,13,0,0,0,0,0,0,0,22.9629831,120.1914018
2017/11/30,台南市,南　區,明德里,住宅,50,1,0,8,8,0,1,1,2,1,13,4,22.9710918,120.200781
2017/11/30,台南市,南　區,新生里,住宅,50,1,0,9,9,0,1,1,2,1,11,4,22.9775543,120.2116023
2017/11/30,台南市,南　區,田寮里,住宅,52,1,7,16,23,0,1,1,2,1,4,2,22.976847,120.1957308
2017/11/30,台南市,南　區,府南里,住宅,50,0,4,9,13,0,0,0,0,0,0,0,22.9722988,120.1950093
2017/11/30,台南市,南　區,南都里,住宅,50,0,3,7,10,0,0,0,0,0,0,0,22.9550918,120.1841866
2017/11/30,台南市,南　區,國宅里,住宅,50,0,14,7,21,0,0,0,0,0,0,0,22.976137,120.187265
2017/12/1,台南市,南　區,大忠里,住宅,52,0,7,14,21,0,0,0,0,0,0,0,22.9698014,120.2101595
2017/12/1,台南市,南　區,荔宅里,住宅,50,0,6,23,29,0,0,0,0,0,0,0,22.9749009,120.1986166
2017/12/1,台南市,南　區,鯤鯓里,住宅,50,0,4,13,17,0,0,0,0,0,0,0,22.9566809,120.1733631
2017/12/1,台南市,南　區,松安里,住宅,50,0,10,13,23,0,0,0,0,0,0,0,22.9248924,120.1776926
2017/12/1,台南市,南　區,永寧里,住宅,50,3,15,28,43,0,3,3,6,2,7,3,22.9291405,120.1798573
2017/12/1,台南市,南　區,荔宅里,住宅,50,0,6,23,29,0,0,0,0,0,0,0,22.9749009,120.1986166
2017/12/1,台南市,南　區,日新里,住宅,50,0,5,4,9,0,0,0,0,0,0,0,22.974026,120.1899588
2017/11/27,台南市,北　區,大豐里,住宅,50,0,3,9,12,0,0,0,0,0,0,0,23.0078107,120.1921233
2017/11/27,台南市,北　區,重興里,住宅,50,0,4,6,10,0,0,0,0,0,0,0,23.0040653,120.2260293
2017/11/27,台南市,北　區,東興里,住宅,50,0,2,8,10,0,0,0,0,0,0,0,23.0013807,120.2260293
2017/11/27,台南市,北　區,元寶里,住宅,50,0,4,5,9,0,0,0,0,0,0,0,23.0114904,120.224226
2017/11/28,台南市,北　區,延平里,住宅,50,1,5,5,10,0,1,1,2,1,10,4,23.0107043,120.211963
2017/11/28,台南市,北　區,力行里,住宅,50,0,4,4,8,0,0,0,0,0,0,0,23.0084185,120.2292752
2017/11/28,台南市,北　區,小康里,住宅,50,3,1,11,12,0,3,3,6,2,25,6,23.0152758,120.2173733
2017/11/28,台南市,北　區,勝安里,住宅,50,0,5,6,11,0,0,0,0,0,0,0,23.0074816,120.217734
2017/11/29,台南市,北　區,成功里,住宅,50,0,7,8,15,0,0,0,0,0,0,0,23.0202949,120.2094381
2017/11/29,台南市,北　區,玉皇里,地區,50,1,4,10,14,0,1,1,2,1,7,3,22.9996798,120.2069132
2017/11/29,台南市,北　區,正風里,住宅,50,0,9,5,14,0,0,0,0,0,0,0,23.0154694,120.2148485
2017/11/29,台南市,北　區,振興里,住宅,50,0,3,5,8,0,0,0,0,0,0,0,23.0063146,120.2217014
2017/11/30,台南市,北　區,永祥里,住宅,50,0,5,12,17,0,0,0,0,0,0,0,23.0160134,120.2202587
2017/11/30,台南市,北　區,新勝里,住宅,50,0,6,14,20,0,0,0,0,0,0,0,23.0094105,120.2213407
2017/11/30,台南市,北　區,國興里,住宅,50,1,3,4,7,0,1,1,2,1,14,4,23.0094345,120.2260293
2017/11/30,台南市,北　區,興南里,住宅,50,0,3,6,9,0,0,0,0,0,0,0,23.0036652,120.2087167
2017/11/30,台南市,北　區,中樓里,住宅,50,0,4,11,15,0,0,0,0,0,0,0,23.0034966,120.2159306
2017/11/30,台南市,北　區,長榮里,住宅,50,0,9,13,22,0,0,0,0,0,0,0,23.0091928,120.2191767
2017/11/30,台南市,北　區,興北里,住宅,50,0,2,3,5,0,0,0,0,0,0,0,23.0057457,120.2116023
2017/11/30,台南市,北　區,光武里,住宅,50,0,2,10,12,0,0,0,0,0,0,0,23.0124822,120.2162913
2017/12/1,台南市,北　區,國姓里,住宅,50,0,3,2,5,0,0,0,0,0,0,0,23.0076926,120.2087167
2017/12/1,台南市,北　區,文成里,住宅,50,0,4,6,10,0,0,0,0,0,0,0,23.0074248,120.1971737
2017/12/1,台南市,北　區,成德里,住宅,75,0,2,6,8,0,0,0,0,0,0,0,23.0134491,120.2036668
2017/12/1,台南市,北　區,五福里,住宅,50,0,7,2,9,0,0,0,0,0,0,0,23.0004351,120.2033061
2017/12/1,台南市,北　區,大山里,住宅,50,0,2,3,5,0,0,0,0,0,0,0,23.0090596,120.2134058
2017/12/1,台南市,北　區,文元里,住宅,50,0,4,16,20,0,0,0,0,0,0,0,23.0146579,120.1978952
2017/12/1,台南市,北　區,公園里,住宅,50,0,7,28,35,0,0,0,0,0,0,0,23.0006781,120.2101595
2017/11/27,台南市,中西區,永華里,其他,50,0,0,5,5,0,0,0,0,0,0,0,22.9911465,120.2043882
2017/11/27,台南市,中西區,永福里,住宅,50,1,6,16,22,0,1,1,2,1,5,2,22.9933532,120.2018632
2017/11/27,台南市,中西區,福安里,住宅,50,0,11,8,19,0,0,0,0,0,0,0,22.991121,120.1996988
2017/11/28,台南市,中西區,協和里,住宅,50,0,5,9,14,0,0,0,0,0,0,0,23.0016179,120.1928448
2017/11/28,台南市,中西區,民權里,住宅,50,1,4,16,20,0,1,1,2,1,5,2,22.9969861,120.1957308
2017/11/29,台南市,中西區,郡西里,住宅,50,2,0,10,10,0,2,2,4,1,20,5,22.9889722,120.1939271
2017/11/29,台南市,中西區,民生里,住宅,50,0,6,15,21,0,0,0,0,0,0,0,22.989425,120.1917626
2017/11/30,台南市,中西區,萬昌里,住宅,54,0,2,10,12,0,0,0,0,0,0,0,22.9899384,120.2101595
2017/11/30,台南市,中西區,協進里,住宅,51,0,3,2,5,0,0,0,0,0,0,0,22.9976318,120.1910411
2017/11/30,台南市,中西區,藥王里,住宅,50,1,7,9,16,0,1,1,2,1,6,3,22.9992346,120.1914018
2017/11/30,台南市,中西區,保安里,住宅,50,0,6,5,11,0,0,0,0,0,0,0,22.9917249,120.196813
2017/12/1,台南市,中西區,保安里,市場,50,0,7,0,7,0,0,0,0,0,0,0,22.9917249,120.196813
2017/12/1,台南市,中西區,大涼里,住宅,52,0,8,12,20,0,0,0,0,0,0,0,22.9923029,120.1892373
2017/12/1,台南市,中西區,天后里,住宅,53,0,5,14,19,0,0,0,0,0,0,0,22.9975318,120.2011417
2017/12/1,台南市,中西區,開山里,住宅,50,0,2,4,6,0,0,0,0,0,0,0,22.9876646,120.2097988
2017/12/1,台南市,中西區,水仙里,住宅,50,1,2,10,12,0,1,1,2,1,8,3,22.9963821,120.1986166
2017/11/27,台南市,安南區,鹿耳里,住宅,50,0,0,9,9,0,0,0,0,0,0,0,23.0295877,120.1329474
2017/11/27,台南市,安南區,海南里,住宅,53,1,4,5,9,0,1,1,2,1,11,4,23.0116011,120.1675902
2017/11/27,台南市,安南區,公塭里,住宅,51,0,1,25,26,0,0,0,0,0,0,0,23.0702508,120.1632603
2017/11/27,台南市,安南區,淵西里,住宅,50,1,4,17,21,0,1,1,2,1,5,2,23.0562175,120.1661469
2017/11/28,台南市,安南區,原佃里,住宅,52,0,1,6,7,0,0,0,0,0,0,0,23.0538947,120.1964522
2017/11/28,台南市,安南區,海東里,住宅,53,2,1,14,15,0,2,2,4,1,13,4,23.0412431,120.1863512
2017/11/28,台南市,安南區,長安里,住宅,50,3,0,24,24,0,4,4,8,2,17,5,23.0646352,120.1964522
2017/11/28,台南市,安南區,州北里,住宅,51,1,4,11,15,1,0,1,2,1,7,3,23.0674114,120.2152092
2017/11/29,台南市,安南區,東和里,住宅,54,2,0,17,17,0,2,2,4,1,12,4,23.0615247,120.2368486
2017/11/29,台南市,安南區,安東里,住宅,51,1,0,23,23,0,1,1,2,1,4,2,23.0372738,120.2180947
2017/11/29,台南市,安南區,安西里,住宅,51,2,0,21,21,0,4,4,8,2,19,5,23.0310345,120.2094381
2017/11/29,台南市,安南區,安順里,住宅,51,2,3,21,24,0,2,2,4,1,8,3,23.0500919,120.2209801
2017/11/30,台南市,安南區,淵東里,住宅,51,1,2,20,22,0,1,1,2,1,5,2,23.0564843,120.1776926
2017/11/30,台南市,安南區,大安里,住宅,50,0,2,11,13,0,0,0,0,0,0,0,23.0313733,120.1950093
2017/11/30,台南市,安南區,淵中里,住宅,50,0,0,24,24,0,0,0,0,0,0,0,23.0438296,120.1675902
2017/11/30,台南市,安南區,海南里,住宅,50,0,0,9,9,0,0,0,0,0,0,0,23.0116011,120.1675902
2017/11/30,台南市,安南區,溪東里,住宅,50,1,0,7,7,0,1,1,2,1,14,4,23.0253139,120.2015025
2017/11/30,台南市,安南區,布袋里,住宅,50,0,0,11,11,0,0,0,0,0,0,0,23.0638587,120.2065525
2017/11/30,台南市,安南區,幸福里,住宅,75,1,12,5,17,0,1,1,1,1,6,3,23.0210189,120.1899588
2017/12/1,台南市,安南區,安和里,住宅,52,0,8,3,11,0,0,0,0,0,0,0,23.0310818,120.218816
2017/12/1,台南市,安南區,鳳凰里,住宅,51,2,2,24,26,0,3,3,6,2,12,4,23.0417267,120.2000596
2017/12/1,台南市,安南區,頂安里,住宅,51,0,1,18,19,0,0,0,0,0,0,0,23.0394768,120.2043882
2017/12/1,台南市,安南區,溪北里,住宅,53,0,1,6,7,0,0,0,0,0,0,0,23.0255799,120.2130451
2017/12/1,台南市,安南區,塭南里,住宅,50,1,8,8,16,0,1,1,2,1,6,3,23.0715691,120.2209801
2017/12/1,台南市,安南區,安慶里,住宅,50,0,0,8,8,0,0,0,0,0,0,0,23.0390892,120.2094381
2017/12/1,台南市,安南區,原佃里,住宅,50,2,0,22,22,0,2,2,4,1,9,3,23.0538947,120.1964522
2017/12/1,台南市,安南區,總頭里,住宅,50,2,1,20,21,0,2,2,4,1,10,4,23.050434,120.2065525
2017/11/27,台南市,安平區,國平里,住宅,50,0,2,6,8,0,0,0,0,0,0,0,22.9793723,120.1675902
2017/11/27,台南市,安平區,建平里,住宅,50,0,9,9,18,0,0,0,0,0,0,0,22.9935103,120.1834651
2017/11/28,台南市,安平區,港仔里,住宅,50,0,7,9,16,0,0,0,0,0,0,0,22.999187,120.1643428
2017/11/28,台南市,安平區,育平里,住宅,50,0,8,5,13,0,0,0,0,0,0,0,22.989074,120.1661469
2017/11/29,台南市,安平區,西門里,住宅,50,1,8,7,15,0,1,1,2,1,7,3,23.0022304,120.1546002
2017/11/29,台南市,安平區,文平里,住宅,50,2,9,15,24,2,1,3,6,2,13,4,22.9860574,120.1805789
2017/11/30,台南市,安平區,華平里,住宅,50,1,12,5,17,0,1,1,2,1,6,3,22.9948005,120.1740847
2017/11/30,台南市,安平區,億載里,住宅,50,1,1,12,13,0,1,1,2,1,8,3,22.9902803,120.1603737
2017/12/1,台南市,安平區,漁光里,住宅,50,1,3,19,22,0,1,1,2,1,5,2,22.9801396,120.1574869
2017/12/1,台南市,安平區,金城里,住宅,50,2,9,16,25,0,2,2,4,1,8,3,22.9953785,120.1488264
2017/11/27,台南市,仁德區,大甲里,住宅,50,1,0,16,16,0,3,3,6,2,19,5,22.9225952,120.2079953
2017/11/27,台南市,仁德區,二行里,住宅,50,2,0,11,11,0,2,2,4,1,18,5,22.9212251,120.2209801
2017/11/28,台南市,仁德區,保安里,住宅,50,2,0,12,12,0,2,2,4,1,17,5,22.9231415,120.2310784
2017/11/28,台南市,仁德區,三甲里,住宅,50,0,0,4,4,0,0,0,0,0,0,0,22.9326731,120.2368486
2017/11/29,台南市,仁德區,土庫里,住宅,50,1,2,5,7,0,1,1,2,1,14,4,22.9856821,120.2656955
2017/11/29,台南市,仁德區,上崙里,住宅,50,4,0,14,14,0,4,4,8,2,29,7,22.9385802,120.2599266
2017/11/30,台南市,仁德區,新田里,住宅,51,2,0,22,22,0,2,2,4,1,9,3,22.9546843,120.2599266
2017/11/30,台南市,仁德區,成功里,住宅,75,0,3,8,11,0,0,0,0,0,0,0,22.9404559,120.225308
2017/11/30,台南市,仁德區,仁和里,住宅,50,0,5,16,21,0,0,0,0,0,0,0,22.9591394,120.224226
2017/12/1,台南市,仁德區,中生里,住宅,75,1,0,17,17,0,1,1,1,1,6,3,22.9099912,120.2426185
2017/12/1,台南市,仁德區,中洲里,住宅,75,1,0,14,14,0,2,2,3,1,14,4,22.9063718,120.2599266
2017/11/29,台南市,龍崎區,崎頂里,住宅,50,2,9,8,17,0,2,2,4,1,12,4,22.9688808,120.3839017
2017/11/27,台南市,永康區,復興里,住宅,50,0,4,5,9,0,0,0,0,0,0,0,22.9969297,120.2440609
2017/11/27,台南市,永康區,大灣里,住宅,50,1,2,8,10,0,2,2,4,1,20,5,23.0067641,120.2707431
2017/11/27,台南市,永康區,南灣里,住宅,50,0,0,8,8,0,0,0,0,0,0,0,22.9986674,120.2613689
2017/11/27,台南市,永康區,崑山里,住宅,50,1,0,9,9,0,1,1,2,1,11,4,22.9988384,120.2541575
2017/11/28,台南市,永康區,新樹里,住宅,50,1,2,8,10,1,0,1,2,1,10,4,23.0278443,120.2757905
2017/11/28,台南市,永康區,西勢里,住宅,50,1,0,14,14,0,1,1,2,1,7,3,23.0154649,120.2772325
2017/11/28,台南市,永康區,埔園里,住宅,50,0,2,5,7,0,0,0,0,0,0,0,23.0341644,120.2584844
2017/11/28,台南市,永康區,網寮里,住宅,50,0,1,4,5,0,0,0,0,0,0,0,23.0139035,120.2527152
2017/11/29,台南市,永康區,大橋里,住宅,50,1,3,12,15,0,1,1,2,1,7,3,23.0187454,120.2296358
2017/11/29,台南市,永康區,五王里,住宅,50,0,0,5,5,0,0,0,0,0,0,0,23.0116465,120.2346848
2017/11/29,台南市,永康區,王行里,住宅,50,0,0,7,7,0,0,0,0,0,0,0,23.042301,120.2772325
2017/11/29,台南市,永康區,三民里,住宅,50,0,0,18,18,0,0,0,0,0,0,0,23.0537318,120.2483881
2017/11/30,台南市,永康區,西橋里,住宅,50,1,1,7,8,0,1,1,2,1,13,4,23.0134614,120.2260293
2017/11/30,台南市,永康區,成功里,住宅,50,1,5,5,10,1,0,1,2,1,10,4,23.0032483,120.2379305
2017/11/30,台南市,永康區,復華里,住宅,50,1,0,9,9,0,1,1,2,1,11,4,23.0103511,120.2440609
