日期,台南市,區別,里別,調查種類,調查戶數,陽性戶數,調查容器戶內,調查容器戶外,調查容器合計,陽性容器戶內,陽性容器戶外,陽性容器合計,布氏指數,布氏級數,容器指數,容器級數,經度,緯度
106/1/23,台南市,東區,東光里,市場,50,0,11,0,11,0,0,0,0,0,0,0,120.2303571,22.99242
106/1/23,台南市,東區,文聖里,住宅,50,0,0,8,8,0,0,0,0,0,0,0,120.2447821,22.9840282
106/1/23,台南市,東區,裕聖里,住宅,50,0,0,7,7,0,0,0,0,0,0,0,120.2469457,22.9802195
106/1/23,台南市,東區,成大里,市場,50,0,11,0,11,0,0,0,0,0,0,0,120.2152092,22.9976069
106/1/24,台南市,東區,富強里,市場,50,0,5,0,5,0,0,0,0,0,0,0,120.2317997,22.9867487
106/1/24,台南市,東區,關聖里,住宅,50,0,0,7,7,0,0,0,0,0,0,0,120.2418972,22.985975
106/1/24,台南市,東區,大同里,住宅,50,0,8,4,12,0,0,0,0,0,0,0,120.2130451,22.9839645
106/1/24,台南市,東區,龍山里,住宅,50,0,0,4,4,0,0,0,0,0,0,0,120.2217014,22.9834946
106/1/25,台南市,東區,東智里,住宅,50,0,8,6,14,0,0,0,0,0,0,0,120.2267506,22.9629737
106/1/25,台南市,東區,和平里,住宅,50,0,1,4,5,0,0,0,0,0,0,0,120.2354061,22.9745842
106/1/25,台南市,東區,崇善里,住宅,50,0,11,6,17,0,0,0,0,0,0,0,120.2303571,22.9736282
106/1/25,台南市,東區,崇信里,住宅,50,0,11,9,20,0,0,0,0,0,0,0,120.227472,22.9809439
106/1/26,台南市,東區,東聖里,住宅,50,2,0,10,10,0,2,2,4,1,20,5,120.2346848,22.9861443
106/1/26,台南市,東區,東明里,住宅,50,0,1,13,14,0,0,0,0,0,0,0,120.227472,22.9916823
106/1/26,台南市,東區,莊敬里,住宅,50,1,11,6,17,2,0,2,4,1,12,4,120.232521,22.9966645
106/1/26,台南市,東區,東明里,住宅,50,0,7,2,9,0,0,0,0,0,0,0,120.227472,22.9916823
106/1/23,台南市,南區,明亮里,住宅,50,0,3,11,14,0,0,0,0,0,0,0,120.1928448,22.9693947
106/1/23,台南市,南區,新昌里,住宅,50,1,8,3,11,1,0,1,2,1,9,3,120.1957308,22.9835601
106/1/24,台南市,南區,喜東里,住宅,53,0,3,11,14,0,0,0,0,0,0,0,120.1906803,22.9423225
106/1/24,台南市,南區,文南里,住宅,51,1,4,8,12,0,1,1,2,1,8,3,120.1870727,22.9840282
106/1/25,台南市,南區,喜北里,住宅,51,0,1,8,9,0,0,0,0,0,0,0,120.1776926,22.9490628
106/1/25,台南市,南區,新生里,住宅,50,2,2,7,9,0,2,2,4,1,22,6,120.2116023,22.9775543
106/1/26,台南市,南區,荔宅里,住宅,50,0,4,11,15,0,0,0,0,0,0,0,120.1986166,22.9749009
106/1/23,台南市,北區,永祥里,住宅,50,0,2,1,3,0,0,0,0,0,0,0,120.2202587,23.0160134
106/1/23,台南市,北區,興南里,住宅,18,0,0,9,9,0,0,0,0,0,0,0,120.2087167,23.0036652
106/1/23,台南市,北區,大豐里,住宅,30,0,3,2,5,0,0,0,0,0,0,0,120.1921233,23.0078107
106/1/24,台南市,北區,裕民里,住宅,50,0,2,10,12,0,0,0,0,0,0,0,120.1960915,23.0026166
106/1/24,台南市,北區,文成里,住宅,50,0,5,6,11,0,0,0,0,0,0,0,120.1971737,23.0074248
106/1/25,台南市,北區,大和里,住宅,50,0,10,3,13,0,0,0,0,0,0,0,120.1914018,23.0153463
106/1/25,台南市,北區,大仁里,住宅,50,0,2,3,5,0,0,0,0,0,0,0,120.2148485,23.0074149
106/1/26,台南市,北區,振興里,市場,75,0,28,1,29,0,0,0,0,0,0,0,120.2217014,23.0063146
106/1/26,台南市,北區,和順里,住宅,75,0,3,3,6,0,0,0,0,0,0,0,120.2015025,23.0051759
106/1/25,台南市,北區,大山里,住宅,50,0,4,12,16,0,0,0,0,0,0,0,120.2134058,23.0090596
106/1/25,台南市,北區,成功里,市場,30,0,12,16,28,0,0,0,0,0,0,0,120.2094381,23.0202949
106/1/23,台南市,中西區,大涼里,住宅,50,0,0,6,6,0,0,0,0,0,0,0,120.1892373,22.9923029
106/1/23,台南市,中西區,水仙里,其他,50,0,1,14,15,0,0,0,0,0,0,0,120.1986166,22.9963821
106/1/24,台南市,中西區,元安里,住宅,50,0,3,3,6,0,0,0,0,0,0,0,120.1960915,22.9885194
