日期,台南市,區別,里別,調查種類,調查戶數,陽性戶數,調查容器戶內,調查容器戶外,調查容器合計,陽性容器戶內,陽性容器戶外,陽性容器合計,布氏指數,布氏級數,容器指數,容器級數,經度,緯度
106/2/6,台南市,東區,虎尾里,住宅,50,0,4,9,13,0,0,0,0,0,0,0,120.235984,22.97888
106/2/6,台南市,東區,東安里,住宅,50,0,34,9,43,0,0,0,0,0,0,0,120.2213407,22.9872616
106/2/6,台南市,東區,東門里,住宅,50,0,5,2,7,0,0,0,0,0,0,0,120.2144878,22.9890322
106/2/6,台南市,東區,中西里,住宅,50,0,4,4,8,0,0,0,0,0,0,0,120.2202587,22.9905086
106/2/7,台南市,東區,崇學里,住宅,50,0,3,2,5,0,0,0,0,0,0,0,120.2231441,22.9778231
106/2/7,台南市,東區,新東里,住宅,50,0,3,6,9,0,0,0,0,0,0,0,120.2249474,22.9865063
106/2/7,台南市,東區,裕農里,住宅,50,0,4,12,16,0,0,0,0,0,0,0,120.2289146,22.9886954
106/2/7,台南市,東區,德光里,住宅,50,0,4,11,15,0,0,0,0,0,0,0,120.2202587,22.981112
106/2/8,台南市,東區,崇明里,住宅,50,0,0,14,14,0,0,0,0,0,0,0,120.22063,22.969188
106/2/8,台南市,東區,大智里,住宅,50,0,4,3,7,0,0,0,0,0,0,0,120.2332423,22.962286
106/2/9,台南市,東區,東明里,住宅,50,0,2,3,5,0,0,0,0,0,0,0,120.227472,22.9916823
106/2/9,台南市,東區,成大里,學校,50,0,3,6,9,0,0,0,0,0,0,0,120.2152092,22.9976069
106/2/9,台南市,東區,自強里,住宅,50,0,1,4,5,0,0,0,0,0,0,0,120.2332423,22.9824198
106/2/10,台南市,東區,東聖里,住宅,50,0,4,14,18,0,0,0,0,0,0,0,120.2346848,22.9861443
106/2/10,台南市,東區,大同里,住宅,50,0,4,4,8,0,0,0,0,0,0,0,120.2130451,22.9839645
106/2/10,台南市,東區,忠孝里,住宅,50,0,4,6,10,0,0,0,0,0,0,0,120.218816,22.9773869
106/2/10,台南市,東區,仁和里,住宅,50,0,0,4,4,0,0,0,0,0,0,0,120.2357667,22.9701464
106/2/7,台南市,東區,大學里,住宅,50,0,2,8,10,0,0,0,0,0,0,0,120.2209801,22.9963981
106/2/10,台南市,東區,東光里,住宅,68,0,13,10,23,0,0,0,0,0,0,0,120.2303571,22.99242
106/2/11,台南市,東區,裕聖里,住宅,53,1,3,9,12,0,1,1,2,1,8,3,120.2469457,22.9802195
106/2/3,台南市,南區,郡南里,住宅,50,0,0,7,7,0,0,0,0,0,0,0,120.1950093,22.964243
106/2/6,台南市,南區,南都里,住宅,50,0,4,4,8,0,0,0,0,0,0,0,120.1841866,22.9550918
106/2/7,台南市,南區,金華里,住宅,50,0,1,0,1,0,0,0,0,0,0,0,120.1885158,22.9796984
106/2/7,台南市,南區,明亮里,住宅,50,0,0,0,0,0,0,0,0,0,0,0,120.1928448,22.9693947
106/2/7,台南市,南區,新興里,住宅,51,0,2,10,12,0,0,0,0,0,0,0,120.19537,22.9799434
106/2/7,台南市,南區,光明里,住宅,50,0,2,19,21,0,0,0,0,0,0,0,120.1870727,22.971944
106/2/8,台南市,南區,田寮里,住宅,50,0,4,6,10,0,0,0,0,0,0,0,120.1957308,22.976847
106/2/8,台南市,南區,開南里,住宅,51,0,2,15,17,0,0,0,0,0,0,0,120.1856297,22.9668748
106/2/9,台南市,南區,明德里,住宅,51,0,1,8,9,0,0,0,0,0,0,0,120.200781,22.9710918
106/2/9,台南市,南區,廣州里,住宅,50,0,2,6,8,0,0,0,0,0,0,0,120.1928448,22.9841637
106/2/10,台南市,南區,永寧里,住宅,53,1,3,13,16,0,1,1,2,1,6,3,120.1798573,22.9291405
106/2/10,台南市,南區,興農里,住宅,50,1,0,11,11,0,2,2,4,1,18,5,120.1921233,22.9299372
106/2/6,台南市,北區,國興里,住宅,51,0,1,4,5,0,0,0,0,0,0,0,120.2260293,23.0094345
106/2/6,台南市,北區,和順里,住宅,50,0,2,4,6,0,0,0,0,0,0,0,120.2015025,23.0051759
106/2/6,台南市,北區,華興里,住宅,50,0,4,9,13,0,0,0,0,0,0,0,120.2249474,23.0073122
106/2/6,台南市,北區,華興里,住宅,50,1,5,11,16,0,1,1,2,1,6,3,120.2249474,23.0073122
106/2/7,台南市,北區,公園里,住宅,50,0,1,6,7,0,0,0,0,0,0,0,120.2101595,23.0006781
106/2/7,台南市,北區,實踐里,住宅,50,1,3,8,11,0,1,1,2,1,9,3,120.2170126,23.0136734
106/2/7,台南市,北區,力行里,住宅,50,1,6,14,20,0,1,1,2,1,5,2,120.2292752,23.0084185
106/2/7,台南市,北區,大豐里,住宅,50,0,4,14,18,0,0,0,0,0,0,0,120.1921233,23.0078107
106/2/8,台南市,北區,光武里,住宅,50,0,5,13,18,0,0,0,0,0,0,0,120.2162913,23.0124822
106/2/8,台南市,北區,新勝里,住宅,50,1,5,13,18,0,1,1,2,1,6,3,120.2213407,23.0094105
106/2/8,台南市,北區,小康里,住宅,50,0,2,11,13,0,0,0,0,0,0,0,120.2173733,23.0152758
106/2/8,台南市,北區,安民里,住宅,50,0,3,7,10,0,0,0,0,0,0,0,120.2000596,23.0014504
106/2/9,台南市,北區,大港里,住宅,75,0,9,16,25,0,0,0,0,0,0,0,120.1827435,23.0104452
106/2/9,台南市,北區,賢北里,住宅,75,0,5,15,20,0,0,0,0,0,0,0,120.1813004,23.006719
106/2/10,台南市,北區,東興里,住宅,50,0,6,12,18,0,0,0,0,0,0,0,120.2260293,23.0013807
106/2/10,台南市,北區,長榮里,住宅,50,0,6,10,16,0,0,0,0,0,0,0,120.2191767,23.0091928
106/2/10,台南市,北區,五福里,住宅,50,0,3,7,10,0,0,0,0,0,0,0,120.2033061,23.0004351
106/2/10,台南市,北區,華興里,住宅,50,0,3,6,9,0,0,0,0,0,0,0,120.2249474,23.0073122
106/2/6,台南市,中西區,福安里,住宅,50,0,1,3,4,0,0,0,0,0,0,0,120.1996988,22.991121
106/2/6,台南市,中西區,協和里,住宅,50,0,2,2,4,0,0,0,0,0,0,0,120.1928448,23.0016179
106/2/7,台南市,中西區,光賢里,住宅,50,0,0,6,6,0,0,0,0,0,14,4,120.1885158,23.0038665
106/2/7,台南市,中西區,法華里,住宅,50,0,2,4,6,0,0,0,0,0,0,0,120.2097988,22.9822947
106/2/6,台南市,中西區,福安里,其他,50,0,2,6,8,0,0,0,0,0,0,0,120.1996988,22.991121
106/2/6,台南市,中西區,協和里,住宅,50,0,7,6,13,0,0,0,0,0,0,0,120.1928448,23.0016179
106/2/7,台南市,中西區,法華里,住宅,50,0,3,9,12,0,0,0,0,0,0,0,120.2097988,22.9822947
106/2/7,台南市,中西區,光賢里,住宅,50,1,0,7,7,0,1,1,2,1,14,4,120.1885158,23.0038665
106/2/8,台南市,中西區,大南里,住宅,50,0,1,5,6,0,0,0,0,0,0,0,120.2029453,22.9847358
106/2/9,台南市,中西區,西賢里,住宅,50,0,2,12,14,0,0,0,0,0,0,0,120.1719199,23.0039814
106/2/10,台南市,中西區,郡西里,住宅,50,0,1,13,14,0,0,0,0,0,0,0,120.1939271,22.9889722
106/2/12,台南市,中西區,西賢里,住宅,50,0,0,2,2,0,0,0,0,0,0,0,120.1719199,23.0039814
106/2/10,台南市,中西區,郡西里,住宅,51,0,1,12,13,0,0,0,0,0,0,0,120.1939271,22.9889722
106/2/6,台南市,安南區,東和里,住宅,50,0,1,12,13,0,0,0,0,0,0,0,120.2368486,23.0615247
106/2/6,台南市,安南區,塭南里,住宅,50,0,4,8,12,0,0,0,0,0,0,0,120.2209801,23.0715691
106/2/7,台南市,安南區,州北里,住宅,50,0,6,8,14,0,0,0,0,0,0,0,120.2152092,23.0674114
106/2/7,台南市,安南區,東和里,住宅,50,0,0,5,5,0,0,0,0,0,0,0,120.2368486,23.0615247
106/2/8,台南市,安南區,公親里,住宅,50,1,0,9,9,0,1,1,2,1,11,4,120.1978952,23.0764154
106/2/8,台南市,安南區,長安里,住宅,50,2,0,18,18,0,2,2,4,1,11,4,120.1964522,23.0646352
106/2/9,台南市,安南區,梅花里,住宅,50,0,4,4,8,0,0,0,0,0,0,0,120.1978952,23.038824
106/2/9,台南市,安南區,鳳凰里,住宅,50,0,0,5,5,0,0,0,0,0,0,0,120.2000596,23.0417267
106/2/6,台南市,安平區,怡平里,住宅,50,0,4,7,11,0,0,0,0,0,0,0,120.176971,22.994197
106/2/7,台南市,安平區,華平里,住宅,50,0,3,13,16,0,0,0,0,0,0,0,120.1740847,22.9948005
106/2/8,台南市,安平區,港仔里,住宅,50,0,10,7,17,0,0,0,0,0,0,0,120.1643428,22.999187
106/2/9,台南市,安平區,金城里,住宅,50,0,3,5,8,0,0,0,0,0,0,0,120.1488264,22.9953785
106/2/9,台南市,安平區,金城里,住宅,50,0,5,7,12,0,0,0,0,0,0,0,120.1488264,22.9953785
106/2/10,台南市,安平區,西門里,住宅,50,0,1,5,6,0,0,0,0,0,0,0,120.1546002,23.0022304
106/2/10,台南市,安平區,西門里,住宅,50,0,5,5,10,0,0,0,0,0,0,0,120.1546002,23.0022304
106/2/7,台南市,歸仁區,看東里,住宅,50,0,0,20,20,0,0,0,0,0,0,0,120.3118375,22.9545308
106/2/6,台南市,永康區,光復里,住宅,75,0,8,10,18,0,0,0,0,0,0,0,120.2444215,22.9998739
106/2/6,台南市,永康區,復國里,住宅,75,0,4,4,8,0,0,0,0,0,0,0,120.2473063,23.0059794
106/2/7,台南市,永康區,大灣里,住宅,50,0,4,7,11,0,0,0,0,0,0,0,120.2707431,23.0067641
106/2/7,台南市,永康區,北灣里,住宅,50,0,2,9,11,0,0,0,0,0,0,0,120.270022,23.012954
106/2/7,台南市,永康區,三民里,住宅,50,0,3,6,9,0,0,0,0,0,0,0,120.2483881,23.0537318
106/2/7,台南市,永康區,蔦松里,住宅,51,1,8,2,10,1,0,1,2,1,10,4,120.2555998,23.0455063
106/2/8,台南市,永康區,正強里,住宅,50,0,0,6,6,0,0,0,0,0,0,0,120.251994,23.0294884
106/2/8,台南市,永康區,東橋里,住宅,50,0,1,3,4,0,0,0,0,0,0,0,120.241176,23.0243778
106/2/8,台南市,永康區,甲頂里,住宅,50,0,3,4,7,0,0,0,0,0,0,0,120.2152092,23.0217702
106/2/8,台南市,永康區,尚頂里,住宅,50,0,7,6,13,0,0,0,0,0,0,0,120.225308,23.0263645
106/2/9,台南市,永康區,復華里,住宅,52,0,4,2,6,0,0,0,0,0,0,0,120.2440609,23.0103511
106/2/9,台南市,永康區,二王里,住宅,50,0,1,7,8,0,0,0,0,0,0,0,120.2469457,23.0177985
106/2/9,台南市,永康區,西勢里,住宅,50,0,3,5,8,0,0,0,0,0,0,0,120.2772325,23.0154649
106/2/9,台南市,永康區,新樹里,住宅,50,0,2,7,9,0,0,0,0,0,0,0,120.2757905,23.0278443
106/2/10,台南市,永康區,永康里,住宅,75,0,4,11,15,0,0,0,0,0,0,0,120.2584844,23.0234285
106/2/10,台南市,永康區,安康里,住宅,75,0,1,6,7,0,0,0,0,0,0,0,120.227472,23.0158435
106/2/10,台南市,善化區,南關里,住宅,50,0,41,7,48,0,0,0,0,0,0,0,120.2772325,23.1174403
106/2/6,台南市,山上區,山上里,住宅,50,0,0,1,1,0,0,0,0,0,0,0,120.356397,23.101985
106/2/10,台南市,楠西區,東勢里,住宅,50,0,0,6,6,0,0,0,0,0,0,0,120.4904831,23.1795018
106/2/6,台南市,麻豆區,麻口里,住宅,55,0,4,21,25,0,0,0,0,0,0,0,120.2195374,23.1779137
106/2/11,台南市,麻豆區,巷口里,住宅,60,0,0,2,2,0,0,0,0,0,0,0,120.2498305,23.1782361
