"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1007.3","1010.4","1009.1","2018-06-01 22:56","1005.6","2018-06-01 15:08","30.2","34.0","2018-06-01 10:41","26.6","2018-06-01 23:57","23.6","69","55","2018-06-01 11:32","3.5","350","10.2","290","2018-06-01 13:19","0.0","0.0","0.0","...","0.0","...","8.2","61.2","23.20","12.9","...","...","...","4.9"
"02","1007.4","1010.5","1008.7","2018-06-02 00:16","1005.9","2018-06-02 15:51","29.2","34.2","2018-06-02 12:25","25.6","2018-06-02 04:05","22.4","68","54","2018-06-02 13:28","2.6","360","9.2","280","2018-06-02 14:49","0.0","0.0","0.0","...","0.0","...","11.4","85.0","27.68","7.6","...","...","...","3.5"
"03","1006.0","1009.1","1007.9","2018-06-03 00:01","1003.6","2018-06-03 16:39","30.2","34.9","2018-06-03 11:14","26.4","2018-06-03 03:55","22.2","63","47","2018-06-03 11:14","2.6","350","9.8","310","2018-06-03 15:13","0.0","0.0","0.0","...","0.0","...","11.8","87.9","27.72","8.5","...","...","...","4.5"
"04","1006.2","1009.3","1008.1","2018-06-04 22:08","1004.6","2018-06-04 15:10","30.5","34.8","2018-06-04 11:55","28.3","2018-06-04 05:00","23.4","66","53","2018-06-04 12:23","2.0","110","9.0","90","2018-06-04 18:15","0.0","0.0","0.0","...","0.0","...","11.2","83.4","27.15","11.5","...","...","...","4.1"
"05","1006.7","1009.7","1008.2","2018-06-05 21:49","1005.2","2018-06-05 15:58","30.7","35.2","2018-06-05 11:49","28.2","2018-06-05 05:41","24.0","68","50","2018-06-05 12:08","2.7","210","10.0","240","2018-06-05 15:02","0.0","0.0","0.0","...","0.0","...","11.0","81.8","26.49","17.3","...","...","...","5.3"
"06","1005.9","1009.0","1007.3","2018-06-06 00:05","1004.1","2018-06-06 16:15","30.5","34.5","2018-06-06 09:39","26.2","2018-06-06 19:12","24.0","69","51","2018-06-06 09:30","1.9","230","11.9","50","2018-06-06 18:59","23.0","0.8","13.5","2018-06-06 19:02","23.0","2018-06-06 18:50","11.2","83.3","27.39","18.0","...","...","...","7.1"
"07","1004.4","1007.4","1005.9","2018-06-07 00:01","1002.2","2018-06-07 15:27","30.3","33.9","2018-06-07 13:01","27.7","2018-06-07 03:48","23.8","69","59","2018-06-07 14:17","2.1","40","9.6","340","2018-06-07 15:51","0.0","0.0","0.0","...","0.0","...","8.8","65.4","25.10","10.1","...","...","...","5.6"
"08","1000.8","1003.8","1003.8","2018-06-08 00:01","998.7","2018-06-08 15:42","30.2","33.4","2018-06-08 13:43","27.7","2018-06-08 04:18","23.6","68","57","2018-06-08 15:38","2.2","330","8.6","280","2018-06-08 16:11","0.0","0.0","0.0","...","0.0","...","10.4","77.2","25.79","9.4","...","...","...","5.1"
"09","998.2","1001.2","999.4","2018-06-09 00:01","996.0","2018-06-09 15:01","30.7","34.7","2018-06-09 13:44","28.4","2018-06-09 00:55","24.6","70","57","2018-06-09 15:20","1.9","280","8.0","260","2018-06-09 16:14","0.0","0.0","0.0","...","0.0","...","9.9","73.5","27.59","12.8","...","...","...","5.0"
"10","997.6","1000.6","998.8","2018-06-10 00:01","995.9","2018-06-10 15:59","30.8","34.2","2018-06-10 10:28","27.3","2018-06-10 23:37","24.6","70","56","2018-06-10 10:28","2.8","180","9.4","180","2018-06-10 13:55","11.0","0.7","5.0","2018-06-10 23:20","11.0","2018-06-10 23:07","9.3","69.0","24.14","13.0","...","...","...","6.4"
