"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1005.4","1008.4","1007.1","2019-09-01 23:08","1004.1","2019-09-01 03:03","29.6","33.9","2019-09-01 13:17","26.4","2019-09-01 17:35","24.2","73","59","2019-09-01 13:12","1.7","130","18.1","30","2019-09-01 17:26","0.0","0.0","0.0","...","0.0","...","5.1","40.7","17.93","13.4","...","...","...","6.3"
"02","1005.9","1008.9","1007.5","2019-09-02 09:10","1003.4","2019-09-02 16:06","30.2","33.8","2019-09-02 10:33","27.1","2019-09-02 03:07","24.2","71","57","2019-09-02 12:34","1.8","280","8.2","290","2019-09-02 15:36","0.0","0.0","0.0","...","0.0","...","10.7","85.6","25.97","14.6","...","...","...","3.2"
"03","1003.7","1006.7","1005.7","2019-09-03 00:06","1001.8","2019-09-03 14:33","29.0","33.0","2019-09-03 11:52","26.1","2019-09-03 18:51","24.1","75","59","2019-09-03 13:38","2.0","110","7.8","230","2019-09-03 14:31","7.5","2.1","1.5","2019-09-03 17:17","5.5","2019-09-03 17:02","6.6","52.9","20.07","9.8","...","...","...","7.2"
"04","1002.8","1005.9","1005.1","2019-09-04 10:03","1001.3","2019-09-04 15:00","27.5","31.1","2019-09-04 15:24","25.0","2019-09-04 08:58","24.0","82","71","2019-09-04 15:50","1.5","70","6.4","310","2019-09-04 17:14","82.0","3.7","14.0","2019-09-04 08:09","60.0","2019-09-04 07:45","2.5","20.1","9.18","13.9","...","...","...","8.6"
"05","1000.4","1003.4","1002.0","2019-09-05 00:01","998.8","2019-09-05 15:44","28.8","32.1","2019-09-05 10:50","26.1","2019-09-05 04:08","23.7","74","63","2019-09-05 11:23","1.8","230","6.8","210","2019-09-05 14:32","0.0","0.0","0.0","...","0.0","...","5.7","45.8","19.94","15.8","...","...","...","7.6"
"06","999.4","1002.4","1001.5","2019-09-06 21:30","997.6","2019-09-06 12:57","28.0","33.5","2019-09-06 12:57","26.0","2019-09-06 21:26","23.9","79","63","2019-09-06 12:37","3.0","100","9.5","200","2019-09-06 14:39","6.5","1.8","4.0","2019-09-06 16:06","6.0","2019-09-06 16:04","2.9","23.4","15.71","13.5","...","...","...","8.2"
"07","1001.6","1004.7","1004.0","2019-09-07 22:15","999.7","2019-09-07 03:08","29.1","32.8","2019-09-07 14:10","26.1","2019-09-07 00:47","23.8","74","62","2019-09-07 13:21","1.7","270","6.7","100","2019-09-07 00:37","0.0","0.0","0.0","...","0.0","...","6.9","55.7","19.75","16.5","...","...","...","7.0"
"08","1002.8","1005.9","1004.4","2019-09-08 21:02","1001.1","2019-09-08 14:50","29.8","33.7","2019-09-08 12:09","27.3","2019-09-08 05:17","23.7","70","58","2019-09-08 12:09","2.0","100","7.3","260","2019-09-08 13:54","0.0","0.0","0.0","...","0.0","...","9.6","77.6","24.07","18.1","...","...","...","5.3"
"09","1003.9","1007.0","1006.1","2019-09-09 21:57","1002.1","2019-09-09 14:59","29.8","33.7","2019-09-09 13:30","27.0","2019-09-09 05:41","23.8","71","58","2019-09-09 13:26","2.2","290","7.4","300","2019-09-09 15:04","T","0.3","T","2019-09-09 21:10","T","2019-09-09 21:02","7.9","64.0","20.35","16.1","...","...","...","5.8"
"10","1007.1","1010.2","1009.7","2019-09-10 23:09","1004.9","2019-09-10 02:00","26.9","32.0","2019-09-10 11:18","24.7","2019-09-10 01:20","23.6","83","67","2019-09-10 11:59","1.6","120","9.4","170","2019-09-10 01:13","78.0","5.9","15.0","2019-09-10 00:48","48.0","2019-09-10 00:40","1.2","9.7","9.06","9.8","...","...","...","8.1"
"11","1008.2","1011.3","1009.8","2019-09-11 08:28","1006.4","2019-09-11 15:21","29.3","33.1","2019-09-11 11:16","25.4","2019-09-11 04:55","23.5","72","57","2019-09-11 15:07","1.6","70","6.3","210","2019-09-11 14:01","0.0","0.0","0.0","...","0.0","...","10.6","86.2","24.60","12.1","...","...","...","2.4"
"12","1005.9","1009.0","1008.0","2019-09-12 00:06","1004.1","2019-09-12 14:54","30.0","33.0","2019-09-12 11:40","27.4","2019-09-12 04:40","24.4","72","61","2019-09-12 10:21","2.1","280","7.7","280","2019-09-12 14:43","0.0","0.0","0.0","...","0.0","...","9.1","74.1","21.06","11.4","...","...","...","4.3"
"13","1004.6","1007.6","1005.9","2019-09-13 09:11","1003.0","2019-09-13 14:50","30.0","33.1","2019-09-13 13:24","27.9","2019-09-13 04:33","24.3","72","61","2019-09-13 13:24","2.4","140","6.8","290","2019-09-13 14:25","0.0","0.0","0.0","...","0.0","...","7.1","57.9","19.59","8.0","...","...","...","4.6"
"14","1004.3","1007.4","1006.2","2019-09-14 22:31","1002.8","2019-09-14 14:48","29.8","33.0","2019-09-14 11:18","27.3","2019-09-14 23:55","24.6","74","60","2019-09-14 13:30","2.3","150","9.1","320","2019-09-14 13:53","1.5","2.1","0.5","2019-09-14 03:11","0.5","2019-09-14 03:07","4.9","40.1","16.79","8.0","...","...","...","7.5"
"15","1004.3","1007.4","1005.7","2019-09-15 08:45","1002.5","2019-09-15 15:26","28.8","31.9","2019-09-15 15:07","26.6","2019-09-15 03:29","23.9","75","63","2019-09-15 15:07","2.5","90","11.2","270","2019-09-15 15:51","3.0","0.3","2.0","2019-09-15 03:17","3.0","2019-09-15 03:46","3.4","27.9","15.45","10.9","...","...","...","7.9"
"16","1003.4","1006.5","1004.5","2019-09-16 09:55","1002.3","2019-09-16 14:15","28.7","33.4","2019-09-16 13:38","26.5","2019-09-16 03:34","23.8","75","60","2019-09-16 13:37","2.2","120","7.6","180","2019-09-16 00:50","0.5","0.8","0.5","2019-09-16 15:29","0.5","2019-09-16 14:39","1.7","14.0","12.13","10.3","...","...","...","7.5"
"17","1004.4","1007.5","1006.2","2019-09-17 21:54","1003.0","2019-09-17 04:11","29.1","33.0","2019-09-17 15:27","26.4","2019-09-17 07:01","23.1","71","58","2019-09-17 15:27","2.0","350","6.3","350","2019-09-17 18:28","0.0","0.0","0.0","...","0.0","...","3.1","25.5","12.42","9.1","...","...","...","7.6"
"18","1005.2","1008.3","1006.8","2019-09-18 21:12","1003.3","2019-09-18 14:45","28.4","32.9","2019-09-18 14:26","25.1","2019-09-18 06:16","21.4","66","55","2019-09-18 13:54","3.1","360","11.2","350","2019-09-18 16:06","0.0","0.0","0.0","...","0.0","...","4.0","33.0","15.10","9.6","...","...","...","7.0"
"19","1005.0","1008.0","1006.5","2019-09-19 08:10","1003.1","2019-09-19 15:33","27.4","32.4","2019-09-19 13:29","24.5","2019-09-19 06:04","20.0","64","53","2019-09-19 13:29","4.2","340","11.8","350","2019-09-19 17:18","0.0","0.0","0.0","...","0.0","...","8.3","68.5","18.61","9.9","...","...","...","5.8"
"20","1001.5","1004.6","1004.2","2019-09-20 00:01","999.7","2019-09-20 15:10","26.1","30.2","2019-09-20 11:44","23.7","2019-09-20 03:22","19.7","68","58","2019-09-20 12:23","6.0","350","18.4","360","2019-09-20 16:48","0.0","0.0","0.0","...","0.0","...","8.8","72.8","22.25","10.5","...","...","...","3.2"
"21","1001.6","1004.7","1005.3","2019-09-21 23:09","998.8","2019-09-21 03:11","26.3","30.0","2019-09-21 12:50","23.9","2019-09-21 06:07","18.2","61","50","2019-09-21 12:48","6.9","350","18.6","350","2019-09-21 08:48","0.0","0.0","0.0","...","0.0","...","9.5","78.7","23.19","15.6","...","...","...","4.3"
"22","1008.1","1011.2","1011.7","2019-09-22 21:16","1004.5","2019-09-22 01:00","27.4","31.4","2019-09-22 11:16","24.3","2019-09-22 00:01","19.8","64","51","2019-09-22 11:14","3.8","350","10.8","340","2019-09-22 08:54","0.0","0.0","0.0","...","0.0","...","9.6","79.7","23.17","14.3","...","...","...","4.2"
"23","1012.4","1015.5","1014.4","2019-09-23 21:00","1010.5","2019-09-23 03:12","26.9","32.6","2019-09-23 13:56","23.5","2019-09-23 04:19","19.5","65","47","2019-09-23 13:42","3.5","340","9.6","310","2019-09-23 15:03","0.0","0.0","0.0","...","0.0","...","7.8","64.9","20.37","11.9","...","...","...","4.5"
