"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1016.3","1019.5","1018.2","2016-02-01 22:32","1014.1","2016-02-01 14:01","16.6","20.6","2016-02-01 12:53","13.0","2016-02-01 22:58","13.3","81","68","2016-02-01 14:30","6.1","30","16.4","40","2016-02-01 18:13","0.0","0.0","0.0","...","0.0","...","5.2","47.0","14.39","6.1","...","...","...","8.0"
"02","1018.1","1021.3","1019.8","2016-02-02 09:19","1016.6","2016-02-02 15:02","14.1","16.3","2016-02-02 13:17","12.7","2016-02-02 07:08","10.9","82","75","2016-02-02 16:32","4.7","40","12.6","20","2016-02-02 06:47","0.0","0.0","0.0","...","0.0","...","0.0","0.0","5.82","5.9","...","...","...","9.5"
"03","1018.5","1021.7","1019.7","2016-02-03 09:38","1016.6","2016-02-03 15:00","15.6","19.6","2016-02-03 12:01","12.8","2016-02-03 06:15","12.2","81","70","2016-02-03 13:07","4.2","40","10.8","50","2016-02-03 14:25","0.0","0.0","0.0","...","0.0","...","5.4","48.7","13.80","5.1","...","...","...","4.9"
"04","1016.6","1019.8","1019.2","2016-02-04 08:35","1014.1","2016-02-04 15:39","16.8","20.8","2016-02-04 14:19","14.5","2016-02-04 00:08","14.1","85","73","2016-02-04 14:14","5.1","40","12.6","50","2016-02-04 03:28","T","0.1","T","2016-02-04 07:18","T","2016-02-04 07:18","6.6","59.4","15.88","3.3","...","...","...","7.6"
"05","1014.8","1018.0","1016.5","2016-02-05 09:21","1011.0","2016-02-05 15:48","15.7","20.3","2016-02-05 14:43","13.7","2016-02-05 20:03","13.0","85","68","2016-02-05 14:38","6.0","30","20.2","60","2016-02-05 17:51","5.5","4.3","1.0","2016-02-05 01:26","3.0","2016-02-05 01:26","4.9","44.0","11.76","3.3","...","...","...","8.3"
"06","1018.0","1021.3","1021.4","2016-02-06 21:05","1015.2","2016-02-06 00:14","12.8","15.6","2016-02-06 13:20","10.0","2016-02-06 23:23","5.7","62","49","2016-02-06 23:49","8.0","40","20.0","20","2016-02-06 16:07","0.0","0.0","0.0","...","0.0","...","4.7","42.2","10.24","3.8","...","...","...","4.6"
"07","1020.7","1024.0","1022.6","2016-02-07 21:37","1018.0","2016-02-07 14:12","12.6","18.7","2016-02-07 13:56","9.0","2016-02-07 06:28","4.1","57","45","2016-02-07 12:37","5.0","40","13.3","40","2016-02-07 01:17","0.0","0.0","0.0","...","0.0","...","10.2","91.4","16.84","5.9","...","...","...","0.0"
"08","1020.2","1023.4","1022.4","2016-02-08 09:31","1017.9","2016-02-08 14:48","14.4","20.6","2016-02-08 13:58","9.2","2016-02-08 03:36","3.6","51","26","2016-02-08 10:37","3.6","60","12.3","90","2016-02-08 09:32","0.0","0.0","0.0","...","0.0","...","10.5","93.9","18.45","10.0","...","...","...","0.0"
"09","1018.5","1021.8","1021.0","2016-02-09 09:57","1017.2","2016-02-09 23:31","16.4","22.5","2016-02-09 12:56","12.0","2016-02-09 04:40","8.8","62","39","2016-02-09 14:08","1.9","80","7.7","50","2016-02-09 14:45","0.0","0.0","0.0","...","0.0","...","10.4","92.8","17.43","9.9","...","...","...","1.6"
"10","1015.4","1018.6","1017.6","2016-02-10 08:54","1013.2","2016-02-10 23:55","17.8","22.2","2016-02-10 15:24","13.0","2016-02-10 03:00","11.1","66","38","2016-02-10 16:04","1.7","80","5.8","120","2016-02-10 07:07","0.0","0.0","0.0","...","0.0","...","0.0","0.0","7.16","7.6","...","...","...","7.8"
