"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1012.9","1016.1","1014.5","2017-12-01 21:30","1011.5","2017-12-01 03:42","22.0","26.2","2017-12-01 13:09","20.1","2017-12-01 05:55","16.9","74","59","2017-12-01 12:27","4.2","350","10.4","350","2017-12-01 04:32","0.0","0.0","0.0","...","0.0","...","3.7","34.4","11.71","8.6","...","5","2017-12-01 11:00","6.6"
"02","1013.3","1016.4","1014.9","2017-12-02 08:12","1011.6","2017-12-02 14:09","21.7","25.8","2017-12-02 13:45","19.6","2017-12-02 02:47","17.3","76","64","2017-12-02 14:01","3.9","350","10.9","340","2017-12-02 20:18","0.0","0.0","0.0","...","0.0","...","1.0","9.3","10.71","7.8","...","4","2017-12-02 13:00","6.8"
"03","1012.1","1015.3","1014.1","2017-12-03 08:35","1009.7","2017-12-03 15:02","21.9","26.5","2017-12-03 14:42","19.8","2017-12-03 04:43","17.9","78","65","2017-12-03 14:41","3.9","350","10.6","360","2017-12-03 23:31","0.0","0.0","0.0","...","0.0","...","0.4","3.7","8.80","6.4","...","3","2017-12-03 12:00","7.5"
"04","1012.6","1015.8","1013.9","2017-12-04 08:06","1010.7","2017-12-04 14:17","20.8","25.6","2017-12-04 12:47","17.8","2017-12-04 23:54","15.2","71","55","2017-12-04 14:34","4.3","350","11.9","330","2017-12-04 13:02","0.0","0.0","0.0","...","0.0","...","9.7","90.3","16.39","9.8","...","5","2017-12-04 12:00","1.1"
"05","1014.7","1017.9","1017.4","2017-12-05 08:21","1013.0","2017-12-05 16:30","19.2","23.8","2017-12-05 13:45","15.8","2017-12-05 23:44","12.0","64","50","2017-12-05 13:44","4.1","350","10.6","350","2017-12-05 13:56","0.0","0.0","0.0","...","0.0","...","8.3","77.3","15.37","5.8","...","5","2017-12-05 12:00","2.8"
"06","1014.3","1017.5","1015.6","2017-12-06 09:10","1013.0","2017-12-06 02:48","18.3","22.5","2017-12-06 12:42","15.2","2017-12-06 06:01","12.4","69","58","2017-12-06 11:35","3.5","360","11.1","360","2017-12-06 14:15","0.0","0.0","0.0","...","0.0","...","2.5","23.3","10.42","6.0","...","4","2017-12-06 12:00","8.1"
"07","1013.0","1016.2","1014.3","2017-12-07 00:34","1010.8","2017-12-07 14:47","19.8","25.3","2017-12-07 12:16","16.5","2017-12-07 06:15","14.6","73","51","2017-12-07 12:16","4.4","360","11.6","300","2017-12-07 12:22","0.0","0.0","0.0","...","0.0","...","7.5","70.0","15.22","9.8","...","6","2017-12-07 12:00","6.9"
"08","1014.6","1017.8","1016.2","2017-12-08 09:13","1012.9","2017-12-08 14:46","15.6","18.6","2017-12-08 00:01","13.5","2017-12-08 21:30","11.5","77","62","2017-12-08 15:33","5.9","20","15.3","360","2017-12-08 03:35","1.0","3.9","0.5","2017-12-08 09:16","1.0","2017-12-08 08:55","0.0","0.0","3.74","6.6","...","2","2017-12-08 12:00","9.5"
"09","1014.6","1017.8","1016.5","2017-12-09 10:44","1012.7","2017-12-09 14:36","15.6","19.1","2017-12-09 14:38","13.2","2017-12-09 05:03","12.0","79","68","2017-12-09 15:21","3.0","20","8.6","20","2017-12-09 15:58","0.5","0.9","0.5","2017-12-09 11:32","0.5","2017-12-09 11:15","1.8","16.8","6.45","6.4","...","3","2017-12-09 14:00","6.5"
"10","1013.7","1016.9","1015.4","2017-12-10 08:50","1012.2","2017-12-10 14:15","18.0","22.8","2017-12-10 12:26","14.6","2017-12-10 02:22","14.2","79","62","2017-12-10 12:19","3.6","10","10.6","20","2017-12-10 14:35","0.0","0.0","0.0","...","0.0","...","9.6","89.7","15.75","4.6","...","5","2017-12-10 12:00","2.6"
