"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1015.0","1018.2","1017.0","2017-04-01 21:11","1012.3","2017-04-01 05:29","18.5","23.4","2017-04-01 14:55","14.9","2017-04-01 03:13","11.3","64","48","2017-04-01 17:32","5.7","20","21.7","20","2017-04-01 00:58","1.0","1.9","0.5","2017-04-01 04:43","1.0","2017-04-01 04:13","4.4","35.7","15.89","8.8","...","...","...","7.0"
"02","1017.7","1020.9","1019.2","2017-04-02 09:13","1016.1","2017-04-02 15:50","20.3","25.2","2017-04-02 12:36","15.8","2017-04-02 06:31","7.5","44","33","2017-04-02 13:09","3.0","30","8.9","40","2017-04-02 03:52","0.0","0.0","0.0","...","0.0","...","10.9","88.4","22.79","7.1","...","...","...","0.0"
"03","1017.9","1021.1","1019.5","2017-04-03 09:22","1016.5","2017-04-03 14:20","21.7","25.9","2017-04-03 12:12","17.7","2017-04-03 05:28","11.4","52","39","2017-04-03 11:50","2.4","140","10.1","270","2017-04-03 15:12","0.0","0.0","0.0","...","0.0","...","11.0","89.0","23.20","10.0","...","...","...","1.5"
"04","1016.1","1019.3","1018.4","2017-04-04 00:01","1013.8","2017-04-04 15:51","22.5","26.2","2017-04-04 12:16","19.0","2017-04-04 04:57","14.2","60","50","2017-04-04 10:46","2.3","330","8.6","270","2017-04-04 14:55","0.0","0.0","0.0","...","0.0","...","9.3","75.1","20.91","8.3","...","...","...","3.8"
"05","1012.9","1016.1","1015.3","2017-04-05 00:01","1010.5","2017-04-05 16:12","24.0","28.5","2017-04-05 11:44","20.5","2017-04-05 05:42","14.7","56","42","2017-04-05 11:44","2.4","30","8.8","310","2017-04-05 13:58","0.0","0.0","0.0","...","0.0","...","10.5","84.7","21.99","6.5","...","...","...","1.6"
"06","1010.9","1014.0","1012.6","2017-04-06 08:08","1009.2","2017-04-06 15:20","25.1","28.6","2017-04-06 11:11","21.3","2017-04-06 04:15","17.5","63","49","2017-04-06 11:09","2.0","220","8.0","220","2017-04-06 14:04","0.0","0.0","0.0","...","0.0","...","4.7","37.8","16.43","8.5","...","...","...","5.9"
"07","1010.4","1013.5","1013.0","2017-04-07 10:34","1008.7","2017-04-07 06:16","25.2","28.0","2017-04-07 13:08","23.4","2017-04-07 04:55","20.3","74","67","2017-04-07 00:02","2.7","180","9.0","170","2017-04-07 06:20","0.0","0.0","0.0","...","0.0","...","1.8","14.5","9.69","12.8","...","...","...","6.6"
"08","1010.1","1013.2","1012.4","2017-04-08 09:39","1007.9","2017-04-08 16:36","26.2","30.1","2017-04-08 12:46","23.4","2017-04-08 05:50","21.3","75","57","2017-04-08 12:27","2.5","100","10.5","220","2017-04-08 15:25","0.0","0.0","0.0","...","0.0","...","10.4","83.4","22.05","12.9","...","...","...","2.6"
"09","1007.7","1010.8","1010.0","2017-04-09 00:01","1005.9","2017-04-09 15:24","26.1","29.7","2017-04-09 12:09","24.2","2017-04-09 05:46","22.3","80","69","2017-04-09 12:09","2.9","230","9.4","260","2017-04-09 11:44","0.0","0.0","0.0","...","0.0","...","5.7","45.6","17.60","14.5","...","...","...","5.3"
"10","1006.3","1009.4","1008.6","2017-04-10 08:46","1004.0","2017-04-10 16:12","27.3","32.3","2017-04-10 12:52","24.7","2017-04-10 00:47","21.2","70","49","2017-04-10 12:49","2.4","200","9.9","210","2017-04-10 14:31","0.0","0.0","0.0","...","0.0","...","7.8","62.3","20.46","12.6","...","...","...","3.1"
"11","1006.7","1009.8","1008.5","2017-04-11 23:34","1005.4","2017-04-11 03:42","27.2","30.6","2017-04-11 10:00","25.8","2017-04-11 04:43","22.7","77","62","2017-04-11 10:00","2.6","200","7.2","220","2017-04-11 19:39","1.0","0.9","1.0","2017-04-11 19:36","1.0","2017-04-11 19:15","3.8","30.3","9.66","12.5","...","...","...","6.4"
