"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1011.1","1014.3","1012.9","2020-03-01 23:55","1009.5","2020-03-01 14:53","24.5","29.4","2020-03-01 11:04","21.0","2020-03-01 23:45","19.0","72","53","2020-03-01 11:03","3.1","360","10.9","330","2020-03-01 13:58","0.0","0.0","0.0","...","0.0","...","10.3","88.7","20.68","14.3","...","...","...","0.9"
"02","1014.2","1017.3","1016.6","2020-03-02 23:23","1012.2","2020-03-02 03:10","22.1","27.0","2020-03-02 14:48","19.0","2020-03-02 07:24","16.7","72","54","2020-03-02 14:48","3.4","360","9.9","10","2020-03-02 00:54","0.0","0.0","0.0","...","0.0","...","7.5","64.5","18.75","7.4","...","...","...","7.4"
"03","1015.0","1018.1","1017.3","2020-03-03 08:38","1012.0","2020-03-03 15:44","22.6","28.2","2020-03-03 15:21","18.0","2020-03-03 05:13","15.2","64","46","2020-03-03 13:33","4.2","10","10.6","20","2020-03-03 07:55","0.0","0.0","0.0","...","0.0","...","9.7","83.2","20.98","14.4","...","...","...","3.5"
"04","1014.1","1017.2","1016.2","2020-03-04 08:18","1011.3","2020-03-04 15:44","22.0","26.9","2020-03-04 12:32","17.3","2020-03-04 23:46","16.6","72","57","2020-03-04 12:32","4.7","360","15.5","360","2020-03-04 22:47","0.0","0.0","0.0","...","0.0","...","3.1","26.6","15.35","8.3","...","...","...","8.3"
"05","1015.1","1018.3","1017.1","2020-03-05 09:30","1013.1","2020-03-05 14:55","18.3","23.5","2020-03-05 14:38","15.5","2020-03-05 05:23","13.9","77","61","2020-03-05 13:36","4.4","360","10.9","20","2020-03-05 01:44","T","0.4","T","2020-03-05 05:05","T","2020-03-05 05:05","3.0","25.6","13.87","8.3","...","...","...","8.4"
"06","1014.2","1017.3","1016.6","2020-03-06 09:47","1011.5","2020-03-06 15:48","20.5","24.9","2020-03-06 15:00","16.6","2020-03-06 05:38","15.0","71","58","2020-03-06 11:51","2.1","10","6.8","300","2020-03-06 12:43","0.0","0.0","0.0","...","0.0","...","2.3","19.6","13.57","9.0","...","...","...","8.0"
"07","1011.2","1014.3","1014.1","2020-03-07 00:09","1008.2","2020-03-07 15:12","23.7","30.0","2020-03-07 13:22","19.6","2020-03-07 02:06","17.6","70","49","2020-03-07 13:21","2.5","10","7.4","320","2020-03-07 14:34","0.0","0.0","0.0","...","0.0","...","9.4","80.1","20.29","11.4","...","...","...","3.3"
"08","1008.9","1012.0","1011.0","2020-03-08 09:21","1006.7","2020-03-08 14:53","23.9","29.0","2020-03-08 13:23","20.8","2020-03-08 06:22","18.5","73","55","2020-03-08 11:51","2.8","360","8.0","360","2020-03-08 08:26","0.0","0.0","0.0","...","0.0","...","9.8","83.3","20.69","8.2","...","...","...","3.5"
"09","1006.9","1010.0","1008.9","2020-03-09 22:40","1004.5","2020-03-09 15:03","25.2","28.8","2020-03-09 11:41","21.2","2020-03-09 00:23","20.1","74","53","2020-03-09 11:41","3.3","180","12.5","160","2020-03-09 11:25","0.0","0.0","0.0","...","0.0","...","9.2","78.1","19.02","20.6","...","...","...","2.9"
"10","1009.8","1013.0","1014.0","2020-03-10 23:42","1007.0","2020-03-10 05:38","22.8","26.6","2020-03-10 14:29","18.7","2020-03-10 23:41","20.1","78","X","...","3.7","360","16.2","20","2020-03-10 09:04","6.0","0.7","3.0","2020-03-10 08:52","6.0","2020-03-10 08:32","2.5","21.2","11.18","14.9","...","...","...","7.5"
"11","1014.8","1018.0","1016.7","2020-03-11 08:28","1013.2","2020-03-11 03:46","20.6","25.4","2020-03-11 12:19","17.0","2020-03-11 06:01","X","X","X","...","3.3","360","11.5","360","2020-03-11 01:19","0.0","0.0","0.0","...","0.0","...","3.2","27.0","12.44","14.1","...","...","...","8.4"
"12","1013.4","1016.6","1015.5","2020-03-12 09:01","1010.8","2020-03-12 15:52","23.5","29.0","2020-03-12 12:46","19.8","2020-03-12 04:13","X","X","X","...","1.4","10","7.2","200","2020-03-12 15:38","0.0","0.0","0.0","...","0.0","...","6.8","57.4","17.60","5.0","...","...","...","3.9"
"13","1012.7","1015.8","1014.7","2020-03-13 10:02","1010.8","2020-03-13 14:41","24.2","28.5","2020-03-13 12:18","20.6","2020-03-13 05:40","X","X","X","...","3.0","360","9.1","310","2020-03-13 12:36","T","0.5","T","2020-03-13 22:44","T","2020-03-13 22:44","9.1","76.6","18.16","6.1","...","...","...","2.5"
