"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1008.1","1011.2","1010.3","2018-09-01 00:06","1005.9","2018-09-01 16:06","28.4","31.3","2018-09-01 12:45","26.0","2018-09-01 03:51","23.9","77","65","2018-09-01 10:54","1.1","280","6.1","290","2018-09-01 17:00","0.0","0.0","0.0","...","0.0","...","3.6","28.7","15.76","14.6","...","...","...","6.9"
"02","1005.5","1008.5","1007.8","2018-09-02 00:01","1003.6","2018-09-02 15:25","28.7","32.1","2018-09-02 10:53","25.8","2018-09-02 03:43","23.4","74","61","2018-09-02 10:09","1.7","280","8.1","280","2018-09-02 14:06","0.0","0.0","0.0","...","0.0","...","10.5","84.0","26.00","17.9","...","...","...","2.9"
"03","1004.1","1007.2","1005.4","2018-09-03 09:45","1002.5","2018-09-03 16:08","28.9","32.5","2018-09-03 11:07","25.6","2018-09-03 04:54","23.4","73","59","2018-09-03 11:06","2.1","70","7.9","290","2018-09-03 14:53","0.0","0.0","0.0","...","0.0","...","10.9","87.3","25.54","19.9","...","...","...","2.5"
"04","1003.1","1006.2","1004.3","2018-09-04 08:29","1001.2","2018-09-04 15:09","28.9","31.9","2018-09-04 13:01","26.0","2018-09-04 05:01","24.5","78","64","2018-09-04 11:23","2.2","220","8.4","230","2018-09-04 17:10","6.0","3.5","1.5","2018-09-04 04:30","3.0","2018-09-04 03:55","7.2","57.8","22.14","12.0","...","...","...","7.4"
"05","1003.2","1006.3","1004.8","2018-09-05 21:56","1001.1","2018-09-05 15:05","29.8","32.8","2018-09-05 12:24","28.2","2018-09-05 22:44","24.5","74","61","2018-09-05 12:24","1.8","220","6.9","190","2018-09-05 13:04","T","0.8","T","2018-09-05 17:40","T","2018-09-05 17:05","6.8","54.7","20.89","10.8","...","...","...","6.7"
"06","1003.6","1006.7","1005.2","2018-09-06 23:29","1002.0","2018-09-06 14:54","28.6","32.1","2018-09-06 10:51","26.6","2018-09-06 19:12","24.7","79","66","2018-09-06 10:01","1.7","120","8.5","350","2018-09-06 17:10","8.5","1.2","4.5","2018-09-06 11:37","8.5","2018-09-06 11:20","3.6","29.0","12.94","8.3","...","...","...","7.8"
"07","1004.3","1007.3","1006.1","2018-09-07 21:38","1002.1","2018-09-07 15:27","28.8","32.6","2018-09-07 12:22","26.4","2018-09-07 18:33","24.2","77","64","2018-09-07 09:22","1.9","220","7.8","220","2018-09-07 13:49","5.0","1.0","2.5","2018-09-07 18:24","5.0","2018-09-07 18:12","6.4","51.7","20.25","11.5","...","...","...","7.2"
"08","1005.5","1008.6","1006.9","2018-09-08 21:27","1003.9","2018-09-08 14:03","28.0","33.0","2018-09-08 11:55","26.1","2018-09-08 20:29","23.8","78","59","2018-09-08 11:02","1.9","350","8.9","300","2018-09-08 15:17","2.0","0.8","1.5","2018-09-08 16:36","2.0","2018-09-08 16:35","4.5","36.4","16.61","12.6","...","...","...","8.1"
"09","1006.1","1009.2","1007.9","2018-09-09 21:51","1004.5","2018-09-09 14:37","28.0","31.7","2018-09-09 13:44","26.0","2018-09-09 01:38","23.3","76","63","2018-09-09 13:36","3.0","340","12.3","340","2018-09-09 14:55","0.0","0.0","0.0","...","0.0","...","6.2","50.2","18.51","11.3","...","...","...","6.8"
"10","1005.4","1008.5","1007.3","2018-09-10 08:18","1003.7","2018-09-10 15:40","27.4","31.5","2018-09-10 15:44","24.7","2018-09-10 05:21","22.8","77","64","2018-09-10 14:18","2.9","350","9.4","350","2018-09-10 07:14","0.5","0.9","0.5","2018-09-10 18:34","0.5","2018-09-10 18:02","1.4","11.4","12.70","9.3","...","...","...","8.5"
