"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1022.1","1025.3","1024.5","2020-01-01 09:16","1020.5","2020-01-01 15:24","18.3","22.9","2020-01-01 14:19","15.4","2020-01-01 06:54","14.6","80","67","2020-01-01 14:38","2.9","340","8.1","330","2020-01-01 17:48","0.0","0.0","0.0","...","0.0","...","6.1","57.0","13.14","12.3","...","...","...","4.9"
"02","1021.4","1024.6","1023.6","2020-01-02 09:11","1019.8","2020-01-02 14:48","19.0","24.8","2020-01-02 13:23","15.9","2020-01-02 05:58","15.5","81","61","2020-01-02 13:20","2.3","340","7.8","310","2020-01-02 16:01","0.0","0.0","0.0","...","0.0","...","7.2","67.2","13.67","7.9","...","...","...","1.6"
"03","1019.5","1022.7","1021.6","2020-01-03 08:58","1017.4","2020-01-03 15:49","20.0","24.0","2020-01-03 12:57","17.7","2020-01-03 05:06","16.4","80","65","2020-01-03 12:47","1.7","350","6.7","340","2020-01-03 08:32","0.0","0.0","0.0","...","0.0","...","9.2","85.8","14.48","5.4","...","...","...","1.6"
"04","1017.6","1020.8","1019.7","2020-01-04 09:14","1015.6","2020-01-04 15:08","19.7","24.3","2020-01-04 13:01","17.1","2020-01-04 05:00","16.9","84","67","2020-01-04 12:53","2.3","340","6.3","280","2020-01-04 13:45","0.0","0.0","0.0","...","0.0","...","6.8","63.4","13.73","3.0","...","...","...","2.4"
"05","1018.1","1021.3","1019.6","2020-01-05 09:22","1016.3","2020-01-05 14:12","20.3","24.8","2020-01-05 13:25","16.8","2020-01-05 07:05","16.9","82","60","2020-01-05 14:28","2.0","280","8.7","340","2020-01-05 19:18","0.0","0.0","0.0","...","0.0","...","9.0","83.9","14.29","3.8","...","...","...","3.0"
"06","1016.9","1020.1","1019.1","2020-01-06 09:02","1014.8","2020-01-06 14:59","20.6","25.3","2020-01-06 14:12","17.7","2020-01-06 04:00","17.1","81","63","2020-01-06 14:11","2.5","350","7.1","340","2020-01-06 13:16","0.0","0.0","0.0","...","0.0","...","7.9","73.6","15.49","3.7","...","...","...","6.3"
"07","1014.3","1017.5","1016.6","2020-01-07 10:44","1012.4","2020-01-07 15:25","22.1","26.4","2020-01-07 15:37","19.1","2020-01-07 03:15","17.4","75","61","2020-01-07 15:30","2.1","330","8.4","340","2020-01-07 12:05","0.0","0.0","0.0","...","0.0","...","7.4","68.9","13.41","3.2","...","...","...","3.0"
"08","1015.3","1018.5","1017.1","2020-01-08 09:21","1013.2","2020-01-08 14:43","20.8","25.8","2020-01-08 13:51","17.2","2020-01-08 23:31","15.8","73","58","2020-01-08 13:00","3.3","330","9.7","320","2020-01-08 09:11","0.0","0.0","0.0","...","0.0","...","9.8","91.1","15.32","6.3","...","...","...","0.9"
"09","1015.1","1018.2","1017.7","2020-01-09 09:19","1013.2","2020-01-09 15:51","19.4","24.3","2020-01-09 14:12","15.7","2020-01-09 05:29","15.1","77","62","2020-01-09 12:35","2.7","340","8.4","330","2020-01-09 10:12","0.0","0.0","0.0","...","0.0","...","5.7","53.0","12.39","6.6","...","...","...","4.4"
"10","1013.4","1016.6","1015.8","2020-01-10 09:07","1011.3","2020-01-10 16:23","20.4","25.9","2020-01-10 13:13","17.6","2020-01-10 03:25","16.3","78","58","2020-01-10 12:58","2.8","330","7.6","320","2020-01-10 05:40","0.0","0.0","0.0","...","0.0","...","7.4","68.7","14.81","4.1","...","...","...","2.4"
"11","1012.1","1015.2","1013.9","2020-01-11 09:02","1010.0","2020-01-11 14:49","20.2","25.7","2020-01-11 13:47","16.4","2020-01-11 06:23","16.3","79","59","2020-01-11 13:47","2.8","340","9.9","340","2020-01-11 20:37","0.0","0.0","0.0","...","0.0","...","9.0","83.5","15.15","4.8","...","...","...","0.4"
"12","1012.5","1015.7","1014.5","2020-01-12 22:32","1010.6","2020-01-12 14:23","17.9","22.0","2020-01-12 13:20","15.3","2020-01-12 23:57","13.6","76","61","2020-01-12 13:20","5.2","330","13.6","340","2020-01-12 10:23","0.0","0.0","0.0","...","0.0","...","8.7","80.6","15.53","9.3","...","...","...","3.4"
"13","1014.2","1017.4","1016.4","2020-01-13 09:29","1011.8","2020-01-13 15:46","17.8","22.5","2020-01-13 14:40","14.5","2020-01-13 06:05","12.8","73","58","2020-01-13 12:30","4.1","330","10.7","320","2020-01-13 09:47","0.0","0.0","0.0","...","0.0","...","9.1","84.3","14.86","8.0","...","...","...","4.9"
"14","1015.7","1018.8","1018.1","2020-01-14 10:11","1013.1","2020-01-14 15:03","19.4","26.9","2020-01-14 13:34","15.9","2020-01-14 05:14","14.3","74","43","2020-01-14 13:34","3.8","340","10.6","330","2020-01-14 18:17","0.0","0.0","0.0","...","0.0","...","8.5","78.6","15.56","8.6","...","...","...","2.0"
"15","1015.7","1018.9","1018.1","2020-01-15 09:49","1013.8","2020-01-15 15:05","18.7","23.8","2020-01-15 12:58","15.1","2020-01-15 06:24","14.4","77","59","2020-01-15 12:39","3.5","330","10.1","340","2020-01-15 18:24","0.0","0.0","0.0","...","0.0","...","8.6","79.5","14.55","5.4","...","...","...","1.4"
"16","1014.7","1017.9","1016.6","2020-01-16 09:09","1012.3","2020-01-16 14:47","19.7","25.5","2020-01-16 12:57","16.0","2020-01-16 06:41","15.5","77","56","2020-01-16 12:49","3.4","340","10.4","320","2020-01-16 15:10","0.0","0.0","0.0","...","0.0","...","10.0","92.3","16.25","9.4","...","...","...","1.0"
"17","1015.3","1018.5","1016.7","2020-01-17 10:04","1013.5","2020-01-17 15:05","18.0","22.6","2020-01-17 13:11","14.4","2020-01-17 23:45","13.9","78","62","2020-01-17 13:22","5.3","360","13.0","10","2020-01-17 17:14","0.0","0.0","0.0","...","0.0","...","9.7","89.4","16.04","10.4","...","...","...","1.3"
"18","1016.1","1019.3","1017.5","2020-01-18 09:43","1013.9","2020-01-18 14:27","16.5","22.1","2020-01-18 13:46","13.2","2020-01-18 05:27","12.1","76","60","2020-01-18 12:25","3.8","360","10.1","360","2020-01-18 00:43","0.0","0.0","0.0","...","0.0","...","8.7","80.1","15.37","7.9","...","...","...","1.6"
"19","1017.2","1020.4","1018.9","2020-01-19 08:52","1015.0","2020-01-19 14:52","17.3","22.5","2020-01-19 14:18","13.9","2020-01-19 05:33","13.0","76","62","2020-01-19 13:06","3.8","360","11.1","360","2020-01-19 17:09","0.0","0.0","0.0","...","0.0","...","9.8","90.2","15.86","5.9","...","...","...","0.5"
"20","1018.0","1021.2","1019.7","2020-01-20 10:09","1015.7","2020-01-20 15:23","18.0","25.6","2020-01-20 13:16","14.3","2020-01-20 05:05","13.2","74","51","2020-01-20 12:51","3.9","360","X","X","...","0.0","0.0","0.0","...","0.0","...","10.2","93.7","16.26","5.3","...","...","...","0.0"
"21","1019.2","1022.4","1021.6","2020-01-21 09:50","1017.4","2020-01-21 15:27","18.7","25.3","2020-01-21 14:00","13.5","2020-01-21 07:20","13.4","72","52","2020-01-21 13:45","2.9","360","8.5","360","2020-01-21 08:30","0.0","0.0","0.0","...","0.0","...","6.8","62.4","14.59","6.4","...","...","...","2.4"
"22","1016.6","1019.7","1018.7","2020-01-22 08:59","1015.0","2020-01-22 15:43","22.1","27.7","2020-01-22 12:20","17.6","2020-01-22 04:20","16.0","69","49","2020-01-22 12:20","2.0","10","9.5","360","2020-01-22 05:19","0.0","0.0","0.0","...","0.0","...","7.0","64.2","13.73","4.1","...","...","...","6.9"
"23","1015.2","1018.3","1017.0","2020-01-23 09:55","1013.5","2020-01-23 15:01","24.1","29.4","2020-01-23 12:33","20.7","2020-01-23 03:09","17.9","68","51","2020-01-23 12:33","1.7","10","7.5","210","2020-01-23 16:36","0.0","0.0","0.0","...","0.0","...","9.4","86.1","15.58","7.8","...","...","...","4.8"
"24","1015.9","1019.1","1017.6","2020-01-24 09:34","1014.2","2020-01-24 15:11","22.6","27.5","2020-01-24 12:03","19.8","2020-01-24 22:11","17.9","75","57","2020-01-24 12:18","3.7","10","10.4","20","2020-01-24 23:54","0.0","0.0","0.0","...","0.0","...","9.4","86.0","15.92","6.4","...","...","...","3.4"
"25","1013.5","1016.6","1016.0","2020-01-25 00:01","1011.2","2020-01-25 16:53","21.3","25.5","2020-01-25 12:58","18.9","2020-01-25 23:52","17.1","77","62","2020-01-25 13:11","3.3","360","8.4","20","2020-01-25 00:10","T","1.2","T","2020-01-25 20:55","T","2020-01-25 20:55","5.6","51.1","13.27","4.6","...","...","...","9.3"
"26","1008.9","1012.1","1011.8","2020-01-26 00:02","1006.3","2020-01-26 15:22","19.2","26.4","2020-01-26 15:17","16.3","2020-01-26 23:42","16.7","86","69","2020-01-26 15:39","4.0","360","18.8","360","2020-01-26 18:26","27.0","9.5","7.0","2020-01-26 07:25","15.0","2020-01-26 06:46","3.3","30.1","10.72","9.8","...","...","...","7.6"
"27","1011.0","1014.2","1014.7","2020-01-27 22:47","1008.5","2020-01-27 03:13","18.2","22.4","2020-01-27 14:10","15.4","2020-01-27 23:41","13.6","75","60","2020-01-27 13:55","5.0","360","14.6","360","2020-01-27 07:58","0.0","0.0","0.0","...","0.0","...","8.8","80.1","16.63","15.8","...","...","...","7.1"
"28","1013.3","1016.5","1015.8","2020-01-28 22:28","1010.9","2020-01-28 06:53","15.3","17.3","2020-01-28 16:28","13.8","2020-01-28 23:47","12.0","81","74","2020-01-28 16:38","3.7","360","12.8","10","2020-01-28 21:13","0.5","2.2","0.5","2020-01-28 07:42","0.5","2020-01-28 06:52","0.2","1.8","4.54","12.1","...","...","...","8.8"
"29","1015.0","1018.2","1016.6","2020-01-29 09:01","1012.9","2020-01-29 16:02","14.6","18.6","2020-01-29 11:49","12.4","2020-01-29 05:40","9.2","71","60","2020-01-29 11:44","5.8","360","15.7","10","2020-01-29 23:36","0.0","0.0","0.0","...","0.0","...","4.5","40.9","13.60","20.3","...","...","...","6.9"
"30","1016.0","1019.2","1018.2","2020-01-30 21:40","1014.2","2020-01-30 14:42","13.5","18.2","2020-01-30 14:15","10.9","2020-01-30 06:45","4.3","54","41","2020-01-30 14:00","6.9","360","16.1","10","2020-01-30 08:54","0.0","0.0","0.0","...","0.0","...","10.3","93.4","18.30","12.5","...","...","...","0.5"
"31","1017.9","1021.2","1019.8","2020-01-31 22:38","1016.1","2020-01-31 04:15","14.5","20.4","2020-01-31 14:24","9.2","2020-01-31 06:52","4.2","51","40","2020-01-31 12:29","3.0","10","9.7","20","2020-01-31 01:27","0.0","0.0","0.0","...","0.0","...","10.4","94.2","18.61","14.1","...","...","...","0.0"
