"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"17","1007.5","1010.7","1010.8","2016-01-17 23:07","1005.3","2016-01-17 13:45","19.1","20.3","2016-01-17 16:07","17.5","2016-01-17 23:44","17.9","93","86","2016-01-17 00:01","2.8","50","12.2","30","2016-01-17 23:44","4.0","6.7","1.0","2016-01-17 05:45","1.5","2016-01-17 04:55","0.1","0.9","4.32","4.2","...","...","...","8.8"
"18","1012.9","1016.1","1015.7","2016-01-18 21:17","1009.8","2016-01-18 02:02","16.6","20.7","2016-01-18 13:23","13.7","2016-01-18 05:35","12.1","76","60","2016-01-18 12:33","4.6","30","14.4","60","2016-01-18 03:14","T","0.3","T","2016-01-18 18:20","T","2016-01-18 18:20","7.9","72.8","14.90","7.9","...","...","...","4.0"
"19","1016.9","1020.1","1019.5","2016-01-19 21:43","1014.9","2016-01-19 02:06","16.8","21.5","2016-01-19 13:49","14.4","2016-01-19 03:18","12.4","76","64","2016-01-19 15:05","3.7","20","9.9","10","2016-01-19 14:56","0.0","0.0","0.0","...","0.0","...","3.9","35.9","11.26","3.6","...","...","...","5.6"
"20","1017.4","1020.6","1020.2","2016-01-20 09:12","1014.5","2016-01-20 15:22","17.0","21.7","2016-01-20 14:09","13.7","2016-01-20 06:10","13.0","78","64","2016-01-20 14:55","3.8","30","8.5","360","2016-01-20 05:06","0.0","0.0","0.0","...","0.0","...","3.5","32.2","11.18","4.5","...","...","...","7.0"
"21","1013.9","1017.1","1016.3","2016-01-21 09:13","1010.8","2016-01-21 15:30","18.6","23.6","2016-01-21 15:18","16.2","2016-01-21 23:58","15.4","82","71","2016-01-21 15:08","4.3","40","12.2","40","2016-01-21 21:42","0.0","0.0","0.0","...","0.0","...","4.3","39.5","12.57","4.6","...","...","...","5.6"
"22","1014.2","1017.4","1016.5","2016-01-22 09:04","1011.5","2016-01-22 14:46","18.0","23.6","2016-01-22 13:15","15.5","2016-01-22 02:27","15.1","83","70","2016-01-22 12:46","3.6","40","11.1","30","2016-01-22 00:31","3.0","1.6","1.5","2016-01-22 20:06","3.0","2016-01-22 19:37","4.3","39.4","11.06","5.5","...","...","...","7.9"
"23","1018.9","1022.1","1023.9","2016-01-23 22:59","1014.9","2016-01-23 03:49","12.3","16.5","2016-01-23 00:05","9.5","2016-01-23 20:54","9.5","83","72","2016-01-23 23:51","7.8","30","19.5","20","2016-01-23 09:13","1.0","0.7","0.5","2016-01-23 08:50","1.0","2016-01-23 08:50","0.0","0.0","2.88","7.9","...","...","...","9.5"
"24","1027.0","1030.4","1029.7","2016-01-24 21:51","1022.7","2016-01-24 02:47","6.6","10.0","2016-01-24 00:01","5.7","2016-01-24 06:41","2.4","75","53","2016-01-24 23:10","8.6","30","26.6","50","2016-01-24 04:17","2.0","3.2","0.5","2016-01-24 04:24","1.0","2016-01-24 05:48","0.0","0.0","2.44","7.1","...","...","...","9.4"
"25","1026.5","1029.8","1029.3","2016-01-25 09:36","1024.0","2016-01-25 15:12","9.1","13.4","2016-01-25 14:32","5.8","2016-01-25 07:54","2.0","62","53","2016-01-25 13:42","5.3","30","17.4","30","2016-01-25 00:32","0.0","0.0","0.0","...","0.0","...","1.5","13.7","9.64","11.1","...","...","...","8.8"
"26","1022.9","1026.2","1025.7","2016-01-26 09:43","1019.9","2016-01-26 15:07","14.0","20.3","2016-01-26 14:27","8.2","2016-01-26 03:19","8.2","69","44","2016-01-26 13:57","3.3","30","8.0","30","2016-01-26 03:45","0.0","0.0","0.0","...","0.0","...","9.3","84.8","18.84","8.3","...","...","...","3.5"
"27","1020.0","1023.3","1022.6","2016-01-27 00:01","1017.9","2016-01-27 14:35","17.5","22.6","2016-01-27 12:21","14.5","2016-01-27 04:31","14.0","81","57","2016-01-27 12:43","2.7","80","7.4","360","2016-01-27 17:28","1.0","3.4","0.5","2016-01-27 21:39","0.5","2016-01-27 20:49","2.9","26.4","11.02","3.3","...","...","...","8.5"
"28","1016.3","1019.4","1019.9","2016-01-28 00:09","1012.6","2016-01-28 14:21","18.3","23.8","2016-01-28 13:35","16.1","2016-01-28 00:32","16.3","88","72","2016-01-28 13:23","3.1","60","14.3","70","2016-01-28 16:30","3.5","6.5","1.0","2016-01-28 07:51","2.0","2016-01-28 07:20","2.2","20.0","9.71","4.0","...","...","...","8.9"
"29","1014.3","1017.5","1017.3","2016-01-29 09:26","1012.8","2016-01-29 14:02","17.9","20.6","2016-01-29 19:07","16.1","2016-01-29 09:42","16.7","93","86","2016-01-29 00:10","3.5","50","16.3","30","2016-01-29 09:35","39.0","9.7","8.5","2016-01-29 09:27","18.5","2016-01-29 09:12","0.0","0.0","2.12","6.1","...","...","...","9.1"
"30","1016.2","1019.4","1017.9","2016-01-30 10:27","1014.2","2016-01-30 04:25","17.9","20.8","2016-01-30 12:37","15.5","2016-01-30 23:23","16.3","91","84","2016-01-30 15:37","3.8","30","10.3","40","2016-01-30 21:11","1.0","0.8","0.5","2016-01-30 08:01","0.5","2016-01-30 08:01","0.1","0.9","6.42","4.8","...","...","...","9.9"
"31","1016.8","1020.0","1019.6","2016-01-31 09:15","1014.3","2016-01-31 15:50","17.5","23.2","2016-01-31 13:51","14.6","2016-01-31 03:16","14.7","84","67","2016-01-31 13:22","4.2","40","11.5","340","2016-01-31 14:20","0.0","0.0","0.0","...","0.0","...","5.6","50.7","14.61","3.5","...","...","...","7.1"
