"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1007.7","1010.8","1009.2","2016-10-01 22:45","1006.4","2016-10-01 03:37","27.0","31.5","2016-10-01 12:25","25.5","2016-10-01 15:36","24.7","87","69","2016-10-01 12:24","1.6","30","6.8","210","2016-10-01 14:59","11.5","3.2","10.5","2016-10-01 14:56","11.5","2016-10-01 14:20","0.8","6.8","9.59","5.0","...","...","...","7.4"
"02","1006.6","1009.7","1008.8","2016-10-02 00:01","1004.5","2016-10-02 16:42","28.5","32.7","2016-10-02 12:49","25.8","2016-10-02 00:01","24.0","77","58","2016-10-02 14:15","3.1","10","11.0","10","2016-10-02 13:11","0.0","0.0","0.0","...","0.0","...","9.1","77.0","18.88","8.4","...","...","...","4.4"
"03","1004.4","1007.4","1006.0","2016-10-03 00:01","1002.5","2016-10-03 15:06","28.3","32.0","2016-10-03 12:15","26.6","2016-10-03 06:38","24.5","80","66","2016-10-03 14:03","2.4","350","9.1","20","2016-10-03 16:35","0.0","0.0","0.0","...","0.0","...","6.4","54.2","16.53","7.0","...","...","...","6.1"
"04","1004.8","1007.9","1006.4","2016-10-04 22:50","1003.1","2016-10-04 14:57","28.6","31.5","2016-10-04 11:15","26.3","2016-10-04 05:25","23.8","76","65","2016-10-04 14:46","1.7","250","6.8","210","2016-10-04 11:05","0.0","0.0","0.0","...","0.0","...","8.4","71.3","18.60","7.3","...","...","...","5.3"
"05","1005.3","1008.3","1007.2","2016-10-05 09:09","1003.5","2016-10-05 15:59","29.2","32.0","2016-10-05 14:39","26.9","2016-10-05 05:48","24.1","75","59","2016-10-05 16:22","1.7","320","6.8","300","2016-10-05 13:49","0.0","0.0","0.0","...","0.0","...","8.1","68.9","18.96","6.6","...","...","...","5.3"
"06","1004.8","1007.9","1006.1","2016-10-06 08:10","1003.2","2016-10-06 01:31","28.0","31.0","2016-10-06 11:54","25.3","2016-10-06 06:31","24.4","81","66","2016-10-06 12:06","1.9","330","7.2","130","2016-10-06 03:50","1.5","2.0","0.5","2016-10-06 04:30","1.0","2016-10-06 07:18","1.5","12.8","9.59","5.1","...","...","...","8.3"
"07","1004.8","1007.8","1006.5","2016-10-07 21:05","1003.0","2016-10-07 14:04","27.9","32.2","2016-10-07 12:47","25.7","2016-10-07 23:18","23.7","78","60","2016-10-07 12:47","2.2","140","7.2","170","2016-10-07 17:09","T","1.2","T","2016-10-07 02:28","T","2016-10-07 02:28","4.5","38.4","12.83","6.6","...","...","...","6.6"
"08","1005.5","1008.6","1006.9","2016-10-08 08:31","1004.2","2016-10-08 14:18","25.7","26.6","2016-10-08 16:21","24.5","2016-10-08 05:13","24.3","92","85","2016-10-08 00:03","3.3","150","12.3","130","2016-10-08 13:14","25.0","14.4","2.5","2016-10-08 04:45","8.5","2016-10-08 04:46","0.0","0.0","4.49","10.4","...","...","...","8.5"
"09","1005.2","1008.3","1006.8","2016-10-09 09:58","1003.8","2016-10-09 03:15","24.8","26.4","2016-10-09 00:28","22.8","2016-10-09 23:42","23.5","93","86","2016-10-09 23:34","3.1","30","9.5","140","2016-10-09 02:48","19.0","8.8","2.0","2016-10-09 01:28","6.0","2016-10-09 01:24","0.3","2.6","3.18","6.0","...","...","...","9.0"
"10","1006.4","1009.5","1008.2","2016-10-10 08:47","1004.3","2016-10-10 03:31","24.8","29.5","2016-10-10 14:21","22.1","2016-10-10 07:19","22.3","87","73","2016-10-10 16:08","3.3","30","9.3","20","2016-10-10 00:46","11.5","4.7","1.5","2016-10-10 06:50","6.5","2016-10-10 06:37","2.0","17.2","9.64","6.9","...","...","...","7.0"
