"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1016.3","1019.5","1018.7","2018-02-01 22:53","1014.0","2018-02-01 15:19","14.0","17.6","2018-02-01 15:36","11.1","2018-02-01 06:42","10.8","82","64","2018-02-01 12:48","4.9","350","13.0","10","2018-02-01 06:30","0.5","1.7","0.5","2018-02-01 05:09","0.5","2018-02-01 04:19","2.2","19.9","12.38","3.8","...","6","2018-02-01 12:00","9.3"
"02","1018.3","1021.6","1020.3","2018-02-02 22:18","1016.4","2018-02-02 14:20","15.1","20.5","2018-02-02 10:53","12.3","2018-02-02 23:55","11.3","78","62","2018-02-02 12:19","5.1","350","15.7","350","2018-02-02 17:03","0.0","0.0","0.0","...","0.0","...","8.0","72.2","17.30","5.9","...","6","2018-02-02 13:00","5.4"
"03","1019.5","1022.8","1021.2","2018-02-03 09:15","1017.6","2018-02-03 15:35","12.3","15.0","2018-02-03 11:22","10.2","2018-02-03 23:51","7.9","75","64","2018-02-03 11:30","5.9","350","14.4","360","2018-02-03 03:00","0.0","0.0","0.0","...","0.0","...","0.7","6.3","8.67","4.9","...","4","2018-02-03 13:00","9.4"
"04","1020.1","1023.4","1021.6","2018-02-04 22:58","1018.4","2018-02-04 14:37","11.0","13.5","2018-02-04 16:35","9.2","2018-02-04 04:31","6.7","75","67","2018-02-04 13:35","4.7","350","12.2","350","2018-02-04 20:23","0.0","0.0","0.0","...","0.0","...","0.6","5.4","7.63","12.3","...","3","2018-02-04 13:00","7.8"
"05","1020.5","1023.8","1022.5","2018-02-05 09:05","1018.3","2018-02-05 15:26","9.7","10.6","2018-02-05 10:08","9.2","2018-02-05 05:37","5.0","73","67","2018-02-05 23:21","6.2","350","15.1","350","2018-02-05 16:00","0.0","0.0","0.0","...","0.0","...","0.0","0.0","4.18","15.6","...","2","2018-02-05 12:00","8.9"
"06","1017.9","1021.2","1021.1","2018-02-06 00:31","1015.2","2018-02-06 16:38","12.2","16.7","2018-02-06 13:03","8.3","2018-02-06 06:39","5.0","62","48","2018-02-06 14:36","4.2","350","13.4","360","2018-02-06 00:07","T","0.5","T","2018-02-06 23:56","T","2018-02-06 23:56","5.0","44.9","15.31","8.3","...","5","2018-02-06 12:00","6.0"
"07","1016.2","1019.5","1018.0","2018-02-07 10:11","1013.9","2018-02-07 15:08","12.3","14.7","2018-02-07 13:20","9.9","2018-02-07 03:24","8.9","80","70","2018-02-07 00:01","2.8","350","9.0","360","2018-02-07 00:31","0.5","2.3","0.5","2018-02-07 01:08","0.5","2018-02-07 00:36","0.0","0.0","5.65","5.5","...","3","2018-02-07 13:00","8.6"
"08","1014.4","1017.6","1016.8","2018-02-08 00:06","1012.2","2018-02-08 14:31","13.8","16.0","2018-02-08 12:29","11.7","2018-02-08 06:43","12.3","91","77","2018-02-08 14:56","3.0","350","10.3","340","2018-02-08 02:15","3.5","10.2","0.5","2018-02-08 01:28","0.5","2018-02-08 01:28","0.1","0.9","6.82","3.4","...","5","2018-02-08 13:00","10.0"
"09","1012.8","1016.0","1014.8","2018-02-09 09:11","1010.4","2018-02-09 15:04","16.4","21.1","2018-02-09 14:24","13.5","2018-02-09 04:04","13.7","84","68","2018-02-09 14:47","3.3","350","8.5","340","2018-02-09 09:55","0.0","0.0","0.0","...","0.0","...","1.9","17.0","12.26","3.4","...","...","...","7.4"
"10","1013.4","1016.6","1015.5","2018-02-10 23:27","1010.7","2018-02-10 14:15","17.1","23.0","2018-02-10 13:26","14.8","2018-02-10 01:39","15.0","88","65","2018-02-10 13:40","4.2","350","11.4","350","2018-02-10 06:00","0.5","3.3","0.5","2018-02-10 21:20","0.5","2018-02-10 20:30","1.0","8.9","10.88","3.4","...","...","...","8.8"
"11","1017.7","1021.0","1021.1","2018-02-11 23:57","1015.2","2018-02-11 02:27","14.7","19.3","2018-02-11 14:32","12.1","2018-02-11 07:13","11.5","82","65","2018-02-11 14:32","5.4","350","14.6","350","2018-02-11 07:39","0.5","0.9","0.5","2018-02-11 05:20","0.5","2018-02-11 05:05","2.5","22.2","11.98","4.7","...","6","2018-02-11 14:00","8.8"
"12","1021.1","1024.3","1023.2","2018-02-12 09:36","1018.9","2018-02-12 15:07","15.1","20.4","2018-02-12 14:28","12.4","2018-02-12 06:44","9.5","70","56","2018-02-12 14:28","3.8","350","10.4","350","2018-02-12 00:45","0.0","0.0","0.0","...","0.0","...","3.2","28.4","13.71","6.4","...","5","2018-02-12 13:00","6.4"
"13","1020.1","1023.3","1022.3","2018-02-13 09:30","1017.4","2018-02-13 15:18","16.1","21.8","2018-02-13 13:26","12.1","2018-02-13 06:32","8.8","63","44","2018-02-13 15:10","3.1","360","10.2","350","2018-02-13 01:13","0.0","0.0","0.0","...","0.0","...","9.8","86.9","19.75","7.8","...","7","2018-02-13 13:00","2.5"
"14","1016.4","1019.6","1019.5","2018-02-14 08:30","1013.4","2018-02-14 16:16","19.2","25.9","2018-02-14 12:56","13.1","2018-02-14 06:16","13.2","71","45","2018-02-14 11:27","1.9","360","7.2","190","2018-02-14 11:29","0.0","0.0","0.0","...","0.0","...","9.7","85.9","20.54","4.8","...","7","2018-02-14 13:00","3.0"
"15","1013.3","1016.4","1015.4","2018-02-15 09:01","1010.5","2018-02-15 15:12","23.4","30.6","2018-02-15 12:18","17.9","2018-02-15 06:05","15.9","64","39","2018-02-15 11:50","2.5","70","8.1","210","2018-02-15 16:34","0.0","0.0","0.0","...","0.0","...","8.5","75.1","20.03","22.5","...","8","2018-02-15 12:00","2.8"
"16","1011.4","1014.5","1012.9","2018-02-16 10:30","1009.8","2018-02-16 14:41","23.2","28.4","2018-02-16 12:43","19.6","2018-02-16 03:28","18.0","73","56","2018-02-16 10:16","2.3","340","7.3","290","2018-02-16 13:23","0.0","0.0","0.0","...","0.0","...","2.4","21.2","12.05","6.1","...","7","2018-02-16 13:00","6.1"
"17","1013.4","1016.5","1015.6","2018-02-17 22:12","1011.5","2018-02-17 00:01","19.9","24.7","2018-02-17 13:15","17.2","2018-02-17 23:59","16.2","80","61","2018-02-17 13:15","3.6","350","8.7","350","2018-02-17 20:40","0.0","0.0","0.0","...","0.0","...","4.2","37.0","14.77","4.0","...","5","2018-02-17 14:00","6.9"
"18","1014.6","1017.8","1017.1","2018-02-18 08:10","1011.8","2018-02-18 15:27","21.1","28.4","2018-02-18 14:54","16.0","2018-02-18 04:38","15.9","74","44","2018-02-18 13:47","3.4","350","9.6","340","2018-02-18 01:57","0.0","0.0","0.0","...","0.0","...","8.5","74.7","19.77","4.7","...","7","2018-02-18 13:00","4.8"
