"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1009.7","1012.8","1012.0","2020-05-01 08:51","1007.5","2020-05-01 16:59","28.2","32.6","2020-05-01 12:21","25.2","2020-05-01 05:32","17.3","53","37","2020-05-01 12:22","2.4","350","10.0","300","2020-05-01 13:06","0.0","0.0","0.0","...","0.0","...","8.6","66.4","23.63","15.3","...","...","...","5.0"
"02","1007.3","1010.4","1009.4","2020-05-02 08:24","1005.5","2020-05-02 17:02","28.3","32.3","2020-05-02 10:41","25.8","2020-05-02 05:22","21.4","67","49","2020-05-02 00:52","2.5","220","10.6","200","2020-05-02 12:14","0.0","0.0","0.0","...","0.0","...","11.9","91.8","26.52","21.9","...","...","...","5.1"
"03","1006.7","1009.8","1008.2","2020-05-03 22:51","1005.2","2020-05-03 03:11","27.9","31.7","2020-05-03 11:26","26.3","2020-05-03 03:10","22.8","75","55","2020-05-03 11:01","2.5","210","8.7","250","2020-05-03 16:09","0.0","0.0","0.0","...","0.0","...","9.2","70.8","23.92","30.6","...","...","...","6.6"
"04","1008.0","1011.1","1009.3","2020-05-04 08:57","1007.0","2020-05-04 03:33","28.1","32.2","2020-05-04 12:04","25.8","2020-05-04 04:43","22.1","71","43","2020-05-04 13:10","2.2","230","8.3","220","2020-05-04 12:10","0.0","0.0","0.0","...","0.0","...","11.1","85.3","25.27","23.8","...","...","...","2.8"
"05","1007.3","1010.4","1008.4","2020-05-05 22:12","1005.7","2020-05-05 16:28","28.2","31.2","2020-05-05 10:41","26.0","2020-05-05 05:31","22.9","74","56","2020-05-05 11:18","2.6","200","11.2","200","2020-05-05 11:54","0.0","0.0","0.0","...","0.0","...","12.1","92.9","25.98","16.9","...","...","...","2.9"
"06","1007.2","1010.3","1008.7","2020-05-06 20:17","1005.7","2020-05-06 03:01","28.8","32.4","2020-05-06 13:49","26.9","2020-05-06 00:04","22.7","70","54","2020-05-06 11:25","1.9","160","8.4","300","2020-05-06 11:48","0.0","0.0","0.0","...","0.0","...","10.0","76.7","24.70","35.6","...","...","...","4.4"
"07","1007.6","1010.6","1008.9","2020-05-07 08:25","1006.2","2020-05-07 15:56","29.8","33.4","2020-05-07 15:09","27.6","2020-05-07 05:02","23.1","68","49","2020-05-07 14:02","2.0","270","8.3","260","2020-05-07 12:49","0.0","0.0","0.0","...","0.0","...","10.6","81.2","25.33","21.9","...","...","...","6.3"
"08","1007.4","1010.5","1008.8","2020-05-08 08:48","1005.8","2020-05-08 16:18","29.6","33.1","2020-05-08 10:13","27.7","2020-05-08 03:44","23.6","71","50","2020-05-08 10:04","2.1","220","9.7","190","2020-05-08 13:06","0.0","0.0","0.0","...","0.0","...","10.1","77.2","24.13","24.4","...","...","...","4.8"
"09","1007.3","1010.3","1008.8","2020-05-09 09:38","1005.8","2020-05-09 16:51","29.2","33.1","2020-05-09 12:31","27.3","2020-05-09 04:47","23.7","73","50","2020-05-09 12:23","2.3","250","8.9","240","2020-05-09 14:41","0.0","0.0","0.0","...","0.0","...","9.1","69.5","22.40","29.4","...","...","...","3.6"
"10","1007.4","1010.4","1008.5","2020-05-10 07:38","1005.1","2020-05-10 15:38","29.0","32.1","2020-05-10 11:33","27.2","2020-05-10 03:30","24.1","76","55","2020-05-10 09:47","2.5","250","8.9","270","2020-05-10 14:01","0.0","0.0","0.0","...","0.0","...","10.4","79.3","24.70","23.8","...","...","...","3.6"
"11","1007.2","1010.2","1009.0","2020-05-11 08:16","1005.0","2020-05-11 15:33","29.7","34.2","2020-05-11 15:24","27.2","2020-05-11 05:09","23.8","72","48","2020-05-11 15:37","2.4","360","7.8","340","2020-05-11 18:23","0.0","0.0","0.0","...","0.0","...","8.0","60.9","21.16","15.5","...","...","...","6.5"
"12","1007.7","1010.8","1009.5","2020-05-12 22:23","1006.4","2020-05-12 02:15","27.5","30.7","2020-05-12 13:00","25.4","2020-05-12 23:55","23.0","77","58","2020-05-12 13:07","3.1","360","11.2","320","2020-05-12 13:47","9.5","0.3","9.0","2020-05-12 09:18","9.5","2020-05-12 09:24","1.7","12.9","12.42","11.1","...","...","...","5.8"
"13","1009.6","1012.7","1011.1","2020-05-13 22:35","1008.3","2020-05-13 15:31","28.3","32.5","2020-05-13 12:42","25.1","2020-05-13 02:56","21.3","67","44","2020-05-13 13:20","2.0","360","7.8","260","2020-05-13 13:30","0.0","0.0","0.0","...","0.0","...","10.8","82.0","25.34","8.9","...","...","...","2.4"
"14","1009.1","1012.2","1010.9","2020-05-14 09:01","1007.2","2020-05-14 15:44","29.1","33.0","2020-05-14 13:23","26.8","2020-05-14 05:07","21.5","64","47","2020-05-14 12:34","2.0","300","8.5","320","2020-05-14 13:48","0.0","0.0","0.0","...","0.0","...","11.1","84.2","25.38","14.0","...","...","...","1.9"
"15","1006.5","1009.5","1007.9","2020-05-15 00:01","1004.8","2020-05-15 16:13","29.3","32.7","2020-05-15 11:19","26.5","2020-05-15 05:34","22.5","68","49","2020-05-15 09:11","2.2","240","8.7","240","2020-05-15 14:04","0.0","0.0","0.0","...","0.0","...","12.3","93.2","26.95","13.3","...","...","...","1.3"
"16","1005.4","1008.5","1006.9","2020-05-16 09:05","1003.3","2020-05-16 14:04","29.6","34.7","2020-05-16 13:09","27.2","2020-05-16 04:04","22.4","66","48","2020-05-16 09:37","3.1","20","17.0","200","2020-05-16 16:01","0.0","0.0","0.0","...","0.0","...","10.3","78.0","24.77","21.4","...","...","...","5.3"
"17","1002.6","1005.6","1004.6","2020-05-17 00:01","1000.0","2020-05-17 16:14","29.4","33.5","2020-05-17 10:55","26.4","2020-05-17 02:43","22.8","69","47","2020-05-17 10:57","3.6","10","11.1","310","2020-05-17 14:23","0.0","0.0","0.0","...","0.0","...","11.0","83.2","24.59","31.3","...","...","...","4.5"
"18","1003.0","1006.1","1004.6","2020-05-18 23:02","1001.0","2020-05-18 04:10","28.4","32.1","2020-05-18 12:58","26.4","2020-05-18 21:01","23.7","76","57","2020-05-18 11:17","2.4","230","9.1","210","2020-05-18 13:50","T","0.3","T","2020-05-18 08:07","T","2020-05-18 08:03","2.9","21.9","14.12","26.9","...","...","...","7.8"
"19","1004.7","1007.8","1007.0","2020-05-19 10:35","1002.4","2020-05-19 04:27","25.6","28.7","2020-05-19 09:48","23.0","2020-05-19 15:03","22.8","85","70","2020-05-19 09:58","2.3","150","14.0","310","2020-05-19 10:43","60.5","3.8","24.0","2020-05-19 10:36","47.0","2020-05-19 10:22","0.0","0.0","3.07","22.7","...","...","...","9.5"
"20","1006.1","1009.2","1007.6","2020-05-20 10:54","1004.8","2020-05-20 04:44","25.4","28.3","2020-05-20 13:02","23.6","2020-05-20 14:06","22.3","83","73","2020-05-20 06:31","2.4","120","15.4","200","2020-05-20 13:46","11.0","3.4","2.5","2020-05-20 09:49","6.0","2020-05-20 13:39","0.2","1.5","5.61","21.6","...","...","...","8.6"
